u,v,key,osmid,highway,oneway,reversed,length,tunnel,name,geometry,lanes,bridge,maxspeed
2864441897,3061061131,0,282495555,residential,False,False,66.591,,,"LINESTRING (114.3999593 30.5233284, 114.4006545 30.5233259)",,,
2864441897,2864441899,0,282495555,residential,False,True,75.154,,,"LINESTRING (114.3999593 30.5233284, 114.3991747 30.5233283)",,,
2864441899,4807102330,0,282495544,residential,False,False,34.593,,,"LINESTRING (114.3991747 30.5233283, 114.399176 30.5230172)",,,
2864441899,2864441897,0,282495555,residential,False,False,75.154,,,"LINESTRING (114.3991747 30.5233283, 114.3999593 30.5233284)",,,
2864441899,6502960023,0,692666993,residential,False,False,54.862,,,"LINESTRING (114.3991747 30.5233283, 114.398602 30.5233212)",,,
2864441899,6502960022,0,282495544,residential,False,True,37.294,,,"LINESTRING (114.3991747 30.5233283, 114.3991616 30.5234278, 114.3990413 30.523639)",,,
2864441900,3061061131,0,282495555,residential,False,True,55.183,,,"LINESTRING (114.4012306 30.5233238, 114.4006545 30.5233259)",,,
2864441900,4806115414,0,488293581,residential,False,True,74.447,,,"LINESTRING (114.4012306 30.5233238, 114.4012245 30.5226543)",,,
2864441900,4807102322,0,488404076,residential,False,False,78.376,,,"LINESTRING (114.4012306 30.5233238, 114.4020487 30.5233108)",,,
2864441900,3061061233,0,488293581,residential,False,False,156.905,,,"LINESTRING (114.4012306 30.5233238, 114.4012977 30.5238052, 114.4002226 30.5238196)",,,
2864443001,2864443003,0,282495556,residential,False,True,52.039,,,"LINESTRING (114.3991667 30.5221239, 114.3991669 30.5225919)",,,
2864443001,2864443002,0,282495557,residential,False,False,61.783,,,"LINESTRING (114.3991667 30.5221239, 114.3985217 30.5221261)",,,
2864443001,4807102329,0,282495557,residential,False,True,71.027,,,"LINESTRING (114.3991667 30.5221239, 114.3999082 30.5221215)",,,
2864443002,4807101981,0,282495549,residential,False,False,17.346,,,"LINESTRING (114.3985217 30.5221261, 114.3985217 30.5219701)",,,
2864443002,2864443001,0,282495557,residential,False,True,61.783,,,"LINESTRING (114.3985217 30.5221261, 114.3991667 30.5221239)",,,
2864443002,2864441887,0,282495549,residential,False,True,81.35,,,"LINESTRING (114.3985217 30.5221261, 114.3985217 30.5223629, 114.3985215 30.5228577)",,,
2864443003,2864443001,0,282495556,residential,False,False,52.039,,,"LINESTRING (114.3991669 30.5225919, 114.3991667 30.5221239)",,,
2864443003,2864441874,0,282495556,residential,False,True,29.935,,,"LINESTRING (114.3991669 30.5225919, 114.3991793 30.5228609)",,,
2864443003,2864443004,0,282495559,residential,False,False,71.956,,,"LINESTRING (114.3991669 30.5225919, 114.3999181 30.5225952)",,,
2864443004,4807102329,0,282495554,residential,False,False,52.682,,,"LINESTRING (114.3999181 30.5225952, 114.3999082 30.5221215)",,,
2864443004,4807102327,0,282495554,residential,False,True,29.234,,,"LINESTRING (114.3999181 30.5225952, 114.3999328 30.5228578)",,,
2864443004,2864443003,0,282495559,residential,False,True,71.956,,,"LINESTRING (114.3999181 30.5225952, 114.3991669 30.5225919)",,,
2864448080,2875697583,0,283739281,path,False,False,40.596,,,"LINESTRING (114.3942304 30.5300172, 114.3938083 30.5299841)",,,
2864448080,2875675196,0,488404066,residential,False,False,35.982,,,"LINESTRING (114.3942304 30.5300172, 114.3942119 30.5303404)",,,
2864448080,4807101957,0,488404066,residential,False,True,86.905,,,"LINESTRING (114.3942304 30.5300172, 114.3948926 30.5294829)",,,
2864448080,1802899072,0,"[282496082, 282489692, 778752446]","['residential', 'living_street', 'service']",False,True,465.22799999999995,yes,地大隧道,"LINESTRING (114.3942304 30.5300172, 114.3939437 30.5295594, 114.3938623 30.529407, 114.3938143 30.5292069, 114.3934869 30.5262322, 114.3934652 30.5260654, 114.3934552 30.5259299)",,,
2864448080,2875697584,0,283735722,path,False,False,53.408,,,"LINESTRING (114.3942304 30.5300172, 114.3940482 30.5299091, 114.3938524 30.5296735)",,,
2864448083,4807101957,0,488404066,residential,False,False,38.777,,,"LINESTRING (114.3951578 30.5292194, 114.3948926 30.5294829)",,,
2864448084,2864448098,0,282496088,residential,False,True,66.166,,,"LINESTRING (114.3941036 30.5316447, 114.3947912 30.5317022)",,,
2864448084,2864448803,0,488404066,residential,False,True,66.062,,,"LINESTRING (114.3941036 30.5316447, 114.3941528 30.5310521)",,,
2864448084,2875717317,0,282496093,residential,False,True,71.15299999999999,,,"LINESTRING (114.3941036 30.5316447, 114.3933969 30.5316394, 114.3933608 30.5316413)",,,
2864448086,2864448087,0,282496084,residential,False,False,66.907,,,"LINESTRING (114.3948687 30.5308648, 114.394172 30.5308209)",,,
2864448086,2875697589,0,282496089,residential,False,False,62.991,,,"LINESTRING (114.3948687 30.5308648, 114.3948164 30.5314295)",,,
2864448086,2864448088,0,282496084,residential,False,True,8.331,,,"LINESTRING (114.3948687 30.5308648, 114.394901 30.5308476, 114.3949211 30.5308091)",,,
2864448087,2864448086,0,282496084,residential,False,True,66.907,,,"LINESTRING (114.394172 30.5308209, 114.3948687 30.5308648)",,,
2864448087,2864448803,0,488404066,residential,False,False,25.774,,,"LINESTRING (114.394172 30.5308209, 114.3941528 30.5310521)",,,
2864448087,2875675191,0,488404066,residential,False,True,12.564,,,"LINESTRING (114.394172 30.5308209, 114.3941814 30.5307082)",,,
