u,v,key,osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,service
3034716285,3034716279,0,299485223,,service,,False,True,30.637,,"LINESTRING (121.4150202 31.1456866, 121.4149911 31.1454122)",,
3034716285,3034716283,0,299485223,,service,,False,True,66.71600000000001,,"LINESTRING (121.4150202 31.1456866, 121.4155893 31.1458368, 121.4156171 31.1457497)",,
3034716287,3034716281,0,299485227,,service,,False,False,26.866,,"LINESTRING (121.4158391 31.1464582, 121.415927 31.1462286)",,
3034716296,3034716297,0,299485233,,service,,False,False,51.495,,"LINESTRING (121.4163249 31.1458159, 121.4168439 31.1459469)",,
3034716296,3034716276,0,521678545,,living_street,,False,True,19.024,,"LINESTRING (121.4163249 31.1458159, 121.4163978 31.1456566)",,
3034716296,3034716282,0,"[521678545, 299485225]",,"['service', 'living_street']",,False,"[False, True]",33.748999999999995,,"LINESTRING (121.4163249 31.1458159, 121.4162854 31.1459219, 121.4160703 31.1458665)",,
3034716297,3034716296,0,299485233,,service,,False,True,51.495,,"LINESTRING (121.4168439 31.1459469, 121.4163249 31.1458159)",,
5081198391,5081230646,0,521500250,2,unclassified,30,False,True,104.94,,"LINESTRING (121.423834 31.1472702, 121.4227913 31.1469631)",,
5081199543,3034560094,0,521500250,2,unclassified,30,False,False,106.506,,"LINESTRING (121.42144 31.146565, 121.4224982 31.1468768)",,
5081199543,3034560095,0,521500250,2,unclassified,30,False,True,108.507,,"LINESTRING (121.42144 31.146565, 121.4203619 31.1462474)",,
5081199543,6679481315,0,521502214,2,unclassified,20,False,False,65.43,,"LINESTRING (121.42144 31.146565, 121.4212329 31.1471261)",,
5081230646,5081198391,0,521500250,2,unclassified,30,False,False,104.94,,"LINESTRING (121.4227913 31.1469631, 121.423834 31.1472702)",,
5081230646,3034560094,0,521500250,2,unclassified,30,False,True,29.498,,"LINESTRING (121.4227913 31.1469631, 121.4224982 31.1468768)",,
5081230646,3034560077,0,521503096,2,residential,30,False,False,65.93,,"LINESTRING (121.4227913 31.1469631, 121.4225674 31.1475242)",,
5081232003,5257658190,0,521503243,,service,,False,True,24.197,,"LINESTRING (121.4213451 31.1490186, 121.4214294 31.1488133)",,
5081243743,7557492070,0,521505413,2,residential,30,False,True,19.046,,"LINESTRING (121.4165504 31.1435869, 121.4166296 31.1434296)",,
5081243743,3034560083,0,533508624,,footway,,False,True,178.53,,"LINESTRING (121.4165504 31.1435869, 121.4165879 31.1436436, 121.4167327 31.1437538, 121.4168293 31.1438411, 121.4169312 31.143887, 121.4169741 31.1439788, 121.4169366 31.1441762, 121.416627 31.1449911)",,
5081243743,5175766013,0,533508625,1,residential,,False,True,196.79700000000003,,"LINESTRING (121.4165504 31.1435869, 121.4164001 31.1435748, 121.416207 31.1435885, 121.4159978 31.1435977, 121.4158905 31.143685, 121.4154506 31.1447915)",,
5081250412,7557492070,0,521505413,2,residential,30,False,False,205.33,,"LINESTRING (121.4174832 31.1417337, 121.4166296 31.1434296)",,
5081255539,3034560108,0,299485213,,unclassified,,False,True,50.621,勤奋路,"LINESTRING (121.4204376 31.144602, 121.4209422 31.144746)",,
5081255539,6679482775,0,521506062,2,unclassified,30,False,False,125.394,,"LINESTRING (121.4204376 31.144602, 121.4208933 31.1435439)",,
5081255539,3034716218,0,299485213,,unclassified,,False,False,86.543,勤奋路,"LINESTRING (121.4204376 31.144602, 121.4200284 31.1444639, 121.4198754 31.1448438)",,
5081261421,6679484105,0,521500250,2,unclassified,30,False,False,102.99,,"LINESTRING (121.4184206 31.1456755, 121.4194439 31.1459769)",,
5081261421,3034716232,0,521500250,2,unclassified,30,False,True,43.428,,"LINESTRING (121.4184206 31.1456755, 121.4179891 31.1455484)",,
5081261421,6679481312,0,521506644,,service,,False,False,71.672,,"LINESTRING (121.4184206 31.1456755, 121.4182035 31.1462927)",,
5081263753,5081265667,0,521507115,,service,,False,False,50.696,,"LINESTRING (121.4175054 31.1466566, 121.4180192 31.146777)",,
5081263753,3034560099,0,521520213,,service,,False,False,35.09,,"LINESTRING (121.4175054 31.1466566, 121.4173954 31.1469578)",,
5081263753,5081264633,0,521520213,,service,,False,True,59.624,,"LINESTRING (121.4175054 31.1466566, 121.4176967 31.146146)",,
5081264633,6679481312,0,299470375,,service,,False,False,50.914,,"LINESTRING (121.4176967 31.146146, 121.4182035 31.1462927)",,
5081264633,5081263753,0,521520213,,service,,False,False,59.624,,"LINESTRING (121.4176967 31.146146, 121.4175054 31.1466566)",,
