u,v,key,osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,tunnel,service,access
5726340796,5726340720,0,603105962,living_street,False,True,25.064,"LINESTRING (113.3449366 23.1510603, 113.3449331 23.1509988, 113.3449238 23.1508352)",西江路,,,,,
5726340797,5726340789,0,603105981,living_street,False,False,21.763,"LINESTRING (113.3454799 23.1510359, 113.3454826 23.1508402)",,,,,,
5726340797,5726340795,0,603105981,living_street,False,True,18.071,"LINESTRING (113.3454799 23.1510359, 113.3454777 23.1511984)",,,,,,
5726340797,5726340796,0,603105985,living_street,False,True,55.614,"LINESTRING (113.3454799 23.1510359, 113.3449366 23.1510603)",,,,,,
5726340799,5726340697,0,488110319,residential,False,False,5.501,"LINESTRING (113.3464136 23.1503447, 113.3464673 23.1503416)",北江路,,,,,
5726340799,5726340694,0,488110319,residential,False,True,63.191,"LINESTRING (113.3464136 23.1503447, 113.3461234 23.1503619, 113.3460155 23.1504299, 113.3458861 23.1505658)",北江路,,,,,
5726340799,5726340801,0,603105986,living_street,False,True,34.901,"LINESTRING (113.3464136 23.1503447, 113.3463876 23.1505968, 113.3463218 23.1505927)",,,,,,
5726340800,5726340705,0,603105969,living_street,False,False,41.956,"LINESTRING (113.3462758 23.1508348, 113.3458705 23.1507757)",,,,,,
5726340800,5726340801,0,603105987,living_street,False,False,27.328,"LINESTRING (113.3462758 23.1508348, 113.3463218 23.1505927)",,,,,,
5726340800,5726340802,0,603105987,living_street,False,True,26.257,"LINESTRING (113.3462758 23.1508348, 113.3462309 23.1510673)",,,,,,
5726340800,5726340802,1,603105969,living_street,False,True,94.012,"LINESTRING (113.3462758 23.1508348, 113.3466071 23.1508831, 113.3465609 23.1511098, 113.3462309 23.1510673)",,,,,,
5726340801,5726340694,0,603105986,living_street,False,True,44.647,"LINESTRING (113.3463218 23.1505927, 113.3458861 23.1505658)",,,,,,
5726340801,5726340800,0,603105987,living_street,False,True,27.328,"LINESTRING (113.3463218 23.1505927, 113.3462758 23.1508348)",,,,,,
5726340801,5726340799,0,603105986,living_street,False,False,34.901,"LINESTRING (113.3463218 23.1505927, 113.3463876 23.1505968, 113.3464136 23.1503447)",,,,,,
5726340802,5726340702,0,603105969,living_street,False,True,39.067,"LINESTRING (113.3462309 23.1510673, 113.3458525 23.1510185)",,,,,,
5726340802,5726340800,0,603105987,living_street,False,False,26.257,"LINESTRING (113.3462309 23.1510673, 113.3462758 23.1508348)",,,,,,
5726340802,5726340800,1,603105969,living_street,False,False,94.012,"LINESTRING (113.3462309 23.1510673, 113.3465609 23.1511098, 113.3466071 23.1508831, 113.3462758 23.1508348)",,,,,,
5726340803,5726340725,0,603105963,residential,False,False,42.449,"LINESTRING (113.3464955 23.15213, 113.3468974 23.1522258)",九一八路,,,,,
5726340803,5726340785,0,603105988,residential,False,True,44.943,"LINESTRING (113.3464955 23.15213, 113.346521 23.1517265)",,,,,,
5726340803,5726340723,0,603105963,residential,False,True,79.36,"LINESTRING (113.3464955 23.15213, 113.3463286 23.1520903, 113.3457591 23.1522748)",九一八路,,,,,
5726340806,5726340820,0,603105992,living_street,False,True,36.908,"LINESTRING (113.3433895 23.1505705, 113.3430651 23.1504249)",,,,,,
5726340806,5726340737,0,"[603105966, 603105989, 603105990]","['residential', 'steps', 'living_street']",False,"[False, True]",117.29299999999999,"LINESTRING (113.3433895 23.1505705, 113.3441115 23.1505835, 113.3444091 23.1507191, 113.3444126 23.1508045)",罗浮山路,,,,,
5726340806,5726340818,0,603105989,residential,False,True,53.937,"LINESTRING (113.3433895 23.1505705, 113.3429754 23.1506226, 113.3428695 23.1505967)",罗浮山路,,,,,
5726340806,5726340821,0,603105991,living_street,False,False,53.265,"LINESTRING (113.3433895 23.1505705, 113.3433814 23.1503702, 113.3431229 23.1502249)",,,,,,
5726340806,5726340817,0,603105991,living_street,False,True,78.31800000000001,"LINESTRING (113.3433895 23.1505705, 113.3433549 23.1507702, 113.3429992 23.1508748, 113.342844 23.1508053)",,,,,,
5726340808,5726340814,0,603105989,residential,False,True,60.413,"LINESTRING (113.3426141 23.150535, 113.342037 23.1504183)",罗浮山路,,,,,
5726340808,5726340819,0,603105989,residential,False,False,17.915000000000003,"LINESTRING (113.3426141 23.150535, 113.3426285 23.1505379, 113.3427836 23.1505758)",罗浮山路,,,,,
5726340808,5726340817,0,603105991,living_street,False,False,45.233000000000004,"LINESTRING (113.3426141 23.150535, 113.3426069 23.1506992, 113.342844 23.1508053)",,,,,,
5726340813,5726340821,0,603105991,living_street,False,True,27.984,"LINESTRING (113.3428894 23.1500936, 113.3431229 23.1502249)",,,,,,
5726340814,5726340808,0,603105989,residential,False,False,60.413,"LINESTRING (113.342037 23.1504183, 113.3426141 23.150535)",罗浮山路,,,,,
5726340814,4409375074,0,603105989,residential,False,True,49.318,"LINESTRING (113.342037 23.1504183, 113.3415659 23.150323)",罗浮山路,,,,,
5726340814,5726340816,0,603105992,living_street,False,False,93.38799999999999,"LINESTRING (113.342037 23.1504183, 113.342115 23.1502431, 113.3428183 23.1503141)",,,,,,
5726340816,5726340820,0,603105992,living_street,False,False,28.08,"LINESTRING (113.3428183 23.1503141, 113.3430651 23.1504249)",,,,,,
5726340816,5726340819,0,603105994,living_street,False,True,29.315,"LINESTRING (113.3428183 23.1503141, 113.3427836 23.1505758)",,,,,,
5726340816,5726340814,0,603105992,living_street,False,True,93.38799999999999,"LINESTRING (113.3428183 23.1503141, 113.342115 23.1502431, 113.342037 23.1504183)",,,,,,
5726340817,5726340818,0,603105993,living_street,False,False,23.341,"LINESTRING (113.342844 23.1508053, 113.3428695 23.1505967)",,,,,,
5726340817,5726340806,0,603105991,living_street,False,False,78.318,"LINESTRING (113.342844 23.1508053, 113.3429992 23.1508748, 113.3433549 23.1507702, 113.3433895 23.1505705)",,,,,,
5726340817,5726340808,0,603105991,living_street,False,True,45.233000000000004,"LINESTRING (113.342844 23.1508053, 113.3426069 23.1506992, 113.3426141 23.150535)",,,,,,
5726340818,5726340819,0,603105989,residential,False,True,9.085,"LINESTRING (113.3428695 23.1505967, 113.3427836 23.1505758)",罗浮山路,,,,,
5726340818,5726340817,0,603105993,living_street,False,True,23.341,"LINESTRING (113.3428695 23.1505967, 113.342844 23.1508053)",,,,,,
5726340818,5726340806,0,603105989,residential,False,False,53.937,"LINESTRING (113.3428695 23.1505967, 113.3429754 23.1506226, 113.3433895 23.1505705)",罗浮山路,,,,,
