element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
way,103640981,,,"POLYGON ((114.363116 30.532563, 114.3625458 30.5326822, 114.362526 30.5326119, 114.3630961 30.5324927, 114.363116 30.532563))",residential,,,,,,,,,,,,"[1196688787, 1196688729, 1196688849, 1196688716, 1196688787]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640982,,,"POLYGON ((114.3629331 30.5338797, 114.3634858 30.5339416, 114.3634678 30.5340604, 114.3629151 30.5339985, 114.3629331 30.5338797))",residential,,,,,,,,,,,,"[1196688789, 1196688753, 1196688743, 1196688749, 1196688789]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640983,,,"POLYGON ((114.3641842 30.5338114, 114.3636373 30.5337731, 114.3636241 30.5339131, 114.364171 30.5339514, 114.3641842 30.5338114))",residential,,,,,,,,,,,,"[1196688830, 1196688837, 1196688742, 1196688756, 1196688830]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640984,,,"POLYGON ((114.3629811 30.5337416, 114.3630021 30.5336209, 114.3635337 30.5336894, 114.3635128 30.5338101, 114.3629811 30.5337416))",residential,,,,,,,,,,,,"[1196688805, 1196688728, 1196688821, 1196688798, 1196688805]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640986,,,"POLYGON ((114.3640326 30.5323687, 114.3636636 30.5324506, 114.3636433 30.5323826, 114.3640123 30.5323008, 114.3640326 30.5323687))",residential,,,,,,,,,,,,"[1196688710, 1196688771, 1196688740, 1196688722, 1196688710]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640987,,,"POLYGON ((114.3638904 30.5343606, 114.363579 30.5343205, 114.3635942 30.534233, 114.3639056 30.534273, 114.3638904 30.5343606))",residential,,,,,,,,,,,,"[1196688807, 1196688723, 1196688717, 1196688779, 1196688807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640988,,,"POLYGON ((114.363233 30.5329563, 114.3626738 30.5330727, 114.3626941 30.533145, 114.3632533 30.5330286, 114.363233 30.5329563))",residential,,,,,,,,,,,,"[1196688843, 1196688776, 1196688737, 1196688712, 1196688843]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103640990,,,"POLYGON ((114.3642277 30.5335618, 114.3636569 30.5335201, 114.3636476 30.533614, 114.3642185 30.5336557, 114.3642277 30.5335618))",residential,,,,,,,,,,,,"[1196688725, 1196688734, 1196688816, 1196688772, 1196688725]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103642342,hospital,校医院,"POLYGON ((114.3581863 30.536025, 114.3583257 30.5358171, 114.3584169 30.5357431, 114.3586905 30.5355907, 114.358771 30.5356877, 114.3585564 30.5358171, 114.3586422 30.5359002, 114.3585135 30.5359926, 114.3584116 30.5359187, 114.3582828 30.5360897, 114.3581863 30.536025))",yes,,,,,,,,,,,,"[1196701897, 1196701918, 1196701910, 1196701941, 1196701928, 1196701895, 1196701874, 1196701932, 1196701886, 1196701900, 1196701897]",,,,hospital,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103745606,,,"POLYGON ((114.3710168 30.5368548, 114.3709537 30.5368879, 114.370779 30.5366409, 114.3708421 30.5366078, 114.3710168 30.5368548))",residential,,,,,,,,,,,,"[1197776382, 1197776470, 1197776339, 1197776448, 1197776382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
