u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,maxspeed
3050561848,3051268250,0,301016430,,service,permissive,False,False,45.913,"LINESTRING (113.2889978 23.0988931, 113.2891104 23.0984934)",
3050561848,3051268285,0,301016430,,service,permissive,False,True,27.595,"LINESTRING (113.2889978 23.0988931, 113.289038 23.0991385)",
3050561849,3050561851,0,300949474,,footway,,False,False,114.316,"LINESTRING (113.291801 23.0991848, 113.2907059 23.0993904)",
3050561849,3051268263,0,300949478,,footway,,False,False,49.831,"LINESTRING (113.291801 23.0991848, 113.2917005 23.0987463)",
3050561849,3050561850,0,300949478,,footway,,False,True,122.095,"LINESTRING (113.291801 23.0991848, 113.2918622 23.0994519, 113.2927412 23.0992876)",
3050561850,3050561855,0,300917758,逸仙路,unclassified,permissive,False,False,59.261,"LINESTRING (113.2927412 23.0992876, 113.2928537 23.0998104)",
3050561850,3050561843,0,300917758,逸仙路,unclassified,permissive,False,True,108.379,"LINESTRING (113.2927412 23.0992876, 113.2925353 23.0983315)",
3050561850,3050561849,0,300949478,,footway,,False,False,122.095,"LINESTRING (113.2927412 23.0992876, 113.2918622 23.0994519, 113.291801 23.0991848)",
3050561851,3051268276,0,300949474,,footway,,False,False,48.285,"LINESTRING (113.2907059 23.0993904, 113.2906117 23.0989649)",
3050561851,3050561849,0,300949474,,footway,,False,True,114.316,"LINESTRING (113.2907059 23.0993904, 113.291801 23.0991848)",
3050561851,3051268325,0,301016471,,footway,,False,True,55.388,"LINESTRING (113.2907059 23.0993904, 113.2906714 23.0998875)",
3050561853,3051268262,0,300949472,,footway,,False,True,87.786,"LINESTRING (113.2945773 23.0995021, 113.2944071 23.0987283)",
3050561853,3051268299,0,301016481,岭南路,service,permissive,False,False,44.794,"LINESTRING (113.2945773 23.0995021, 113.2950056 23.099418)",
3050561853,3051268307,0,301016481,岭南路,service,permissive,False,True,64.394,"LINESTRING (113.2945773 23.0995021, 113.2939588 23.0996103)",
3050561854,3051268332,0,300949482,逸仙路,unclassified,permissive,False,False,33.406,"LINESTRING (113.2932866 23.0997279, 113.2933517 23.1000223)",
3050561854,3051268278,0,300949482,逸仙路,unclassified,permissive,False,True,85.055,"LINESTRING (113.2932866 23.0997279, 113.293121 23.0989783)",
3050561854,3051268307,0,301016481,岭南路,service,permissive,False,False,69.985,"LINESTRING (113.2932866 23.0997279, 113.2939588 23.0996103)",
3050561854,3050561855,0,301016481,岭南路,service,permissive,False,True,45.217,"LINESTRING (113.2932866 23.0997279, 113.2928537 23.0998104)",
3050561855,3051268336,0,300917758,逸仙路,unclassified,permissive,False,False,30.653,"LINESTRING (113.2928537 23.0998104, 113.292912 23.1000808)",
3050561855,3050561850,0,300917758,逸仙路,unclassified,permissive,False,True,59.261,"LINESTRING (113.2928537 23.0998104, 113.2927412 23.0992876)",
3050561855,3050561854,0,301016481,岭南路,service,permissive,False,False,45.217,"LINESTRING (113.2928537 23.0998104, 113.2932866 23.0997279)",
3050561855,3051268329,0,301016481,岭南路,service,permissive,False,True,73.861,"LINESTRING (113.2928537 23.0998104, 113.2921464 23.0999444)",
3050561855,3051268325,0,301016525,,footway,,False,False,228.051,"LINESTRING (113.2928537 23.0998104, 113.2920749 23.0996398, 113.2906714 23.0998875)",
3050561856,3051268345,0,301016481,岭南路,service,permissive,False,False,40.101,"LINESTRING (113.2903582 23.1001663, 113.2904647 23.1002628, 113.2907023 23.1002178)",
3050561856,3061180292,0,"[301016481, 301016430]",岭南路,service,permissive,False,"[False, True]",162.23,"LINESTRING (113.2903582 23.1001663, 113.2892381 23.1003574, 113.2891714 23.0999509)",
3050561856,3051268316,0,301016529,,footway,,False,False,61.012,"LINESTRING (113.2903582 23.1001663, 113.2900036 23.0997806, 113.2899947 23.0997378)",
3051265328,3051265330,0,301016462,,footway,,False,True,71.353,"LINESTRING (113.2925714 23.0946306, 113.2918962 23.0947919)",
3051265330,3051265328,0,301016462,,footway,,False,False,71.353,"LINESTRING (113.2918962 23.0947919, 113.2925714 23.0946306)",
3051265330,3051265332,0,539998327,逸仙路,unclassified,permissive,False,False,21.551,"LINESTRING (113.2918962 23.0947919, 113.2919424 23.094981)",
3051265332,3051268044,0,539998327,逸仙路,unclassified,permissive,False,False,44.657,"LINESTRING (113.2919424 23.094981, 113.2920383 23.0953728)",
3051265332,3051265330,0,539998327,逸仙路,unclassified,permissive,False,True,21.551,"LINESTRING (113.2919424 23.094981, 113.2918962 23.0947919)",
3051265332,3051268042,0,301016493,,footway,,False,True,130.361,"LINESTRING (113.2919424 23.094981, 113.2912169 23.0951352, 113.2907006 23.0952449)",
3051268036,3051268046,0,301016499,,footway,,False,True,45.797,"LINESTRING (113.2932542 23.0950493, 113.2932463 23.0954611)",
