u,v,key,osmid,highway,oneway,reversed,length,geometry,bridge
5227224039,5227224038,0,504914067,unclassified,False,False,56.435,"LINESTRING (113.4104165 23.0168266, 113.4099191 23.0166075)",
5227224039,5227181753,0,504914067,unclassified,False,True,7.466,"LINESTRING (113.4104165 23.0168266, 113.4104823 23.0168556)",
5227224039,5227217092,0,540282328,footway,False,True,158.317,"LINESTRING (113.4104165 23.0168266, 113.4097449 23.0181092)",
5227224051,5227224053,0,504914064,unclassified,False,False,71.599,"LINESTRING (113.4053958 23.0212784, 113.4050951 23.0218598)",
5227224051,5227149214,0,504914064,unclassified,False,True,143.159,"LINESTRING (113.4053958 23.0212784, 113.4059972 23.020116)",
5227224051,5227224052,0,540283144,footway,False,False,18.632,"LINESTRING (113.4053958 23.0212784, 113.4055592 23.0213523)",
5227224052,5227224051,0,540283144,footway,False,True,18.632,"LINESTRING (113.4055592 23.0213523, 113.4053958 23.0212784)",
5227224053,5227224051,0,504914064,unclassified,False,True,71.599,"LINESTRING (113.4050951 23.0218598, 113.4053958 23.0212784)",
5227224053,5227223969,0,504914064,unclassified,False,False,350.66700000000003,"LINESTRING (113.4050951 23.0218598, 113.4050064 23.0220311, 113.4049992 23.0220787, 113.4050173 23.0221383, 113.4050502 23.0221819, 113.4075652 23.0237589)",
5227224053,5227224055,0,540283145,footway,False,False,46.736999999999995,"LINESTRING (113.4050951 23.0218598, 113.4053276 23.0219477, 113.4055329 23.0219513)",
5227224055,5227224053,0,540283145,footway,False,True,46.736999999999995,"LINESTRING (113.4055329 23.0219513, 113.4053276 23.0219477, 113.4050951 23.0218598)",
8890471787,4950043870,0,540282343,unclassified,False,True,183.086,"LINESTRING (113.4133947 23.0229434, 113.4118752 23.0220743)",
8890471787,4950043849,0,1047005889,unclassified,False,False,439.879,"LINESTRING (113.4133947 23.0229434, 113.4146018 23.021741, 113.4146357 23.0216602, 113.4146218 23.020326, 113.4139011 23.0197207)",
9474306838,4950043876,0,504914064,unclassified,False,False,75.183,"LINESTRING (113.4066563 23.0188536, 113.4063392 23.0194635)",
9474306838,4950043881,0,504914064,unclassified,False,True,210.172,"LINESTRING (113.4066563 23.0188536, 113.4073693 23.017482, 113.4075258 23.0171416)",
9627882855,5227149325,0,504914064,unclassified,False,False,71.9,"LINESTRING (113.4093797 23.0233924, 113.4093541 23.0233297, 113.4092827 23.0232443, 113.4088132 23.0230547)",
9627882855,5227149216,0,504914064,unclassified,False,True,152.168,"LINESTRING (113.4093797 23.0233924, 113.409397 23.0234349, 113.4093791 23.0235236, 113.4090328 23.0240231, 113.4089114 23.0241742, 113.408765 23.0242465, 113.4085972 23.0242794, 113.4084437 23.0242695)",
9627882855,11174641680,0,1047005881,service,False,False,97.00399999999999,"LINESTRING (113.4093797 23.0233924, 113.4093911 23.0232948, 113.4093619 23.0232272, 113.4092725 23.023149, 113.4091009 23.0230627, 113.4089806 23.0230139, 113.4089328 23.0229455, 113.4089456 23.0227905, 113.4089554 23.0227411)",
9627882865,5227224026,0,540274754,unclassified,False,False,81.08500000000001,"LINESTRING (113.4090564 23.0222384, 113.4090835 23.0221767, 113.4092074 23.0220626, 113.4094347 23.021958, 113.4096837 23.021953, 113.4097227 23.0219662)",
9627882865,5227149325,0,540274754,unclassified,False,True,94.438,"LINESTRING (113.4090564 23.0222384, 113.408995 23.0223773, 113.4089194 23.022706, 113.4088481 23.022985, 113.4088132 23.0230547)",
9627882865,11174641680,0,1047005881,service,False,True,57.025000000000006,"LINESTRING (113.4090564 23.0222384, 113.4090462 23.0223886, 113.4090057 23.0225417, 113.4089646 23.0226945, 113.4089554 23.0227411)",
9627882903,9627882904,0,1047005886,unclassified,False,False,110.658,"LINESTRING (113.4107182 23.0196347, 113.4111921 23.0187402)",
9627882904,5227217092,0,504914062,unclassified,False,True,163.888,"LINESTRING (113.4111921 23.0187402, 113.4097449 23.0181092)",
9627882904,9627882903,0,1047005886,unclassified,False,True,110.658,"LINESTRING (113.4111921 23.0187402, 113.4107182 23.0196347)",
9627882904,4950043853,0,504914062,unclassified,False,False,185.70000000000002,"LINESTRING (113.4111921 23.0187402, 113.411973 23.0190807, 113.4123368 23.0190323, 113.4124977 23.0189434, 113.4127548 23.0186672)",
9627884431,5227149213,0,540274754,unclassified,False,False,18.343,"LINESTRING (113.4077046 23.0221429, 113.4076867 23.022207, 113.4076427 23.0222971)",
9627884431,5227149204,0,540274754,unclassified,False,True,133.418,"LINESTRING (113.4077046 23.0221429, 113.4077354 23.0220327, 113.4077517 23.0210525, 113.4077644 23.0209474)",
9627884431,9627884435,0,1047005891,footway,False,False,29.063000000000002,"LINESTRING (113.4077046 23.0221429, 113.4078458 23.0222323, 113.4079427 23.0222851)",
