u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,service,tunnel,bridge,ref,junction,access
2154564598,7961592360,0,853584755,华农泰山一路,living_street,False,True,71.087,"LINESTRING (113.3623442 23.1542343, 113.3616489 23.1542308)",,,,,,,,
2154564598,7961592357,0,853584759,,steps,False,True,22.645,"LINESTRING (113.3623442 23.1542343, 113.3623464 23.1543196, 113.3623488 23.1544379)",,,,,,,,
2154564600,5726340656,0,205493513,,living_street,False,False,63.908,"LINESTRING (113.3596182 23.1565783, 113.3602433 23.1565769)",,,,,,,,
2154564600,7961592374,0,853584764,,residential,False,False,97.864,"LINESTRING (113.3596182 23.1565783, 113.3596136 23.1556982)",,,,,,,,
2154564602,1988660598,0,852603758,华农泰山二路,living_street,False,False,154.719,"LINESTRING (113.3642644 23.1542438, 113.3643303 23.1556339)",,,,,,,,
2154564602,7961592363,0,853584755,华农泰山一路,living_street,False,True,94.572,"LINESTRING (113.3642644 23.1542438, 113.3633394 23.1542392)",,,,,,,,
2154564602,2154564587,0,"[857689752, 857689753, 205493512]",,service,False,True,195.865,"LINESTRING (113.3642644 23.1542438, 113.3640142 23.1537533, 113.363219 23.1537501, 113.3632133 23.1542386)",,,driveway,,,,,
2154564607,7961592358,0,205493506,泰山公寓三路,living_street,False,False,132.601,"LINESTRING (113.3628295 23.1556326, 113.3628345 23.1544401)",,,,,,,,
2154564607,2154564574,0,852603756,紫荆路,living_street,False,False,50.372,"LINESTRING (113.3628295 23.1556326, 113.3623368 23.1556322)",,,,,,,,
2154564607,2154564591,0,852603756,紫荆路,living_street,False,True,50.996,"LINESTRING (113.3628295 23.1556326, 113.3633283 23.1556331)",,,,,,,,
2154564612,8857415219,0,205493508,华农泰山一路,living_street,False,False,75.927,"LINESTRING (113.3609827 23.155631, 113.3609894 23.1549482)",2,,,,,,,
2154564612,7961592371,0,853584774,,living_street,False,True,6.797,"LINESTRING (113.3609827 23.155631, 113.3609809 23.1556921)",,,,,,,,
2154564612,2154564592,0,931675663,紫荆路,living_street,False,True,67.343,"LINESTRING (113.3609827 23.155631, 113.3610955 23.1556311, 113.3616414 23.1556316)",,,,,,,,
2154585592,1988660755,0,914297521,,footway,False,False,123.064,"LINESTRING (113.3553078 23.1632857, 113.3552478 23.1634027, 113.3550921 23.1633586, 113.3550465 23.1634733, 113.354963 23.16359, 113.3548638 23.163685, 113.3546648 23.1637984, 113.3544383 23.1638657)",,,,,,,,
2154585592,1988660665,0,914297522,,service,True,False,280.264,"LINESTRING (113.3553078 23.1632857, 113.355385 23.1630245, 113.3556246 23.162704, 113.3564364 23.1626971, 113.3566241 23.1619127, 113.3567155 23.1616129)",1,,driveway,,,,,
2154585666,7996272379,0,871061287,,residential,False,True,11.951,"LINESTRING (113.3533833 23.1606726, 113.3532844 23.1607299)",,,,,,,,
