u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,access,geometry,tunnel,bridge,service
2920576165,3358814594,0,698105107,,,footway,,False,True,9.802,,"LINESTRING (-0.1781046 51.4997705, -0.1780888 51.4996829)",,,
2920576165,7369577093,0,"[943673803, 299032751]",2,Prince Consort Road,residential,20 mph,False,True,31.128,,"LINESTRING (-0.1781046 51.4997705, -0.1781441 51.4997675, -0.1783735 51.4997502, -0.178551 51.4997367)",,,
2920576167,7370281030,0,"[778569041, 288499492, 288499493]",,,footway,,False,True,67.782,private,"LINESTRING (-0.1781604 51.5003803, -0.1780929 51.4999881, -0.1780777 51.499894, -0.1780533 51.4997744)",building_passage,,
3358814594,2920576165,0,698105107,,,footway,,False,False,9.802,,"LINESTRING (-0.1780888 51.4996829, -0.1781046 51.4997705)",,,
6524005140,10570882361,0,"[1133279013, 110085214]",,Sherfield Walkway,footway,,False,False,77.867,,"LINESTRING (-0.178014 51.4987603, -0.1780105 51.4987461, -0.1780092 51.4987368, -0.1769307 51.4988203)",building_passage,yes,
6524005140,10565963992,0,110085214,,Sherfield Walkway,footway,,False,True,71.303,,"LINESTRING (-0.178014 51.4987603, -0.1790053 51.4986778, -0.17901 51.4986962)",,yes,
6524005140,10566015716,0,"[694684569, 694684570, 1135833165, 1179693902]",,,"['steps', 'footway']",,False,False,21.023000000000003,permissive,"LINESTRING (-0.178014 51.4987603, -0.1779117 51.4987686, -0.177914 51.498781, -0.1780076 51.4987736, -0.1780447 51.4987707, -0.1780454 51.4987782, -0.1780462 51.4987862, -0.1780477 51.498801)",,yes,
6524005142,26389452,0,"[701097801, 788462334]",,,footway,,False,False,9.685,,"LINESTRING (-0.1779862 51.4985276, -0.1779811 51.4984897, -0.177929 51.4984934, -0.1779028 51.4984953)",yes,,
6524005152,6768922419,0,694684572,,,service,,False,False,17.166,destination,"LINESTRING (-0.1785929 51.4994092, -0.1788393 51.4993918)",,,
6524005152,6768922422,0,788540039,,Callendar Road,service,,False,False,12.414,destination,"LINESTRING (-0.1785929 51.4994092, -0.1785513 51.4993006)",,,
6524005152,6731316344,0,788540039,,Callendar Road,service,,False,True,4.288,destination,"LINESTRING (-0.1785929 51.4994092, -0.1786109 51.4994461)",,,
6524005153,6768922419,0,694684572,,,service,,False,True,6.392,destination,"LINESTRING (-0.1789309 51.4993845, -0.1788393 51.4993918)",,,
6524005154,6524005155,0,694684573,,,service,,False,False,21.519,destination,"LINESTRING (-0.1787113 51.4986494, -0.1790201 51.4986271)",,,
6524005154,7933754373,0,850407192,,Wells Way,service,,False,False,90.189,destination,"LINESTRING (-0.1787113 51.4986494, -0.1785546 51.4978707, -0.1785493 51.4978446)",,,
6524005154,29354062,0,"[850407192, 850407193, 788240323, 1213090897]",,"['Wells Way', 'Ayrton Road']",service,,False,True,26.497,destination,"LINESTRING (-0.1787113 51.4986494, -0.1787217 51.4987115, -0.1787158 51.4987237, -0.1787006 51.4987332, -0.1786577 51.4987428, -0.1786068 51.4987502, -0.1784653 51.4987613)",yes,,
6524005155,6524005154,0,694684573,,,service,,False,True,21.519,destination,"LINESTRING (-0.1790201 51.4986271, -0.1787113 51.4986494)",,,
6575572076,6584208468,0,701097802,,,pedestrian,,False,True,1.606,,"LINESTRING (-0.1778747 51.4983719, -0.1778764 51.4983863)",,,
6575572077,6584208469,0,701097803,,,pedestrian,,False,True,1.492,,"LINESTRING (-0.1778557 51.4982937, -0.1778528 51.4982804)",,,
6584208468,6575572076,0,701097802,,,pedestrian,,False,False,1.606,,"LINESTRING (-0.1778764 51.4983863, -0.1778747 51.4983719)",,,
6584208468,26389452,0,4407475,,Dangoor Plaza,pedestrian,,False,False,12.837,,"LINESTRING (-0.1778764 51.4983863, -0.1778852 51.4983859, -0.1778905 51.4984266, -0.1779028 51.4984953)",,,
6584208468,6586961108,0,4407475,,Dangoor Plaza,pedestrian,,False,True,10.281,,"LINESTRING (-0.1778764 51.4983863, -0.1778214 51.49839, -0.1778089 51.4983325)",,,
6584208469,6575572077,0,701097803,,,pedestrian,,False,False,1.492,,"LINESTRING (-0.1778528 51.4982804, -0.1778557 51.4982937)",,,
6584208469,6586961108,0,4407475,,Dangoor Plaza,pedestrian,,False,False,9.272,,"LINESTRING (-0.1778528 51.4982804, -0.1777965 51.4982851, -0.1778089 51.4983325)",,,
6584208469,6731316347,0,"[4407475, 1133856628]",,Dangoor Plaza,pedestrian,,False,True,48.751,,"LINESTRING (-0.1778528 51.4982804, -0.1778614 51.4982797, -0.177809 51.4980358, -0.1777963 51.4979657, -0.1778811 51.4979588, -0.1778687 51.4978961)",,,
6586284262,6586284270,0,788462338,,Dangoor Plaza,footway,,False,False,7.681,permissive,"LINESTRING (-0.1775772 51.4984535, -0.1776874 51.4984454)",,,
6586284262,7370249758,0,"[788306096, 701295395]",,,"['steps', 'footway']",,False,False,2.9130000000000003,permissive,"LINESTRING (-0.1775772 51.4984535, -0.177582 51.4984705, -0.1775845 51.4984793)",,,
6586284262,7371559440,0,"[788462338, 788306094]",,Dangoor Plaza,footway,,False,"[False, True]",48.047,permissive,"LINESTRING (-0.1775772 51.4984535, -0.1771305 51.4984862, -0.177125 51.4984633, -0.1770587 51.4984695, -0.1769204 51.4984833)",,,
