u,v,key,osmid,oneway,name,highway,reversed,length,access,geometry,tunnel,width,bridge
2706849483,2706849489,0,265033441,False,志学路,residential,True,10.263,permissive,"LINESTRING (117.2657395 31.8396582, 117.2657395 31.8395659)",,,
2706849483,2706849487,0,265033442,False,东升路,residential,True,72.419,permissive,"LINESTRING (117.2657395 31.8396582, 117.2665042 31.8397044)",,,
2706849483,2735666648,0,265033441,False,志学路,residential,False,134.889,permissive,"LINESTRING (117.2657395 31.8396582, 117.2656503 31.8407263, 117.2655081 31.8408015)",,,
2706849485,2706849486,0,265033442,False,东升路,residential,False,47.082,permissive,"LINESTRING (117.2670787 31.8397077, 117.2666944 31.8396153, 117.2665973 31.8396318)",,,
2706849485,10583324299,0,1135360063,False,,footway,False,122.17099999999999,,"LINESTRING (117.2670787 31.8397077, 117.2671189 31.8391701, 117.2671474 31.8386106)",,,
2706849486,2706849487,0,265033442,False,东升路,residential,False,11.938,permissive,"LINESTRING (117.2665973 31.8396318, 117.2665042 31.8397044)",,,
2706849486,2706849485,0,265033442,False,东升路,residential,True,47.082,permissive,"LINESTRING (117.2665973 31.8396318, 117.2666944 31.8396153, 117.2670787 31.8397077)",,,
2706849486,3114535077,0,306495981,False,,service,False,20.262,,"LINESTRING (117.2665973 31.8396318, 117.2665834 31.8395823, 117.2665351 31.8395025, 117.2664868 31.8394957)",,,
2706849487,2706849483,0,265033442,False,东升路,residential,False,72.419,permissive,"LINESTRING (117.2665042 31.8397044, 117.2657395 31.8396582)",,,
2706849487,2706849486,0,265033442,False,东升路,residential,True,11.938,permissive,"LINESTRING (117.2665042 31.8397044, 117.2665973 31.8396318)",,,
2706849487,3026597047,0,298742076,False,,service,True,137.30399999999997,permissive,"LINESTRING (117.2665042 31.8397044, 117.266544 31.8397643, 117.2664975 31.8403466, 117.266451 31.8404716, 117.2664197 31.8409221)",,,
2706849489,2706849483,0,265033441,False,志学路,residential,False,10.263,permissive,"LINESTRING (117.2657395 31.8395659, 117.2657395 31.8396582)",,,
2706849489,2706849482,0,265033441,False,志学路,residential,True,80.311,permissive,"LINESTRING (117.2657395 31.8395659, 117.2658003 31.8388455)",,,
2706849489,2896638822,0,265033443,False,,service,False,61.052,permissive,"LINESTRING (117.2657395 31.8395659, 117.2650956 31.8395186)",,,
2706849490,2896638822,0,265033443,False,,service,True,50.435,permissive,"LINESTRING (117.2645633 31.8394834, 117.2650956 31.8395186)",,,
2706849490,2758031713,0,265583821,False,天使路,pedestrian,False,24.358,permissive,"LINESTRING (117.2645633 31.8394834, 117.2645816 31.8392649)",,,
2706849490,2936366191,0,265583821,False,天使路,pedestrian,True,14.313,permissive,"LINESTRING (117.2645633 31.8394834, 117.2645573 31.8395558, 117.2645526 31.8396118)",,,
2706849493,2755623221,0,265033444,False,,residential,False,76.327,permissive,"LINESTRING (117.2666232 31.8427218, 117.2674312 31.8427282)",,,
2706849493,2936366180,0,265033444,False,,residential,True,5.571,permissive,"LINESTRING (117.2666232 31.8427218, 117.2666048 31.8427694)",,,
2706849493,3114546342,0,298742072,False,东二路,service,False,23.842,permissive,"LINESTRING (117.2666232 31.8427218, 117.2665802 31.8426208, 117.266586 31.8425139)",,,
2708347213,3732910990,0,264872431,False,瀚海路,residential,True,22.581,permissive,"LINESTRING (117.2654444 31.8414897, 117.2652059 31.8414759)",,,
2708347213,3026597045,0,268206609,False,石榴园路,residential,False,11.92,permissive,"LINESTRING (117.2654444 31.8414897, 117.2654441 31.8415969)",,,
2708347213,3026597038,0,268206609,False,石榴园路,residential,True,69.413,permissive,"LINESTRING (117.2654444 31.8414897, 117.2655024 31.8408674)",,,
2708347216,3732910998,0,264872431,False,瀚海路,residential,False,13.0,permissive,"LINESTRING (117.2644362 31.8414312, 117.2645735 31.8414392)",,,
2708347216,2705289539,0,264872431,False,瀚海路,residential,True,77.681,permissive,"LINESTRING (117.2644362 31.8414312, 117.2636165 31.8413751)",,,
2708347216,3732911007,0,265575543,False,天使路,service,True,36.876,permissive,"LINESTRING (117.2644362 31.8414312, 117.2644536 31.8410999)",,,
2708347216,3112603883,0,265575543,False,天使路,service,False,58.186,permissive,"LINESTRING (117.2644362 31.8414312, 117.2645071 31.8418813, 117.2645035 31.8419504)",,,
2708347218,2706839946,0,265032059,False,,residential,True,52.556,permissive,"LINESTRING (117.2613606 31.8358405, 117.2613746 31.835368)",,,
2708347218,2894949810,0,369507587,False,理化路,residential,False,67.378,permissive,"LINESTRING (117.2613606 31.8358405, 117.2620729 31.8358716)",,,
2708347218,2706839909,0,265032061,False,,service,True,133.336,permissive,"LINESTRING (117.2613606 31.8358405, 117.260984 31.8358314, 117.2608613 31.8358471, 117.2607733 31.8358806, 117.2607162 31.8359692, 117.2606853 31.8365593)",,,
2708347226,2710571990,0,265162182,False,理化路,service,True,37.789,permissive,"LINESTRING (117.2639369 31.8359609, 117.2635375 31.835942)",,,
2708347226,3026997355,0,"[298766166, 265162182]",False,理化路,service,False,89.091,permissive,"LINESTRING (117.2639369 31.8359609, 117.2639889 31.8358915, 117.2640502 31.8358631, 117.2642081 31.8358741, 117.2642508 31.835912, 117.2642806 31.835983, 117.264249 31.8360335, 117.264223 31.8363144, 117.2641784 31.8363586)",,,
2708347226,3026997363,0,298766166,False,,service,True,53.62500000000001,permissive,"LINESTRING (117.2639369 31.8359609, 117.2639685 31.8360098, 117.2639499 31.8362986, 117.2639871 31.8363476, 117.2640798 31.8363529)",,,
2710571989,2710571992,0,265384837,False,,service,True,79.231,permissive,"LINESTRING (117.2627809 31.8353784, 117.2636187 31.8354115)",,,
2710571989,3026997370,0,298766172,False,,service,False,18.302,permissive,"LINESTRING (117.2627809 31.8353784, 117.2627693 31.8355427)",,,
2710571989,2706839947,0,265032066,False,,service,False,174.64600000000002,permissive,"LINESTRING (117.2627809 31.8353784, 117.2627432 31.8350373, 117.2624562 31.8350122, 117.2622738 31.8350669, 117.2622179 31.8358841)",,,
2710571990,2708347226,0,265162182,False,理化路,service,False,37.789,permissive,"LINESTRING (117.2635375 31.835942, 117.2639369 31.8359609)",,,
2710571990,2705289537,0,265162182,False,理化路,service,True,32.404,permissive,"LINESTRING (117.2635375 31.835942, 117.2631946 31.8359343)",,,
2710571990,2710571991,0,265384836,False,,service,False,41.122,permissive,"LINESTRING (117.2635375 31.835942, 117.2635555 31.8355725)",,,
2710571991,3026997366,0,265384836,False,,service,False,5.889,permissive,"LINESTRING (117.2635555 31.8355725, 117.2635667 31.8355204)",,,
2710571991,2710571990,0,265384836,False,,service,True,41.122,permissive,"LINESTRING (117.2635555 31.8355725, 117.2635375 31.835942)",,,
2710571991,3026997370,0,298766170,False,,service,True,74.344,permissive,"LINESTRING (117.2635555 31.8355725, 117.2627693 31.8355427)",,,
2710571992,2710571989,0,265384837,False,,service,False,79.231,permissive,"LINESTRING (117.2636187 31.8354115, 117.2627809 31.8353784)",,,
2710571992,2710571993,0,265384836,False,,service,False,24.932000000000002,permissive,"LINESTRING (117.2636187 31.8354115, 117.2636596 31.8353752, 117.2636686 31.8352014)",,,
2710571992,3026997366,0,265384836,False,,service,True,13.137,permissive,"LINESTRING (117.2636187 31.8354115, 117.2635908 31.8354541, 117.2635667 31.8355204)",,,
2710571993,2710571993,0,"[265384836, 285860084]",False,,service,"[False, True]",103.87700000000001,permissive,"LINESTRING (117.2636686 31.8352014, 117.2637088 31.8349644, 117.2634483 31.8349689, 117.2633962 31.834998, 117.2633649 31.8350335, 117.2633604 31.8350752, 117.2633694 31.8351221, 117.2633917 31.8351613, 117.263432 31.8351841, 117.2636123 31.835193, 117.2636686 31.8352014)",,,
2710571993,2710571993,1,"[265384836, 285860084]",False,,service,"[False, True]",103.877,permissive,"LINESTRING (117.2636686 31.8352014, 117.2636123 31.835193, 117.263432 31.8351841, 117.2633917 31.8351613, 117.2633694 31.8351221, 117.2633604 31.8350752, 117.2633649 31.8350335, 117.2633962 31.834998, 117.2634483 31.8349689, 117.2637088 31.8349644, 117.2636686 31.8352014)",,,
2710571993,2710571992,0,265384836,False,,service,True,24.932000000000002,permissive,"LINESTRING (117.2636686 31.8352014, 117.2636596 31.8353752, 117.2636187 31.8354115)",,,
2710571995,3026997370,0,298766172,False,,service,True,40.58,permissive,"LINESTRING (117.2627437 31.835907, 117.2627693 31.8355427)",,,
2710571995,2705289537,0,369507587,False,理化路,residential,False,42.703,permissive,"LINESTRING (117.2627437 31.835907, 117.2631946 31.8359343)",,,
2710571995,2706839947,0,369507587,False,理化路,residential,True,49.736,permissive,"LINESTRING (117.2627437 31.835907, 117.2622179 31.8358841)",,,
2712228922,3139668520,0,265575541,False,,service,False,24.134,permissive,"LINESTRING (117.2614597 31.8393321, 117.261331 31.8393127, 117.2612129 31.8392785)",,,
2712228922,3139668525,0,265575541,False,,service,True,44.711,permissive,"LINESTRING (117.2614597 31.8393321, 117.2615313 31.8393236, 117.2619159 31.8392271)",,,
2712228922,3139668516,0,"[308701268, 365518967]",False,,"['path', 'service']","[False, True]",91.32499999999999,,"LINESTRING (117.2614597 31.8393321, 117.2614463 31.8394642, 117.2614247 31.839646, 117.2617861 31.8397067, 117.2617494 31.8398972)",,0.5,
2712228955,2712228956,0,265575550,False,,service,False,40.013,permissive,"LINESTRING (117.2636498 31.8410037, 117.2636708 31.8406443)",,,
2712228956,2712228955,0,265575550,False,,service,True,40.013,permissive,"LINESTRING (117.2636708 31.8406443, 117.2636498 31.8410037)",,,
2712228956,3112589250,0,268836529,False,勤奋路,service,False,24.065,permissive,"LINESTRING (117.2636708 31.8406443, 117.2634167 31.8406287)",,,
2712228956,3114546343,0,268836529,False,勤奋路,service,True,30.305,permissive,"LINESTRING (117.2636708 31.8406443, 117.2639911 31.8406597)",,,
2724738770,2706839903,0,265032054,False,孺子牛路,residential,True,72.6,permissive,"LINESTRING (117.2646247 31.8388128, 117.2638582 31.8387652)",,,
2724738770,2758031713,0,265583821,False,天使路,pedestrian,True,50.436,permissive,"LINESTRING (117.2646247 31.8388128, 117.2645816 31.8392649)",,,
