element_type,osmid,building,name,geometry,nodes,name:zh,office,leisure,sport,amenity,building:levels,fast_food,name_1,ways,type
way,599567594,dormitory,学生宿舍19舍,"POLYGON ((103.989401 30.5570426, 103.9895046 30.5570622, 103.9894611 30.5572326, 103.9893598 30.5572135, 103.9893378 30.5572994, 103.9883156 30.5571057, 103.9883409 30.5570069, 103.9893607 30.5572003, 103.989401 30.5570426))","[5704012655, 5704012656, 5704012657, 5704012658, 5704012659, 5704012660, 5704012661, 5704012662, 5704012655]",,,,,,,,,,
way,599567595,dormitory,学生宿舍19舍,"POLYGON ((103.988333 30.556885, 103.9884069 30.5568975, 103.9884404 30.5567502, 103.9894158 30.5569146, 103.9894067 30.5569545, 103.9895219 30.5569739, 103.9895533 30.5568357, 103.9883888 30.5566394, 103.988333 30.556885))","[5704012663, 5704012664, 5704012665, 5704012666, 5704012667, 5704012668, 5704012669, 5704012670, 5704012663]",,,,,,,,,,
way,599567596,dormitory,学生宿舍15舍,"POLYGON ((103.9896332 30.5573668, 103.9897446 30.5573897, 103.9896522 30.5577233, 103.9901582 30.5578272, 103.9902519 30.557489, 103.9903977 30.557519, 103.9902991 30.5578748, 103.9901619 30.5578466, 103.9901427 30.5579158, 103.9896375 30.5578121, 103.989659 30.5577345, 103.9895383 30.5577097, 103.9896332 30.5573668))","[5704012672, 5704012673, 5704012674, 5704012675, 5704012676, 5704012677, 5704012678, 5704012679, 5704012680, 5704012681, 5704012682, 5704012683, 5704012672]",,,,,,,,,,
way,599567597,dormitory,学生宿舍15舍,"POLYGON ((103.9896601 30.5573208, 103.9897454 30.5573377, 103.9897718 30.5572386, 103.9903626 30.5573552, 103.9903442 30.5574245, 103.9904469 30.5574448, 103.990489 30.5572866, 103.98971 30.557133, 103.9896601 30.5573208))","[5704012684, 5704012685, 5704012686, 5704012687, 5704012688, 5704012689, 5704012690, 5704012691, 5704012684]",,,,,,,,,,
way,599567598,dormitory,学生宿舍14舍,"POLYGON ((103.9904971 30.5577116, 103.9905966 30.5577328, 103.9905472 30.5579051, 103.9912468 30.558054, 103.9912192 30.5581501, 103.9905221 30.5580018, 103.9905444 30.5579243, 103.9904423 30.5579026, 103.9904971 30.5577116))","[5704012692, 5704012693, 5704012694, 5704012695, 5704012696, 5704012697, 5704012698, 5704012699, 5704012692]",,,,,,,,,,
way,599567599,dormitory,学生宿舍14舍,"POLYGON ((103.990518 30.5576235, 103.9906318 30.557647, 103.9906405 30.5576159, 103.9908313 30.5576553, 103.9908209 30.5576926, 103.9912187 30.5577749, 103.9911769 30.5579248, 103.9912775 30.5579456, 103.9913252 30.5577744, 103.9912112 30.5577508, 103.9912339 30.5576695, 103.9908689 30.557594, 103.9908745 30.5575738, 103.9905505 30.5575068, 103.990518 30.5576235))","[5704012700, 5704012701, 5704012702, 5704012703, 5704012704, 5704012705, 5704012706, 5704012707, 5704012708, 5704012709, 5704012710, 5704012711, 5704012712, 5704012713, 5704012700]",,,,,,,,,,
way,599571303,dormitory,学生宿舍13舍,"POLYGON ((103.9914069 30.5579195, 103.9915213 30.5579444, 103.9914761 30.5580984, 103.9921545 30.5582461, 103.9921259 30.5583436, 103.9914454 30.5581955, 103.9914673 30.5581209, 103.991355 30.5580965, 103.9914069 30.5579195))","[5704032020, 5704032021, 5704032022, 5704032023, 5704032024, 5704032025, 5704032026, 5704032027, 5704032020]",,,,,,,,,,
way,599571304,dormitory,学生宿舍13舍,"POLYGON ((103.9914304 30.5578575, 103.9915284 30.5578794, 103.9915414 30.5578361, 103.9921264 30.5579665, 103.9920791 30.5581239, 103.992189 30.5581484, 103.9922423 30.557971, 103.9921403 30.5579483, 103.9921606 30.5578809, 103.9914696 30.5577269, 103.9914304 30.5578575))","[5704032028, 5704032029, 5704032030, 5704032031, 5704032032, 5704032033, 5704032034, 5704032035, 5704032036, 5704032037, 5704032028]",,,,,,,,,,
way,599571305,yes,西园一餐厅、小吃城,"POLYGON ((103.9915943 30.5575029, 103.9922177 30.5576235, 103.9922481 30.5574808, 103.99215 30.5574586, 103.9921687 30.5573923, 103.9921991 30.5573903, 103.9922387 30.5573762, 103.9922738 30.5573641, 103.9923135 30.557338, 103.9923438 30.5573078, 103.9923742 30.5572817, 103.9923905 30.5572556, 103.9923975 30.5572194, 103.9924069 30.5571852, 103.9924069 30.5571369, 103.9923999 30.5571068, 103.9923882 30.5570686, 103.9923648 30.5570324, 103.9923321 30.5569962, 103.9922925 30.5569721, 103.9923111 30.5568816, 103.9922073 30.5568389, 103.9914521 30.5563812, 103.9914224 30.5563463, 103.9913596 30.5563429, 103.9911859 30.5562322, 103.9911462 30.5562897, 103.9912325 30.5563422, 103.9910793 30.5565166, 103.9913227 30.5566625, 103.991409 30.5566492, 103.9915631 30.5567341, 103.991597 30.5567049, 103.9918003 30.5568296, 103.9917321 30.5570808, 103.9915943 30.5575029))","[5704032038, 5704032039, 5704032040, 5704032041, 5704032042, 5704032043, 5704032044, 5704032045, 5704032046, 5704032047, 5704032048, 5704032049, 5704032050, 5704032051, 5704032052, 5704032053, 5704032054, 5704032055, 5704032056, 5704032057, 5704032058, 5704032059, 5704032060, 5704126023, 5704032061, 5704126025, 5704126026, 5704126027, 5704032063, 5704032064, 5704032065, 5704032066, 5704032067, 5704032068, 5704032069, 5704032038]",,,,,restaurant,,,,,
way,599573411,dormitory,学生宿舍10舍,"POLYGON ((103.9890054 30.5562081, 103.9891072 30.5562299, 103.9890616 30.5563872, 103.9896891 30.5565219, 103.9896596 30.5566236, 103.9890301 30.5564884, 103.989052 30.5564127, 103.9889524 30.5563913, 103.9890054 30.5562081))","[5704044558, 5704044559, 5704044560, 5704044561, 5704044562, 5704044563, 5704044564, 5704044565, 5704044558]",,,,,,,,,,
way,599573412,dormitory,学生宿舍10舍,"POLYGON ((103.9890127 30.5561598, 103.9890818 30.5561745, 103.989095 30.5561288, 103.9897661 30.556272, 103.9897211 30.5564282, 103.9898362 30.5564528, 103.9898869 30.5562765, 103.9897785 30.5562534, 103.9898013 30.5561743, 103.9890544 30.5560149, 103.9890127 30.5561598))","[5704044566, 5704044567, 5704044568, 5704044569, 5704044570, 5704044571, 5704044572, 5704044573, 5704044574, 5704044575, 5704044566]",,,,,,,,,,
way,599573414,yes,制造梦工厂,"POLYGON ((103.9890706 30.5559337, 103.9892634 30.5559746, 103.989284 30.5559027, 103.9895892 30.5559676, 103.9895716 30.5560288, 103.989951 30.5561094, 103.9900009 30.5559353, 103.9896335 30.5558572, 103.9896439 30.5558211, 103.989134 30.5557127, 103.9890706 30.5559337))","[5704044578, 5704044579, 5704044580, 5704044581, 5704044582, 5704044583, 5704044584, 5704044585, 5704044586, 5704044587, 5704044578]",,,,,,2,,,,
way,599573415,hospital,四川大学江安医院,"POLYGON ((103.990221 30.5557817, 103.990631 30.5558643, 103.9906478 30.5558025, 103.9906573 30.5557674, 103.9906723 30.5557124, 103.9903508 30.5556477, 103.9903717 30.5555707, 103.9902965 30.5555555, 103.9902225 30.5554573, 103.9900621 30.5554278, 103.9900257 30.5555748, 103.9901948 30.5556059, 103.9902472 30.5556855, 103.990221 30.5557817))","[5704044588, 5704044589, 5704125440, 5704125464, 5704044590, 5704044591, 5704044592, 5704044593, 5704044594, 5704044595, 5704044596, 5704044597, 5704044598, 5704044588]",,,,,,,,,,
way,599579626,yes,西园二食堂,"POLYGON ((103.9891282 30.5555017, 103.989636 30.5556098, 103.9897 30.5556223, 103.9897419 30.5556298, 103.9898405 30.5555794, 103.9898744 30.5555396, 103.9899566 30.5552549, 103.9892427 30.5551029, 103.9891282 30.5555017))","[5704071797, 5704071798, 5704071799, 5704071800, 5704071801, 5704071802, 5704071803, 5704071804, 5704071797]",,,,,restaurant,,cafeteria,,,
way,599579627,dormitory,学生宿舍6舍,"POLYGON ((103.9892566 30.5548813, 103.9897647 30.5549926, 103.9897735 30.554963, 103.9899543 30.5550026, 103.9899754 30.5549313, 103.9900798 30.5549542, 103.9901314 30.5547797, 103.990025 30.5547564, 103.9899811 30.5549049, 103.9898042 30.5548662, 103.9897914 30.5549097, 103.9892812 30.554798, 103.9892566 30.5548813))","[5704071805, 5704071806, 5704071807, 5704071808, 5704071809, 5704071810, 5704071811, 5704071812, 5704071813, 5704071814, 5704071815, 5704071816, 5704071805]",,,,,,,,,,
