u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge
5704044556,4770960528,0,484351220,pedestrian,False,True,36.355,,"LINESTRING (103.9901098 30.5558257, 103.9897446 30.5557363)",
5704044556,5704044576,0,599573409,pedestrian,False,True,38.942,,"LINESTRING (103.9901098 30.5558257, 103.9900761 30.5559238, 103.9900572 30.555979, 103.9900056 30.5561641)",
5704044557,5704044556,0,484351220,pedestrian,False,True,6.093,,"LINESTRING (103.990171 30.5558407, 103.9901098 30.5558257)",
5704044557,4770960527,0,599573410,residential,False,True,33.991,,"LINESTRING (103.990171 30.5558407, 103.989974 30.5555864)",
5704044557,5704032070,0,484351220,pedestrian,False,False,114.38399999999999,,"LINESTRING (103.990171 30.5558407, 103.9910695 30.5560607, 103.9912917 30.5561777)",
5704044576,4770960507,0,599573409,pedestrian,False,True,69.939,,"LINESTRING (103.9900056 30.5561641, 103.9898104 30.5567702)",
5704044576,5704044577,0,599573413,footway,False,False,109.296,,"LINESTRING (103.9900056 30.5561641, 103.988893 30.5559446)",
5704044576,5704044556,0,599573409,pedestrian,False,False,38.942,,"LINESTRING (103.9900056 30.5561641, 103.9900572 30.555979, 103.9900761 30.5559238, 103.9901098 30.5558257)",
5704044577,5704044576,0,599573413,footway,False,True,109.296,,"LINESTRING (103.988893 30.5559446, 103.9900056 30.5561641)",
5704044577,8012043925,0,859542692,residential,False,False,71.306,,"LINESTRING (103.988893 30.5559446, 103.988744 30.5565729)",
5704044577,4770960529,0,859542692,residential,False,True,41.947,,"LINESTRING (103.988893 30.5559446, 103.9889807 30.555575)",
5704428057,5704428059,0,599650297,residential,False,True,165.537,,"LINESTRING (103.9999104 30.5624366, 103.9985342 30.5615355)",
5704428057,5735414151,0,681334497,tertiary,False,True,84.274,环形大道,"LINESTRING (103.9999104 30.5624366, 104.0003802 30.5617957)",
5704428057,4770839169,0,681334497,tertiary,False,False,219.157,环形大道,"LINESTRING (103.9999104 30.5624366, 103.9998134 30.562569, 103.999453 30.5628165, 103.9989891 30.5629882, 103.9985597 30.5630014, 103.9980038 30.5629024, 103.9978728 30.5628512)",
5704428058,5704428059,0,599650298,residential,False,False,111.015,,"LINESTRING (103.9978096 30.5623149, 103.9985342 30.5615355)",
5704428058,4770839169,0,484339164,unclassified,False,False,63.016000000000005,,"LINESTRING (103.9978096 30.5623149, 103.997926 30.5624833, 103.9978728 30.5628512)",
5704428058,4770839163,0,484339164,unclassified,False,True,217.34699999999998,,"LINESTRING (103.9978096 30.5623149, 103.9977437 30.5622197, 103.9969686 30.5616981, 103.9969751 30.561485, 103.9973789 30.5610587, 103.9976004 30.5609241)",
5704428059,5704428057,0,599650297,residential,False,False,165.537,,"LINESTRING (103.9985342 30.5615355, 103.9999104 30.5624366)",
5704428059,4770839163,0,599650297,residential,False,True,112.321,,"LINESTRING (103.9985342 30.5615355, 103.9976004 30.5609241)",
5704428059,5704428058,0,599650298,residential,False,True,111.015,,"LINESTRING (103.9985342 30.5615355, 103.9978096 30.5623149)",
5704436572,4770839173,0,"[599652562, 484339165]","['unclassified', 'residential']",False,True,235.94799999999998,,"LINESTRING (103.9954204 30.564714, 103.9953265 30.5644531, 103.9953641 30.5644323, 103.9955974 30.5643445, 103.9959381 30.5642336, 103.9961607 30.5641505, 103.9963833 30.564072, 103.996495 30.5640141, 103.9973349 30.5638187)",
5735383244,2506945293,0,487495695,tertiary,False,False,8.262,环形大道,"LINESTRING (103.9934189 30.5574863, 103.9934668 30.5574245)",
5735383244,5735565829,0,487495695,tertiary,False,True,154.543,环形大道,"LINESTRING (103.9934189 30.5574863, 103.9926634 30.5584589, 103.9925379 30.5586502)",
5735383244,8592593985,0,604437738,residential,False,False,46.079,长桥,"LINESTRING (103.9934189 30.5574863, 103.9938183 30.5575722, 103.9938858 30.5575867)",
5735383245,2506945195,0,604437740,footway,False,True,4.868,,"LINESTRING (103.9977439 30.5584161, 103.9977551 30.5583734)",
5735383245,4770839160,0,604437740,footway,False,False,314.45000000000005,,"LINESTRING (103.9977439 30.5584161, 103.997702 30.5586139, 103.9976774 30.5586961, 103.997662 30.5587518, 103.9976065 30.5588235, 103.9975203 30.5588739, 103.9974525 30.558911, 103.9973785 30.5589482, 103.9973046 30.5589906, 103.9972152 30.5590251, 103.9971413 30.5590676, 103.9970858 30.559102, 103.9970365 30.5591445, 103.9970026 30.559179, 103.9969493 30.5592437, 103.9969175 30.5593077, 103.9968927 30.5593687, 103.9968856 30.5594357, 103.9968786 30.5595119, 103.9968927 30.5595759, 103.9969033 30.5596399, 103.9969246 30.5596978, 103.9969529 30.5597496, 103.9969847 30.5597923, 103.9970484 30.5598654, 103.997098 30.5598959, 103.9971617 30.5599447, 103.9972573 30.5599752, 103.9973245 30.5599965, 103.9974236 30.5600117, 103.9974944 30.5600148, 103.9976006 30.5600148, 103.9976961 30.5600056, 103.9977598 30.5599995, 103.9978316 30.5599812, 103.9980889 30.5601838)",
5735383245,8592594001,0,"[931709482, 681334500]",residential,False,True,42.445,长桥,"LINESTRING (103.9977439 30.5584161, 103.9977117 30.5584091, 103.997314 30.558323)",yes
5735383246,5735530187,0,604437739,residential,False,False,38.542,长桥,"LINESTRING (103.9935188 30.5573429, 103.993909 30.557428)",
5735383246,8012043953,0,487495695,tertiary,False,False,51.029,环形大道,"LINESTRING (103.9935188 30.5573429, 103.9937023 30.5570361, 103.9937607 30.556934)",
5735383246,2506945293,0,487495695,tertiary,False,True,10.363,环形大道,"LINESTRING (103.9935188 30.5573429, 103.9934806 30.5574068, 103.9934668 30.5574245)",
5735383247,2506945195,0,604437740,footway,False,False,11.457,,"LINESTRING (103.9977815 30.5582729, 103.9977551 30.5583734)",
5735383247,5735383248,0,604437740,footway,False,True,29.084,,"LINESTRING (103.9977815 30.5582729, 103.9978438 30.5580169)",
5735383247,8592594002,0,"[931709483, 681334499]",residential,False,True,42.078,长桥,"LINESTRING (103.9977815 30.5582729, 103.9977516 30.5582664, 103.9973555 30.55818)",yes
5735383248,5735383247,0,604437740,footway,False,False,29.084,,"LINESTRING (103.9978438 30.5580169, 103.9977815 30.5582729)",
5735414146,4770839108,0,484339152,residential,False,False,56.212,,"LINESTRING (103.9989557 30.5597582, 103.9985181 30.5594212)",
5735414146,4770839107,0,484339152,residential,False,True,259.858,,"LINESTRING (103.9989557 30.5597582, 104.0011117 30.5611776)",
5735414146,5735414147,0,604442359,footway,False,False,40.826,,"LINESTRING (103.9989557 30.5597582, 103.9986456 30.5600102)",
5735414147,5735414148,0,604442359,footway,False,False,34.678,,"LINESTRING (103.9986456 30.5600102, 103.9983569 30.5598219)",
5735414147,5735414146,0,604442359,footway,False,True,40.826,,"LINESTRING (103.9986456 30.5600102, 103.9989557 30.5597582)",
5735414147,5735414149,0,604442360,footway,False,False,54.757,,"LINESTRING (103.9986456 30.5600102, 103.9982978 30.5604011)",
5735414148,5735414147,0,604442359,footway,False,True,34.678,,"LINESTRING (103.9983569 30.5598219, 103.9986456 30.5600102)",
5735414148,4770839160,0,834209297,unclassified,False,False,47.727,,"LINESTRING (103.9983569 30.5598219, 103.9980889 30.5601838)",
5735414148,4770839108,0,834209297,unclassified,False,True,47.251,,"LINESTRING (103.9983569 30.5598219, 103.9983755 30.5597968, 103.9985181 30.5594212)",
5735414149,5735414147,0,604442360,footway,False,True,54.757,,"LINESTRING (103.9982978 30.5604011, 103.9986456 30.5600102)",
5735414149,5735414151,0,604442361,residential,False,False,252.592,,"LINESTRING (103.9982978 30.5604011, 104.0003802 30.5617957)",
5735414149,5735414150,0,604442361,residential,False,True,32.757,,"LINESTRING (103.9982978 30.5604011, 103.998014 30.5602366)",
5735414150,5735414149,0,604442361,residential,False,False,32.757,,"LINESTRING (103.998014 30.5602366, 103.9982978 30.5604011)",
5735414150,4770839160,0,834209297,unclassified,False,True,9.268,,"LINESTRING (103.998014 30.5602366, 103.9980889 30.5601838)",
5735414150,4770839163,0,"[834209296, 834209297, 484339164]",unclassified,False,False,92.1,,"LINESTRING (103.998014 30.5602366, 103.9978224 30.5603395, 103.997722 30.5604814, 103.9976004 30.5606885, 103.9976004 30.5609241)",yes
5735414151,5735414149,0,604442361,residential,False,True,252.592,,"LINESTRING (104.0003802 30.5617957, 103.9982978 30.5604011)",
