u,v,key,osmid,oneway,name,highway,reversed,length,maxspeed,access,geometry,service,junction
1684901812,1030357716,0,"[88779379, 632893317]",False,,"['steps', 'footway']",True,23.114,,,"LINESTRING (118.7755086 32.0583411, 118.7755008 32.0583811, 118.7754725 32.0585467)",,
1684901821,1030357726,0,187804259,False,,footway,True,32.48,,,"LINESTRING (118.7761849 32.058422, 118.7758436 32.0583813)",,
1684901821,1030350270,0,88779385,False,,footway,True,7.149,,,"LINESTRING (118.7761849 32.058422, 118.7762234 32.058427, 118.7762291 32.0583961)",,
1684901821,1030357746,0,"[88779376, 156217234]",False,,"['steps', 'footway']",False,22.878,,,"LINESTRING (118.7761849 32.058422, 118.7761766 32.0584675, 118.7761499 32.0586256)",,
1684901822,1684901809,0,156217239,False,,footway,False,22.674,,,"LINESTRING (118.7751829 32.0584765, 118.775219 32.0582749)",,
1684901822,1684901849,0,156217239,False,,footway,True,42.782,,,"LINESTRING (118.7751829 32.0584765, 118.7751197 32.0588575)",,
1684901822,1684901824,0,156217240,False,,footway,True,25.916999999999998,,,"LINESTRING (118.7751829 32.0584765, 118.7749985 32.0585634, 118.7749349 32.0585571)",,
1684901823,1684901824,0,156217240,False,,footway,False,18.58,,,"LINESTRING (118.7747389 32.058539, 118.7749349 32.0585571)",,
1684901823,1167714382,0,224950863,False,,service,False,35.419,,permissive,"LINESTRING (118.7747389 32.058539, 118.7747939 32.0582239)",,
1684901823,1030357733,0,224950863,False,,service,True,17.996,,permissive,"LINESTRING (118.7747389 32.058539, 118.7747126 32.0586993)",,
1684901824,1683685593,0,156066578,False,,footway,True,34.825,,,"LINESTRING (118.7749349 32.0585571, 118.7749867 32.058247)",,
1684901824,1684901823,0,156217240,False,,footway,True,18.58,,,"LINESTRING (118.7749349 32.0585571, 118.7747389 32.058539)",,
1684901824,1684901822,0,156217240,False,,footway,False,25.916999999999998,,,"LINESTRING (118.7749349 32.0585571, 118.7749985 32.0585634, 118.7751829 32.0584765)",,
1684901827,1684901830,0,156217236,False,,footway,False,4.637,,,"LINESTRING (118.774619 32.0586458, 118.7746122 32.0586871)",,
1684901830,1682447987,0,88779382,False,,footway,True,8.79,,,"LINESTRING (118.7746122 32.0586871, 118.7745199 32.0586757)",,
1684901830,1684901841,0,156217236,False,,footway,False,6.064,,,"LINESTRING (118.7746122 32.0586871, 118.7746032 32.0587411)",,
1684901830,1684901827,0,156217236,False,,footway,True,4.637,,,"LINESTRING (118.7746122 32.0586871, 118.774619 32.0586458)",,
1684901830,1030357733,0,"[625067282, 88779382]",False,,"['steps', 'footway']",False,9.558,,,"LINESTRING (118.7746122 32.0586871, 118.7746751 32.0586943, 118.7747126 32.0586993)",,
1684901832,1030357725,0,88779376,False,,footway,False,4.774,,,"LINESTRING (118.7761368 32.0587035, 118.7761296 32.058746)",,
1684901832,1030357746,0,88779376,False,,footway,True,8.75,,,"LINESTRING (118.7761368 32.0587035, 118.7761499 32.0586256)",,
1684901832,1684901835,0,156217233,False,,footway,False,10.941,,,"LINESTRING (118.7761368 32.0587035, 118.776252 32.0587157)",,
1684901835,1684901832,0,156217233,False,,footway,True,10.941,,,"LINESTRING (118.776252 32.0587157, 118.7761368 32.0587035)",,
1684901841,1684901830,0,156217236,False,,footway,True,6.064,,,"LINESTRING (118.7746032 32.0587411, 118.7746122 32.0586871)",,
1684901845,1684901851,0,156217235,False,,footway,False,31.913,,,"LINESTRING (118.7754258 32.0588196, 118.775761 32.0588604)",,
1684901845,1030357710,0,187708727,False,,footway,True,11.967,,,"LINESTRING (118.7754258 32.0588196, 118.7753225 32.0588822)",,
1684901845,1030357747,0,632893317,False,,footway,False,17.124,,,"LINESTRING (118.7754258 32.0588196, 118.7754519 32.0586672)",,
1684901845,1030357732,0,632893317,False,,footway,True,8.314,,,"LINESTRING (118.7754258 32.0588196, 118.7754132 32.0588936)",,
1684901847,1684901864,0,156217232,False,,footway,True,39.346,,,"LINESTRING (118.7750055 32.0588436, 118.7749474 32.059194)",,
1684901847,1684901849,0,224848903,False,,footway,False,10.872,,,"LINESTRING (118.7750055 32.0588436, 118.7751197 32.0588575)",,
1684901847,1030357730,0,224848903,False,,footway,True,29.61,,,"LINESTRING (118.7750055 32.0588436, 118.7746945 32.0588057)",,
1684901849,1684901822,0,156217239,False,,footway,False,42.782,,,"LINESTRING (118.7751197 32.0588575, 118.7751829 32.0584765)",,
1684901849,1030357710,0,224848903,False,,footway,False,19.308,,,"LINESTRING (118.7751197 32.0588575, 118.7753225 32.0588822)",,
1684901849,1684901847,0,224848903,False,,footway,True,10.872,,,"LINESTRING (118.7751197 32.0588575, 118.7750055 32.0588436)",,
1684901851,1684901856,0,88779389,False,,footway,False,8.259,,,"LINESTRING (118.775761 32.0588604, 118.7757484 32.0589339)",,
1684901851,1683685610,0,88779389,False,,footway,True,17.384,,,"LINESTRING (118.775761 32.0588604, 118.7757876 32.0587057)",,
1684901851,1684901853,0,156217235,False,,footway,False,32.585,,,"LINESTRING (118.775761 32.0588604, 118.7761031 32.058903)",,
1684901851,1684901845,0,156217235,False,,footway,True,31.913,,,"LINESTRING (118.775761 32.0588604, 118.7754258 32.0588196)",,
1684901853,1030357725,0,88779376,False,,footway,True,17.635,,,"LINESTRING (118.7761031 32.058903, 118.7761296 32.058746)",,
