u,v,key,osmid,name,highway,oneway,reversed,length,geometry,tunnel
3057652784,3057652790,0,52509503,望道路,service,False,True,30.453,"LINESTRING (121.4991758 31.2991541, 121.4994771 31.2992475)",
3057652790,3057652784,0,52509503,望道路,service,False,False,30.453,"LINESTRING (121.4994771 31.2992475, 121.4991758 31.2991541)",
3057652790,3057652792,0,52509503,望道路,service,False,True,14.526,"LINESTRING (121.4994771 31.2992475, 121.4996221 31.2992889)",
3057652792,3057652790,0,52509503,望道路,service,False,False,14.526,"LINESTRING (121.4996221 31.2992889, 121.4994771 31.2992475)",
3057652792,667340958,0,52509503,望道路,service,False,True,107.508,"LINESTRING (121.4996221 31.2992889, 121.5006817 31.2996281)",
3057652792,3067824539,0,52531334,日月东路,service,False,False,63.974,"LINESTRING (121.4996221 31.2992889, 121.4994102 31.299835)",
3057653284,667526658,0,52531400,,service,False,True,95.174,"LINESTRING (121.5021035 31.3018468, 121.5017774 31.3026561)",
3057653284,858656067,0,72259322,,service,False,False,65.919,"LINESTRING (121.5021035 31.3018468, 121.5027585 31.3020423)",
3057653284,667526688,0,72259322,,service,False,True,19.827,"LINESTRING (121.5021035 31.3018468, 121.5019072 31.3017863)",
3057653321,667526658,0,52520108,,service,False,False,13.311,"LINESTRING (121.5016459 31.3026148, 121.5017774 31.3026561)",
3057653321,10873702230,0,52520108,,service,False,True,48.877,"LINESTRING (121.5016459 31.3026148, 121.5011612 31.3024675)",
3057653321,667526655,0,52531427,,service,False,True,915.484,"LINESTRING (121.5016459 31.3026148, 121.5013901 31.3032346, 121.499233 31.3025584, 121.4931028 31.3005418)",
3063238543,3063238544,0,302086301,,service,False,False,50.394,"LINESTRING (121.4916717 31.303514, 121.4911498 31.3034331)",
3063238543,3063238545,0,302086301,,service,False,True,39.687,"LINESTRING (121.4916717 31.303514, 121.4920866 31.3035554)",
3063238543,1994986962,0,302086290,,service,False,True,78.235,"LINESTRING (121.4916717 31.303514, 121.4916707 31.3032036, 121.4918503 31.3028416)",
3063238544,3063238844,0,302086301,,service,False,False,88.256,"LINESTRING (121.4911498 31.3034331, 121.4902556 31.3032181)",
3063238544,3063238543,0,302086301,,service,False,True,50.394,"LINESTRING (121.4911498 31.3034331, 121.4916717 31.303514)",
3063238544,3063238547,0,302086320,,service,False,False,34.513,"LINESTRING (121.4911498 31.3034331, 121.4911639 31.3033495, 121.4910688 31.3031387)",
3063238545,3063238543,0,302086301,,service,False,False,39.687,"LINESTRING (121.4920866 31.3035554, 121.4916717 31.303514)",
3063238545,3063238940,0,302086301,,service,False,True,6.831,"LINESTRING (121.4920866 31.3035554, 121.492158 31.3035626)",
3063238545,3063238846,0,302086319,,service,False,False,23.942,"LINESTRING (121.4920866 31.3035554, 121.4922171 31.3037396)",
3063238547,3063238549,0,302086320,,service,False,False,36.499,"LINESTRING (121.4910688 31.3031387, 121.4909307 31.3028324)",
3063238547,3063239641,0,302086321,,service,False,True,78.925,"LINESTRING (121.4910688 31.3031387, 121.4902674 31.3029518)",
3063238547,3063238544,0,302086320,,service,False,True,34.513,"LINESTRING (121.4910688 31.3031387, 121.4911639 31.3033495, 121.4911498 31.3034331)",
3063238548,3063238549,0,302086322,,service,False,False,53.602,"LINESTRING (121.4903862 31.3027062, 121.4909307 31.3028324)",
3063238549,3063238547,0,302086320,,service,False,True,36.499,"LINESTRING (121.4909307 31.3028324, 121.4910688 31.3031387)",
3063238549,3063238548,0,302086322,,service,False,True,53.602,"LINESTRING (121.4909307 31.3028324, 121.4903862 31.3027062)",
3063238549,1994986959,0,302086320,,service,False,False,92.195,"LINESTRING (121.4909307 31.3028324, 121.4907631 31.3024607, 121.4911293 31.3021646)",
3063238738,1994986965,0,188862026,,service,False,True,26.321,"LINESTRING (121.4929748 31.3038935, 121.4928822 31.3036704)",
3063238738,3063238739,0,302086323,,service,False,False,142.547,"LINESTRING (121.4929748 31.3038935, 121.4943739 31.3034305)",
3063238738,3063239839,0,302086323,,service,False,True,242.80200000000002,"LINESTRING (121.4929748 31.3038935, 121.4921679 31.3040194, 121.4915081 31.3040334, 121.4908218 31.3039409, 121.4904579 31.3038457)",
3063238739,3063238738,0,302086323,,service,False,True,142.547,"LINESTRING (121.4943739 31.3034305, 121.4929748 31.3038935)",
3063238844,3063238544,0,302086301,,service,False,True,88.256,"LINESTRING (121.4902556 31.3032181, 121.4911498 31.3034331)",
3063238846,3063238545,0,302086319,,service,False,True,23.942,"LINESTRING (121.4922171 31.3037396, 121.4920866 31.3035554)",
3063238846,3063238941,0,302086312,,service,False,True,180.347,"LINESTRING (121.4922171 31.3037396, 121.4915847 31.3037597, 121.4909484 31.3036867, 121.490352 31.3035317)",
3063238846,1994986965,0,302086319,,service,False,False,65.842,"LINESTRING (121.4922171 31.3037396, 121.4923613 31.3037858, 121.4927118 31.303721, 121.4928822 31.3036704)",
3063238939,1994986962,0,302086279,,service,False,True,37.967,"LINESTRING (121.4921023 31.3031066, 121.4918503 31.3028416)",
3063238940,3063238545,0,302086301,,service,False,False,6.831,"LINESTRING (121.492158 31.3035626, 121.4920866 31.3035554)",
3063238941,3063238846,0,302086312,,service,False,False,180.347,"LINESTRING (121.490352 31.3035317, 121.4909484 31.3036867, 121.4915847 31.3037597, 121.4922171 31.3037396)",
