u,v,key,osmid,lanes,name,highway,access,oneway,reversed,length,geometry,service,bridge,tunnel
1925481111,1925481028,0,182203605,,,steps,,False,True,20.226,"LINESTRING (114.1384183 22.281779, 114.1384185 22.2815971)",,,
1925481111,1925481143,0,182203627,,,footway,,False,False,51.453,"LINESTRING (114.1384183 22.281779, 114.1389175 22.2817517)",,,
1925481111,1925481072,0,"[182203605, 182203630]",,,"['steps', 'footway']",,False,False,45.149,"LINESTRING (114.1384183 22.281779, 114.1384177 22.2820971, 114.1383378 22.2821447)",,,
1925481118,1925481110,0,182203585,2,,service,permissive,False,True,11.648,"LINESTRING (114.1376955 22.2823448, 114.1378087 22.2823435)",,,
1925481118,356626512,0,"[182203585, 1104104292]",2,,service,permissive,False,False,63.482,"LINESTRING (114.1376955 22.2823448, 114.1372537 22.2823535, 114.137237 22.2823491, 114.1370853 22.2823092)",,yes,
1925481118,1925481108,0,"[182203653, 182203655, 182203628, 182203631, 182203607]",,,"['steps', 'footway']",,False,True,62.907,"LINESTRING (114.1376955 22.2823448, 114.1376623 22.2823027, 114.1375772 22.2822986, 114.137554 22.2822983, 114.1375577 22.2822705, 114.1376328 22.2822705, 114.1376328 22.2822208, 114.1377079 22.2822208, 114.1377132 22.2821886, 114.1376381 22.282191, 114.1375657 22.282191, 114.1375708 22.2821639)",,,
1925481143,1925481111,0,182203627,,,footway,,False,True,51.453,"LINESTRING (114.1389175 22.2817517, 114.1384183 22.281779)",,,
1925517552,6580279814,0,700710042,,,footway,,False,True,42.952,"LINESTRING (114.1394084 22.2836059, 114.1391945 22.2835389, 114.1391147 22.2835072, 114.1390777 22.2834951, 114.1390123 22.2834991)",,,
1925517682,1925517877,0,182208626,,,steps,,False,True,8.14,"LINESTRING (114.1395889 22.2826868, 114.1396144 22.2826175)",,,
1925517682,1925517786,0,182208625,,,steps,,False,True,6.452999999999999,"LINESTRING (114.1395889 22.2826868, 114.1396189 22.2826989, 114.1396243 22.2827262)",,,
1925517682,6580279794,0,947838271,,,steps,,False,False,6.9670000000000005,"LINESTRING (114.1395889 22.2826868, 114.1395535 22.2826798, 114.1395336 22.2827024)",,,
1925517786,1925517682,0,182208625,,,steps,,False,False,6.452999999999999,"LINESTRING (114.1396243 22.2827262, 114.1396189 22.2826989, 114.1395889 22.2826868)",,,
1925517827,1925517927,0,182208636,,,steps,,False,True,15.241,"LINESTRING (114.1399542 22.2838398, 114.1399408 22.2837033)",,,
