u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,service,geometry,width,tunnel,access,bridge,junction
343329554,415957548,0,"[979644464, 30879306, 186639271]","['track', 'service']",False,False,91.583,,Chemin des Machines,30,driveway,"LINESTRING (6.5663437 46.5198767, 6.5663656 46.5199047, 6.5664024 46.5199231, 6.5664608 46.519931, 6.5665008 46.5199338, 6.5666279 46.519976, 6.5672221 46.5199804, 6.5673348 46.5199355, 6.5674746 46.5199397)",,,no,,
343329554,343329550,0,"[111610742, 450591383]",service,False,True,28.341,,,30,parking_aisle,"LINESTRING (6.5663437 46.5198767, 6.5662181 46.5199608, 6.5660769 46.5200535)",,yes,no,,
343331346,2117756067,0,30879345,service,False,True,88.781,,Rue Maryam Mirzakhani,,driveway,"LINESTRING (6.5655882 46.5192908, 6.5644279 46.5192867)",,,,,
343331346,4474961714,0,51740696,unclassified,False,False,20.463,2,Allée de Savoie,30,parking_aisle,"LINESTRING (6.5655882 46.5192908, 6.5655926 46.5191068)",,,,,
343331346,1973830474,0,51740696,unclassified,False,True,42.561,2,Allée de Savoie,30,parking_aisle,"LINESTRING (6.5655882 46.5192908, 6.565585 46.5195422, 6.5655731 46.5196122, 6.565569 46.519673)",,,,,
343331436,5685331827,0,30879348,service,False,False,23.161,,,,driveway,"LINESTRING (6.5647605 46.5186006, 6.5650632 46.5186013)",,,,,
343331436,4841714916,0,596972133,service,False,False,8.977,,,,driveway,"LINESTRING (6.5647605 46.5186006, 6.5647447 46.5186806)",,,,,
343331436,2117508729,0,"[775247329, 596972133]","['path', 'service']",False,True,10.536999999999999,,,,driveway,"LINESTRING (6.5647605 46.5186006, 6.5647598 46.5185407, 6.5647439 46.5185076)",,,,,
343331438,4474790861,0,30879348,service,False,True,7.766,,,,driveway,"LINESTRING (6.5656012 46.5188036, 6.5654997 46.5188035)",,,,,
343331438,369567491,0,51740696,unclassified,False,False,32.609,2,Allée de Savoie,30,parking_aisle,"LINESTRING (6.5656012 46.5188036, 6.56561 46.5185104)",,,,,
343331438,4474961714,0,51740696,unclassified,False,True,33.721,2,Allée de Savoie,30,parking_aisle,"LINESTRING (6.5656012 46.5188036, 6.5655926 46.5191068)",,,,,
369567405,4474790861,0,32795708,footway,False,True,32.661,,,,,"LINESTRING (6.5655056 46.5185098, 6.5654997 46.5188035)",,,,,
369567405,369567491,0,1071051328,footway,False,True,7.989,,,,,"LINESTRING (6.5655056 46.5185098, 6.56561 46.5185104)",,,,,
