u,v,key,osmid,name,highway,oneway,reversed,length,geometry,bridge,junction
2569268632,2572389102,0,250490617,,service,False,True,59.414,"LINESTRING (120.2688868 31.4839557, 120.2688869 31.4838914, 120.2689486 31.4838388, 120.2689808 31.4837793, 120.2689915 31.483704, 120.2689859 31.4836144, 120.2689609 31.4835262, 120.2689237 31.4834596)",,
2569268633,2931085182,0,251116945,青山湾路,residential,False,False,49.434,"LINESTRING (120.2688816 31.4859124, 120.2688907 31.4863569)",,
2569268633,2576540287,0,251116945,青山湾路,residential,False,True,18.203,"LINESTRING (120.2688816 31.4859124, 120.268882 31.4857487)",,
2569268633,2569244989,0,289556169,,footway,False,True,85.312,"LINESTRING (120.2688816 31.4859124, 120.267982 31.4859232)",,
2569268634,2572394736,0,251116945,青山湾路,residential,False,False,58.956,"LINESTRING (120.2688862 31.4841752, 120.2688848 31.4847054)",,
2569268634,2569268632,0,251116945,青山湾路,residential,False,True,24.407,"LINESTRING (120.2688862 31.4841752, 120.2688868 31.4839557)",,
2569268635,2569335378,0,250489559,黄山路,unclassified,False,False,108.166,"LINESTRING (120.2689041 31.4870079, 120.2700448 31.4870133)",,
2569268635,2569245007,0,250489559,黄山路,unclassified,False,True,60.176,"LINESTRING (120.2689041 31.4870079, 120.2682695 31.4870117)",,
2569268635,2569335415,0,250495194,,path,False,True,30.678,"LINESTRING (120.2689041 31.4870079, 120.2689162 31.4872836)",,
2569268635,2931085182,0,251116945,青山湾路,residential,False,True,72.399,"LINESTRING (120.2689041 31.4870079, 120.2688907 31.4863569)",,
2569290268,2569337351,0,250490277,江南大道,unclassified,True,False,48.001999999999995,"LINESTRING (120.2727638 31.4842435, 120.2724369 31.4842454, 120.2722576 31.4842465)",,
2569335355,2569335525,0,250495184,,service,False,True,30.471,"LINESTRING (120.2700977 31.4897931, 120.270093 31.4900671)",,
2569335355,2569335385,0,250495199,,service,False,False,92.229,"LINESTRING (120.2700977 31.4897931, 120.2700166 31.4896679, 120.2699291 31.4894928, 120.2698624 31.4893279, 120.2698196 31.4891792, 120.2697905 31.4890125)",,
2569335355,2569335426,0,250495199,,service,False,True,150.56300000000002,"LINESTRING (120.2700977 31.4897931, 120.270212 31.4898887, 120.2703005 31.4899573, 120.2704239 31.4900236, 120.2705392 31.4900625, 120.2706492 31.49009, 120.2707511 31.4901014, 120.2708504 31.4901014, 120.2709657 31.4900923, 120.2710703 31.4900694, 120.2711847 31.4900289, 120.2713278 31.4899573, 120.2714431 31.4898681, 120.2714728 31.4898313)",,
2569335360,2569335524,0,250495212,,path,False,True,10.472,"LINESTRING (120.2717128 31.488636, 120.2718209 31.4886167)",,
2569335360,2569335678,0,250495205,,service,False,False,129.412,"LINESTRING (120.2717128 31.488636, 120.2715692 31.488338, 120.2714887 31.488219, 120.2714029 31.4881298, 120.2713036 31.4880543, 120.2712071 31.4879949, 120.2710971 31.4879514, 120.2709657 31.4879217, 120.270785 31.4879086)",,
2569335360,2569335541,0,250495205,,service,False,True,110.149,"LINESTRING (120.2717128 31.488636, 120.2717677 31.4888206, 120.2717854 31.4890118, 120.271773 31.4891888, 120.2717158 31.4894251, 120.2716309 31.4896005)",,
2569335372,2697141617,0,250495186,北学院路,service,True,False,64.205,"LINESTRING (120.265898 31.4864664, 120.2659011 31.4870438)",,
2569335372,2569335470,0,256256103,井冈山路,service,False,False,17.713,"LINESTRING (120.265898 31.4864664, 120.2657112 31.4864671)",,
2569335372,2697141673,0,256256103,井冈山路,service,False,True,16.405,"LINESTRING (120.265898 31.4864664, 120.266071 31.4864657)",,
2569335378,2569260866,0,250489559,黄山路,unclassified,False,False,57.178,"LINESTRING (120.2700448 31.4870133, 120.2706478 31.4870139)",,
2569335378,2569268635,0,250489559,黄山路,unclassified,False,True,108.166,"LINESTRING (120.2700448 31.4870133, 120.2689041 31.4870079)",,
2569335378,2569335440,0,250495178,,path,False,True,30.274,"LINESTRING (120.2700448 31.4870133, 120.270034 31.4872854)",,
2569335380,2569335517,0,250495182,,path,False,False,70.978,"LINESTRING (120.2696156 31.4883735, 120.2696102 31.4890118)",,
2569335380,2569335528,0,250495182,,path,False,True,14.555,"LINESTRING (120.2696156 31.4883735, 120.2696156 31.4882426)",,
2569335380,2569335538,0,250495197,,path,False,False,38.147,"LINESTRING (120.2696156 31.4883735, 120.2700179 31.488373)",,
