u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel,maxspeed,lanes,name,width,access,service
688404517,391541182,0,34145452,footway,False,True,28.098,"LINESTRING (-71.1153749 42.3729804, -71.1157084 42.3730365)",,,,,,,
688404517,391540195,0,942010939,footway,False,False,18.416,"LINESTRING (-71.1153749 42.3729804, -71.115315 42.37314)",,,,,,,
7631495207,61323589,0,8614817,residential,False,True,7.42,"LINESTRING (-71.1126791 42.3770115, -71.1126581 42.3769466)",,25 mph,2,Kirkland Place,9.1,,
7631495207,7631495203,0,817122342,footway,False,False,2.417,"LINESTRING (-71.1126791 42.3770115, -71.1126506 42.3770169)",,,,,,,
7631495207,7631495208,0,817122342,footway,False,True,3.776,"LINESTRING (-71.1126791 42.3770115, -71.1127236 42.377003)",,,,,,,
7631495208,7631495207,0,817122342,footway,False,False,3.776,"LINESTRING (-71.1127236 42.377003, -71.1126791 42.3770115)",,,,,,,
7631495208,5147915582,0,817122344,footway,False,True,87.53399999999998,"LINESTRING (-71.1127236 42.377003, -71.112776 42.3769897, -71.1129098 42.3769605, -71.1137047 42.3767871, -71.1137355 42.3767826, -71.113741 42.3767832, -71.1137448 42.3767855)",,,,,,,
7631495212,314502422,0,879325644,cycleway,False,True,3.732,"LINESTRING (-71.1157394 42.3762492, -71.1157327 42.376216)",,,,,,,
7631495212,7631495186,0,672697770,footway,False,True,17.208000000000002,"LINESTRING (-71.1157394 42.3762492, -71.1157865 42.3762757, -71.1158256 42.3763829)",,,,,,,
7631495212,688404598,0,846654211,footway,False,False,8.304,"LINESTRING (-71.1157394 42.3762492, -71.1156893 42.3762388, -71.1156424 42.3762494)",,,,,,,
7631495212,61321851,0,1185634352,cycleway,False,False,7.273,"LINESTRING (-71.1157394 42.3762492, -71.1157301 42.3762634, -71.1157066 42.3763099)",,,,,,,
7631495216,11732863306,0,672543019,footway,False,False,20.981,"LINESTRING (-71.1142177 42.3766848, -71.1139719 42.3767361)",,,,,,,
7631495216,6297996785,0,672543019,footway,False,True,24.536,"LINESTRING (-71.1142177 42.3766848, -71.1145056 42.376626)",,,,,,,
7631495216,7631495217,0,817122351,footway,False,True,7.556,"LINESTRING (-71.1142177 42.3766848, -71.114227 42.3766172)",,,,,,,
7631495217,61321817,0,8615678,tertiary,False,False,11.981,"LINESTRING (-71.114227 42.3766172, -71.1140866 42.3766464)",,25 mph,2,Kirkland Street,15.9,,
7631495217,61317517,0,8615678,tertiary,False,True,21.041,"LINESTRING (-71.114227 42.3766172, -71.1144736 42.376566)",,25 mph,2,Kirkland Street,15.9,,
7631495217,7631495216,0,817122351,footway,False,False,7.556,"LINESTRING (-71.114227 42.3766172, -71.1142177 42.3766848)",,,,,,,
7631495217,7631495218,0,817122351,footway,False,True,10.207,"LINESTRING (-71.114227 42.3766172, -71.1142326 42.3765255)",,,,,,,
7631495218,7631495217,0,817122351,footway,False,False,10.207,"LINESTRING (-71.1142326 42.3765255, -71.114227 42.3766172)",,,,,,,
7631495218,7631495221,0,817122352,footway,False,False,10.55,"LINESTRING (-71.1142326 42.3765255, -71.1141078 42.3765479)",,,,,,,
7631495218,688404601,0,817122357,footway,False,True,77.372,"LINESTRING (-71.1142326 42.3765255, -71.114221 42.3765116, -71.1142123 42.3764958, -71.1142062 42.376473, -71.1142257 42.3763556, -71.1143062 42.3760128, -71.1143389 42.3758415)",,,,,,,
7631495218,7631495228,0,"[844953946, 817122354]",footway,False,False,18.487000000000002,"LINESTRING (-71.1142326 42.3765255, -71.1142518 42.376531, -71.1142887 42.3765359, -71.1144108 42.3765126, -71.1144503 42.3765049)",,,,,,,
7631495219,6297995279,0,530032165,footway,False,True,8.773,"LINESTRING (-71.1139501 42.3765941, -71.1139621 42.3766725)",,,,,,,
7631495219,7631495220,0,844953945,footway,False,False,5.166,"LINESTRING (-71.1139501 42.3765941, -71.1139829 42.3765736, -71.113995 42.3765619)",,,,,,,
7631495219,7631495260,0,844953945,footway,False,True,83.219,"LINESTRING (-71.1139501 42.3765941, -71.1139306 42.3766063, -71.1137654 42.3766422, -71.1129832 42.3768122)",,,,,,,
7631495220,7631495221,0,817122352,footway,False,True,9.396,"LINESTRING (-71.113995 42.3765619, -71.1141078 42.3765479)",,,,,,,
7631495220,7631495255,0,817122362,footway,False,False,26.991,"LINESTRING (-71.113995 42.3765619, -71.1140299 42.376528, -71.1140601 42.3764398, -71.1140752 42.3763312)",,,,,,,
7631495220,7631495219,0,844953945,footway,False,True,5.166,"LINESTRING (-71.113995 42.3765619, -71.1139829 42.3765736, -71.1139501 42.3765941)",,,,,,,
7631495221,61321817,0,50446846,tertiary,False,False,11.09,"LINESTRING (-71.1141078 42.3765479, -71.1140866 42.3766464)",,,3,Quincy Street,14.0,,
7631495221,61324773,0,50446846,tertiary,False,True,23.363,"LINESTRING (-71.1141078 42.3765479, -71.1141525 42.3763404)",,,3,Quincy Street,14.0,,
7631495221,7631495220,0,817122352,footway,False,False,9.396,"LINESTRING (-71.1141078 42.3765479, -71.113995 42.3765619)",,,,,,,
7631495221,7631495218,0,817122352,footway,False,True,10.55,"LINESTRING (-71.1141078 42.3765479, -71.1142326 42.3765255)",,,,,,,
688404528,314502409,0,54678864,footway,False,False,26.405,"LINESTRING (-71.1149972 42.3741731, -71.115302 42.3740977)",,,,,,,
