u,v,key,osmid,highway,oneway,reversed,length,geometry,name,tunnel,bridge,service
2271615889,5260252072,0,544161277,residential,False,False,114.007,"LINESTRING (103.9335599 30.7572232, 103.934751 30.7572826)",,,,
2271615889,2271615881,0,544161277,residential,False,True,65.444,"LINESTRING (103.9335599 30.7572232, 103.9328758 30.7571951)",,,,
2271615889,5315834657,0,217855167,residential,False,True,96.259,"LINESTRING (103.9335599 30.7572232, 103.9336863 30.7569343, 103.9337598 30.7566245, 103.9337788 30.7563842)",,,,
2271615908,5736651283,0,217855069,residential,False,True,14.826,"LINESTRING (103.929287 30.7574606, 103.9291359 30.7574303)",,,,
2271615908,5336767825,0,544166219,residential,False,False,12.155,"LINESTRING (103.929287 30.7574606, 103.9293602 30.7573712)",,,,
2271615908,5736651286,0,544166219,residential,False,True,7.613,"LINESTRING (103.929287 30.7574606, 103.9292642 30.7575262)",,,,
2271615924,8794836028,0,217855160,service,False,False,79.758,"LINESTRING (103.9263298 30.7573996, 103.9271052 30.7571341)",,,,
2271615924,5684908463,0,217855160,service,False,True,38.592999999999996,"LINESTRING (103.9263298 30.7573996, 103.926218 30.7571482, 103.9261856 30.7570754)",,,,
2271615924,5260256781,0,852382273,pedestrian,False,False,127.909,"LINESTRING (103.9263298 30.7573996, 103.9263442 30.757432, 103.9268077 30.7584741)",,,,
2271615924,8794836166,0,950008623,cycleway,False,False,134.521,"LINESTRING (103.9263298 30.7573996, 103.926266 30.7574181, 103.9267494 30.7584925)",,,,
2271615958,7736111203,0,574644707,service,False,False,4.841,"LINESTRING (103.9245047 30.7576261, 103.9244735 30.7575918)",,,,
2271615958,6447660655,0,544161581,residential,False,True,142.054,"LINESTRING (103.9245047 30.7576261, 103.9255933 30.7568969, 103.9256772 30.7568407)",,,,
2271615958,6583832659,0,574644707,service,False,True,18.081000000000003,"LINESTRING (103.9245047 30.7576261, 103.9245639 30.7576887, 103.9246119 30.7577595)",,,,
2271615962,5736651287,0,217855169,residential,False,True,15.531,"LINESTRING (103.9292001 30.7576623, 103.9293568 30.7576994)",,,,
