element_type,osmid,nodes,building,geometry,name
way,150582514,"[1634800758, 1634800750, 1634800753, 1634800759, 1634800744, 1634800760, 1634800749, 1634800746, 1634800756, 1634800767, 1634800764, 1634800754, 1634800763, 1634800745, 1634800748, 1634800768, 1634800747, 1634800758]",yes,"POLYGON ((106.5020022 29.5363921, 106.5020014 29.5364087, 106.5020071 29.5364245, 106.5020187 29.5364377, 106.5020428 29.5364489, 106.5020618 29.53645, 106.5020802 29.5364454, 106.5020949 29.5364361, 106.5021058 29.5364225, 106.5021107 29.5364064, 106.5021084 29.5363885, 106.5020998 29.5363737, 106.5020858 29.5363623, 106.5020595 29.5363548, 106.5020405 29.5363565, 106.5020234 29.5363639, 106.5020102 29.5363759, 106.5020022 29.5363921))",
way,150582544,"[1634801326, 1634801335, 1634907130, 1634907137, 1634907129, 1634907134, 1634801322, 1634801333, 1634801326]",yes,"POLYGON ((106.5006707 29.5379226, 106.5009341 29.5379228, 106.5009342 29.5378413, 106.5007347 29.5378412, 106.5007347 29.5377454, 106.5009353 29.5377455, 106.5009353 29.53767, 106.5006708 29.5376699, 106.5006707 29.5379226))",
way,150582545,"[1634801332, 1634801317, 1634801319, 1634801318, 1634801332]",yes,"POLYGON ((106.5006579 29.5380807, 106.500658 29.5380081, 106.5009633 29.5380083, 106.5009632 29.5380809, 106.5006579 29.5380807))",
way,150582546,"[1634801336, 1634801327, 1634801324, 1634801323, 1634801336]",yes,"POLYGON ((106.5006939 29.5374284, 106.5006913 29.5372397, 106.5008849 29.5372377, 106.5008874 29.5374264, 106.5006939 29.5374284))",
way,150582547,"[1634801321, 1634801320, 1634801330, 1634801329, 1634801321]",yes,"POLYGON ((106.5008407 29.5376065, 106.5008422 29.537456, 106.500943 29.5374567, 106.5009415 29.5376072, 106.5008407 29.5376065))",
way,150582548,"[1634801325, 1634801331, 1634801334, 1634801328, 1634801325]",yes,"POLYGON ((106.5007737 29.5371977, 106.5009224 29.5371989, 106.5009233 29.5371134, 106.5007746 29.5371123, 106.5007737 29.5371977))",
way,150582709,"[1634804238, 1634804237, 1634804239, 1634804236, 1634804238]",yes,"POLYGON ((106.5010973 29.5378127, 106.5011825 29.5378029, 106.5011028 29.537276, 106.5010176 29.5372858, 106.5010973 29.5378127))",
way,150589520,"[1634902935, 1634902937, 1634902938, 1634902936, 1634902935]",yes,"POLYGON ((106.5018081 29.5362893, 106.5020052 29.5362864, 106.5020033 29.5361871, 106.5018062 29.5361901, 106.5018081 29.5362893))",
way,150589816,"[1634905212, 1634905222, 1634905230, 1634905214, 1634905212]",yes,"POLYGON ((106.5013309 29.5366904, 106.5016898 29.5366964, 106.5016909 29.5366471, 106.501332 29.536641, 106.5013309 29.5366904))",
way,150589818,"[1634905217, 1634905219, 1634905228, 1634905211, 1634905217]",yes,"POLYGON ((106.5020832 29.5362191, 106.5022382 29.5362566, 106.502256 29.5362008, 106.5021011 29.5361633, 106.5020832 29.5362191))",
way,150589956,"[1634907133, 1634907131, 1634907127, 1634907135, 1634907133]",yes,"POLYGON ((106.5012646 29.5376932, 106.5012491 29.537278, 106.5013068 29.5372764, 106.5013223 29.5376916, 106.5012646 29.5376932))",
way,150590358,"[1634910733, 1634910734, 1634910741, 1634910736, 1634910733]",yes,"POLYGON ((106.503114 29.5341449, 106.5038543 29.5341449, 106.5038543 29.5336455, 106.503114 29.5336455, 106.503114 29.5341449))",
way,150590454,"[1634911337, 1634911340, 1634911336, 1634911338, 1634911337]",yes,"POLYGON ((106.5039393 29.5333307, 106.5055729 29.5333299, 106.5055728 29.5331619, 106.5039392 29.5331628, 106.5039393 29.5333307))",
way,150590546,"[1634912186, 1634912181, 1634912182, 1634912184, 1634912186]",yes,"POLYGON ((106.504661 29.5335212, 106.5055378 29.5335217, 106.5055376 29.5337097, 106.5046608 29.5337092, 106.504661 29.5335212))",
way,150590547,"[1634912183, 1634912187, 1634912180, 1634912185, 1634912183]",yes,"POLYGON ((106.5046663 29.5340533, 106.5055353 29.5340542, 106.5055355 29.5338513, 106.5046666 29.5338505, 106.5046663 29.5340533))",
way,150590980,"[1634917104, 1634917096, 1634917098, 1634917107, 1634917104]",yes,"POLYGON ((106.5039929 29.5344574, 106.5041947 29.534458, 106.5041952 29.5343302, 106.5039934 29.5343297, 106.5039929 29.5344574))",
way,150590981,"[1634917103, 1634917100, 1634917101, 1634917097, 1634917103]",yes,"POLYGON ((106.5045329 29.5344487, 106.5053485 29.5344482, 106.5053483 29.5342695, 106.5045327 29.5342701, 106.5045329 29.5344487))",
way,150630296,"[1635301085, 1635301097, 1635301079, 1635301100, 1635301085]",yes,"POLYGON ((106.5037591 29.5345373, 106.5039595 29.5346454, 106.5040014 29.5345865, 106.503801 29.5344784, 106.5037591 29.5345373))",
way,151365117,"[1641897878, 1641897872, 1641897874, 1641897867, 1641897878]",yes,"POLYGON ((106.5006785 29.5376105, 106.500676 29.5375165, 106.5007398 29.5375152, 106.5007422 29.5376092, 106.5006785 29.5376105))",
way,1159005818,"[10778188076, 10778188077, 10778188078, 10778188079, 10778188076]",yes,"POLYGON ((106.5001933 29.5365678, 106.5001946 29.536431, 106.500891 29.5364362, 106.5008896 29.5365728, 106.5001933 29.5365678))",
