u,v,key,osmid,highway,oneway,reversed,length,geometry,tunnel
4183954116,4183954083,0,417924899,path,False,True,47.492,"LINESTRING (103.7294613 36.0582817, 103.7292649 36.0578852)",
4183954118,4183954135,0,417924897,path,False,False,20.574,"LINESTRING (103.7300568 36.0583029, 103.7302337 36.0584203)",
4183954118,4183954124,0,417924888,path,False,False,24.075000000000003,"LINESTRING (103.7300568 36.0583029, 103.7300412 36.0583206, 103.7299838 36.0583497, 103.7299171 36.0583588, 103.729851 36.0583465, 103.7298203 36.0583288)",
4183954118,4183954106,0,417924888,path,False,True,15.855,"LINESTRING (103.7300568 36.0583029, 103.7300805 36.058276, 103.7300957 36.0582226, 103.7300844 36.0581686)",
4183954124,4183954134,0,417924891,path,False,False,28.02,"LINESTRING (103.7298203 36.0583288, 103.7295278 36.0584159)",
4183954124,4183954108,0,417924888,path,False,False,17.44,"LINESTRING (103.7298203 36.0583288, 103.7297958 36.0583148, 103.7297599 36.0582684, 103.7297486 36.0582144, 103.729755 36.0581919)",
4183954124,4183954118,0,417924888,path,False,True,24.075000000000003,"LINESTRING (103.7298203 36.0583288, 103.729851 36.0583465, 103.7299171 36.0583588, 103.7299838 36.0583497, 103.7300412 36.0583206, 103.7300568 36.0583029)",
4183954134,4183954124,0,417924891,path,False,True,28.02,"LINESTRING (103.7295278 36.0584159, 103.7298203 36.0583288)",
4183954134,4183954174,0,417924899,path,False,False,44.401,"LINESTRING (103.7295278 36.0584159, 103.7297114 36.0587866)",
4183954134,4183954116,0,417924899,path,False,True,16.075,"LINESTRING (103.7295278 36.0584159, 103.7294613 36.0582817)",
4183954135,4183954143,0,417924897,path,False,False,25.467,"LINESTRING (103.7302337 36.0584203, 103.7304527 36.0585656)",
4183954135,4183954118,0,417924897,path,False,True,20.574,"LINESTRING (103.7302337 36.0584203, 103.7300568 36.0583029)",
4183954135,4183954100,0,417924910,path,False,True,37.788000000000004,"LINESTRING (103.7302337 36.0584203, 103.7302998 36.0583204, 103.7303197 36.0582083, 103.7302911 36.0580974)",
4183954143,4116113687,0,409744771,service,False,False,38.25,"LINESTRING (103.7304527 36.0585656, 103.7308518 36.0584463)",
4183954143,4116113711,0,409744771,service,False,True,66.678,"LINESTRING (103.7304527 36.0585656, 103.729757 36.0587736)",
4183954143,4183954135,0,417924897,path,False,True,25.467,"LINESTRING (103.7304527 36.0585656, 103.7302337 36.0584203)",
4183954174,4116113711,0,409744771,service,False,False,4.346,"LINESTRING (103.7297114 36.0587866, 103.729757 36.0587736)",
4183954174,4116113726,0,409744771,service,False,True,65.179,"LINESTRING (103.7297114 36.0587866, 103.7290343 36.0589963)",
4183954174,4183954134,0,417924899,path,False,True,44.401,"LINESTRING (103.7297114 36.0587866, 103.7295278 36.0584159)",
5618303788,4116113636,0,588216247,service,False,False,161.373,"LINESTRING (103.7286813 36.0565123, 103.7293401 36.0578623)",
6428138078,4116113745,0,409744760,service,False,False,86.594,"LINESTRING (103.7305292 36.0595636, 103.7314349 36.0592983)",
6428138078,6428138079,0,685851841,service,False,False,82.524,"LINESTRING (103.7305292 36.0595636, 103.7308084 36.0602706)",
6428138078,4116113779,0,409744760,service,False,True,33.139,"LINESTRING (103.7305292 36.0595636, 103.7303875 36.0596051, 103.7301777 36.0596528)",
6428138079,4116113808,0,409744753,service,False,False,101.236,"LINESTRING (103.7308084 36.0602706, 103.7318562 36.0599368)",
6428138079,4116113845,0,409744753,service,False,True,25.653,"LINESTRING (103.7308084 36.0602706, 103.7305429 36.0603552)",
6428138079,4116113903,0,685851841,service,False,False,98.878,"LINESTRING (103.7308084 36.0602706, 103.7311774 36.0611083)",
6428138079,6428138078,0,685851841,service,False,True,82.524,"LINESTRING (103.7308084 36.0602706, 103.7305292 36.0595636)",
8555317190,4116113175,0,409744728,service,False,True,19.253,"LINESTRING (103.7296665 36.0551985, 103.7296056 36.0550325)",
8555317190,8555317191,0,921508764,service,False,True,245.808,"LINESTRING (103.7296665 36.0551985, 103.7270828 36.0559222)",
8555317190,4116113605,0,409744728,service,False,False,267.423,"LINESTRING (103.7296665 36.0551985, 103.7298792 36.0557785, 103.7302225 36.0569147, 103.7304213 36.0575243)",
8555317191,8555317190,0,921508764,service,False,False,245.808,"LINESTRING (103.7270828 36.0559222, 103.7296665 36.0551985)",
8555317191,4116113093,0,409744748,service,False,False,300.539,"LINESTRING (103.7270828 36.0559222, 103.7269852 36.0557156, 103.7269583 36.0556288, 103.7270388 36.0553903, 103.7272158 36.0551042, 103.7275645 36.0546661, 103.7276814 36.0545557, 103.7286542 36.0537047)",
8555317191,4116113654,0,409744748,service,False,True,283.907,"LINESTRING (103.7270828 36.0559222, 103.7277575 36.0573506, 103.728294 36.0580184, 103.7285569 36.0581008)",
8603649082,8603649083,0,927297483,path,False,False,153.291,"LINESTRING (103.735427 36.0587323, 103.7370323 36.0582672)",
8603649082,4116113643,0,409744769,service,False,False,95.458,"LINESTRING (103.735427 36.0587323, 103.7350049 36.0581485, 103.734905 36.0579851)",
8603649082,4116113769,0,409744769,service,False,True,100.99,"LINESTRING (103.735427 36.0587323, 103.7354502 36.0587643, 103.735815 36.059584)",
8603649083,8603649082,0,927297483,path,False,True,153.291,"LINESTRING (103.7370323 36.0582672, 103.735427 36.0587323)",
8603649083,4183954070,0,409744732,service,False,False,91.452,"LINESTRING (103.7370323 36.0582672, 103.7369898 36.0582157, 103.7364158 36.0577604, 103.7363043 36.0576966)",
8603649083,4116113769,0,"[409744763, 409744732]",service,False,True,272.718,"LINESTRING (103.7370323 36.0582672, 103.7371507 36.0584109, 103.7373599 36.0587578, 103.7375208 36.0591872, 103.7361261 36.0595796, 103.735815 36.059584)",
8603649088,4116113143,0,409744732,service,False,False,374.91999999999996,"LINESTRING (103.7348268 36.0538744, 103.7347206 36.053597, 103.73112 36.0546075)",
8603649088,4116113336,0,409744732,service,False,True,246.94500000000002,"LINESTRING (103.7348268 36.0538744, 103.7349996 36.0543256, 103.7350103 36.0549154, 103.7350145 36.0555681, 103.7350157 36.0557395, 103.7350693 36.0560712)",
