element_type,osmid,nodes,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,addr:city,addr:postcode,leisure,sport,wikidata,wikimedia_commons,wikipedia,building:levels,amenity,shop,brand,brand:en,brand:wikidata,brand:zh,name:en,layer
way,543836362,"[5257176273, 5257176274, 5257176275, 5257176276, 5257176273]",university,经管楼,经管楼,经管楼,經管樓,"POLYGON ((116.3507035 39.9918031, 116.3507112 39.9915105, 116.3513619 39.9915205, 116.3513543 39.9918131, 116.3507035 39.9918031))",,,,,,,,,,,,,,,,
way,543838000,"[5257186820, 5257188021, 5257188022, 5257188023, 5257188024, 5257188025, 5257186820]",university,保卫保密处,,,,"POLYGON ((116.3492666 39.9876312, 116.3492694 39.9875305, 116.3494184 39.9875329, 116.3494197 39.9874894, 116.3497391 39.9874946, 116.3497351 39.9876389, 116.3492666 39.9876312))",,,,,,,,,,,,,,,,
way,543840250,"[5257204029, 5257204030, 5257204031, 5257204032, 5257204033, 5257204034, 5257204029]",yes,物美,物美,,,"POLYGON ((116.3530465 39.9901995, 116.3537626 39.9902164, 116.3537548 39.9904116, 116.3535437 39.9904066, 116.3535465 39.9903371, 116.3530415 39.9903252, 116.3530465 39.9901995))",,,,,,,,,,supermarket,物美,Wumart,Q8039225,物美,Wumart,
way,956214727,"[8849698223, 8849698224, 8849698225, 8849698226, 8849698227, 8849698228, 8849698223]",yes,北京科技大学会议中心,北京科技大学会议中心,北京科技大学会议中心,北京科技大學會議中心,"POLYGON ((116.3567705 39.9868905, 116.3567716 39.9867203, 116.3571275 39.9867216, 116.3571283 39.9866006, 116.3572855 39.9866012, 116.3572836 39.9868925, 116.3567705 39.9868905))",,,,,,,,,,,,,,,,
way,978624813,"[9055170631, 9055170632, 9055170633, 9055170634, 9055170631]",yes,,,,,"POLYGON ((116.3572081 39.99183, 116.3572081 39.9919463, 116.3576049 39.9919522, 116.3576113 39.9918319, 116.3572081 39.99183))",,,,,,,,,,,,,,,,
way,978624814,"[9055170635, 9055170636, 9055170637, 9055170638, 9055170635]",yes,,,,,"POLYGON ((116.3551961 39.9910317, 116.3555831 39.9910379, 116.3555895 39.990908, 116.3552024 39.9909011, 116.3551961 39.9910317))",,,,,,,,,,,,,,,,
way,978624815,"[9055170639, 9055170640, 9055170641, 9055170642, 9055170639]",yes,,,,,"POLYGON ((116.3556418 39.9909107, 116.3556373 39.9910289, 116.3562805 39.9910483, 116.3562932 39.990928, 116.3556418 39.9909107))",,,,,,,,,,,,,,,,
way,978624816,"[9055170643, 9055170644, 9055170645, 9055170646, 9055170643]",yes,,,,,"POLYGON ((116.3563861 39.9909342, 116.3563771 39.9910497, 116.3570519 39.9910628, 116.3570609 39.9909474, 116.3563861 39.9909342))",,,,,,,,,,,,,,,,
way,978624817,"[9055170647, 9055170648, 9055170649, 9055170650, 9055170647]",yes,,,,,"POLYGON ((116.3554009 39.9902907, 116.3554041 39.9904058, 116.355873 39.9904107, 116.3558794 39.9902981, 116.3554009 39.9902907))",,,,,,,,,,,,,,,,
way,978624818,"[9055170651, 9055170652, 9055170653, 9055170654, 9055170651]",yes,,,,,"POLYGON ((116.3560833 39.990248, 116.3560725 39.9903984, 116.3567517 39.9904148, 116.3567517 39.9902628, 116.3560833 39.990248))",,,,,,,,,,,,,,,,
