u,v,key,osmid,highway,oneway,reversed,length,geometry,service,tunnel,bridge
9550312167,9550312168,0,1036623746,footway,False,False,44.691,"LINESTRING (120.7361941 31.2713375, 120.7362197 31.2712784, 120.7363373 31.2710071, 120.7363574 31.2709606)",,,
9550312168,9550311860,0,1036623708,service,False,False,135.046,"LINESTRING (120.7363574 31.2709606, 120.7362703 31.2709287, 120.735959 31.270835, 120.7358901 31.2708219, 120.7358224 31.2708186, 120.7356923 31.2708339, 120.73527 31.2709549, 120.7351883 31.270992, 120.7351182 31.2710258, 120.7350607 31.2710574, 120.7350327 31.2710814)",,,
9550312168,9550311846,0,1036623708,service,False,True,98.935,"LINESTRING (120.7363574 31.2709606, 120.7368546 31.2711425, 120.7369363 31.2711948, 120.7370345 31.2712799, 120.7371443 31.2714162, 120.7371647 31.2714686)",,,
9550312168,9550312167,0,1036623746,footway,False,True,44.691,"LINESTRING (120.7363574 31.2709606, 120.7363373 31.2710071, 120.7362197 31.2712784, 120.7361941 31.2713375)",,,
9550312170,9550311846,0,1036623708,service,False,False,53.286,"LINESTRING (120.7371689 31.2719462, 120.7371825 31.2715482, 120.7371647 31.2714686)",,,
9550312170,9550312263,0,1036623708,service,False,True,74.497,"LINESTRING (120.7371689 31.2719462, 120.7371545 31.2723682, 120.7371387 31.2724384, 120.7370918 31.2725248, 120.73704 31.2725927)",,,
9550312170,9550312062,0,1036623747,footway,False,True,50.699,"LINESTRING (120.7371689 31.2719462, 120.7371025 31.2719452, 120.7367459 31.2719397, 120.7367061 31.2719328, 120.7366376 31.2719215)",,,
9550312171,9550344574,0,1036623708,service,False,False,48.808,"LINESTRING (120.7349572 31.2725744, 120.7350745 31.2726882, 120.7351719 31.2727869, 120.735273 31.2728702, 120.7353144 31.2728844)",,,
9550312171,9550311863,0,1036623708,service,False,True,83.87700000000001,"LINESTRING (120.7349572 31.2725744, 120.7347605 31.2722934, 120.7346883 31.2721793, 120.7346559 31.2720929, 120.7346346 31.2720225, 120.734632 31.271956, 120.7346499 31.2718906)",,,
9550312171,9550312172,0,1036623748,footway,False,False,59.179,"LINESTRING (120.7349572 31.2725744, 120.735041 31.2725244, 120.7353013 31.2723692, 120.7354679 31.2722699)",,,
9550312172,9550312081,0,1036623740,footway,False,False,29.083,"LINESTRING (120.7354679 31.2722699, 120.7355531 31.2723293, 120.7356909 31.2723729, 120.7357392 31.2723805)",,,
9550312172,9550312075,0,1036623740,footway,False,True,48.927,"LINESTRING (120.7354679 31.2722699, 120.7354 31.2722224, 120.7353132 31.2721199, 120.735275 31.2720131, 120.7352647 31.2718866)",,,
9550312172,9550312171,0,1036623748,footway,False,True,59.179,"LINESTRING (120.7354679 31.2722699, 120.7353013 31.2723692, 120.735041 31.2725244, 120.7349572 31.2725744)",,,
9550312263,9550312170,0,1036623708,service,False,False,74.497,"LINESTRING (120.73704 31.2725927, 120.7370918 31.2725248, 120.7371387 31.2724384, 120.7371545 31.2723682, 120.7371689 31.2719462)",,,
9550312263,9550311943,0,1036623708,service,False,True,70.182,"LINESTRING (120.73704 31.2725927, 120.7368031 31.2729041, 120.7367291 31.2729519, 120.7366298 31.2729643, 120.7365191 31.2729611)",,,
9550312263,9550312287,0,1036623756,footway,False,False,128.61,"LINESTRING (120.73704 31.2725927, 120.7371652 31.2726604, 120.7372575 31.2727466, 120.7373112 31.2728127, 120.7374206 31.2728677, 120.7375729 31.2729557, 120.7376674 31.2729741, 120.7377897 31.2729814, 120.7379248 31.2729667, 120.7380536 31.2729117, 120.7381287 31.2728576, 120.7381684 31.2728337, 120.7381778 31.2728216)",,,
9550312286,9550311930,0,1036623712,service,False,True,11.021,"LINESTRING (120.7381232 31.2711605, 120.7380148 31.2711957)",,,
9550312286,9550311911,0,1036623712,service,False,False,78.662,"LINESTRING (120.7381232 31.2711605, 120.7381978 31.2711362, 120.7383207 31.2711116, 120.7384497 31.2711259, 120.7386014 31.2711609, 120.7389131 31.2712644)",,,
9550312286,9550312287,0,1036623756,footway,False,True,208.40300000000002,"LINESTRING (120.7381232 31.2711605, 120.7381523 31.2712088, 120.7382006 31.2713023, 120.7382177 31.27135, 120.7382553 31.2714023, 120.7382993 31.2714399, 120.7383637 31.2714793, 120.7384227 31.2715325, 120.7384559 31.2715939, 120.7384945 31.2716215, 120.7385782 31.2716462, 120.7382006 31.2727925, 120.7381778 31.2728216)",,,
9550312287,9550312286,0,1036623756,footway,False,False,208.403,"LINESTRING (120.7381778 31.2728216, 120.7382006 31.2727925, 120.7385782 31.2716462, 120.7384945 31.2716215, 120.7384559 31.2715939, 120.7384227 31.2715325, 120.7383637 31.2714793, 120.7382993 31.2714399, 120.7382553 31.2714023, 120.7382177 31.27135, 120.7382006 31.2713023, 120.7381523 31.2712088, 120.7381232 31.2711605)",,,
9550312287,9550312263,0,1036623756,footway,False,True,128.61,"LINESTRING (120.7381778 31.2728216, 120.7381684 31.2728337, 120.7381287 31.2728576, 120.7380536 31.2729117, 120.7379248 31.2729667, 120.7377897 31.2729814, 120.7376674 31.2729741, 120.7375729 31.2729557, 120.7374206 31.2728677, 120.7373112 31.2728127, 120.7372575 31.2727466, 120.7371652 31.2726604, 120.73704 31.2725927)",,,
9550312287,9550311905,0,1036623757,footway,False,False,97.72900000000001,"LINESTRING (120.7381778 31.2728216, 120.7381545 31.2729194, 120.7381636 31.2729453, 120.7382061 31.2729842, 120.7382895 31.2730153, 120.7385717 31.2730789, 120.738643 31.2730828, 120.7386977 31.2730815, 120.7387235 31.2730685, 120.7387705 31.2730309, 120.7387963 31.2729881, 120.7388175 31.2729285, 120.7388336 31.2728571)",,,
9550329014,9550312041,0,1036627905,steps,False,True,0.965,"LINESTRING (120.7359388 31.2724793, 120.7359402 31.2724707)",,,
9550329016,9550312029,0,"[1036627906, 1036627907]","['steps', 'footway']",False,True,21.054000000000002,"LINESTRING (120.7359917 31.2727332, 120.736069 31.2727231, 120.7362056 31.272686)",,,
9550344574,9550311943,0,1036623708,service,False,False,115.381,"LINESTRING (120.7353144 31.2728844, 120.7354173 31.2729196, 120.7355995 31.272935, 120.7365191 31.2729611)",,,
9550344574,9550312171,0,1036623708,service,False,True,48.808,"LINESTRING (120.7353144 31.2728844, 120.735273 31.2728702, 120.7351719 31.2727869, 120.7350745 31.2726882, 120.7349572 31.2725744)",,,
