element_type,osmid,nodes,building,name,tourism,geometry,amenity,office,name:en,layer,shop,landuse,man_made,monitoring:weather,natural,ways,type
way,106362822,"[1224005428, 1224005455, 1224005454, 1224005448, 1224005411, 1224005432, 1224005472, 1224005431, 1224005428]",yes,,,"POLYGON ((114.3499701 30.4819507, 114.3502437 30.4819468, 114.3502447 30.4819968, 114.3506973 30.4819902, 114.3506993 30.482096, 114.3502265 30.4821029, 114.3502257 30.4820614, 114.3499723 30.4820651, 114.3499701 30.4819507))",,,,,,,,,,,
way,106362824,"[1224005387, 1224005379, 1224005395, 1224005413, 1224005387]",yes,,,"POLYGON ((114.3491076 30.4810433, 114.3498228 30.4810384, 114.349824 30.4811716, 114.3491089 30.4811765, 114.3491076 30.4810433))",,,,,,,,,,,
way,106362825,"[1224005467, 1224005424, 1224005469, 1224005464, 1224005414, 1224005486, 1224005434, 1224005396, 1224005467]",yes,,,"POLYGON ((114.3499766 30.4816096, 114.350249 30.4816056, 114.3502499 30.4816524, 114.350692 30.4816459, 114.3506944 30.4817635, 114.3502253 30.4817705, 114.350224 30.4817093, 114.3499787 30.4817129, 114.3499766 30.4816096))",,,,,,,,,,,
way,106362829,"[1224005377, 1224005489, 1224005403, 1224005400, 1224005377]",yes,,,"POLYGON ((114.3481399 30.4820082, 114.3488649 30.4820161, 114.3488633 30.4821228, 114.3481383 30.482115, 114.3481399 30.4820082))",,,,,,,,,,,
way,106362830,"[1224005383, 1224005402, 1224005449, 1224005429, 1224005383]",yes,,,"POLYGON ((114.3499942 30.4813126, 114.3506043 30.4813032, 114.3506067 30.4814223, 114.3499967 30.4814318, 114.3499942 30.4813126))",,,,,,,,,,,
way,106362831,"[1224005452, 1224005405, 1224005491, 1224005451, 1224005452]",yes,,,"POLYGON ((114.3504633 30.481043, 114.3506862 30.4810492, 114.3506827 30.4811433, 114.3504598 30.4811372, 114.3504633 30.481043))",,,,,,,,,,,
way,106362833,"[1224005470, 1224005398, 1224005385, 1224005397, 1224005470]",yes,,,"POLYGON ((114.3490783 30.4819881, 114.3498046 30.48199, 114.3498042 30.4821152, 114.3490779 30.4821133, 114.3490783 30.4819881))",,,,,,,,,,,
way,112320589,"[1277004948, 1277004904, 1277004887, 1277004928, 1277004948]",yes,华中农业大学动物医院,,"POLYGON ((114.3344064 30.4801167, 114.3350487 30.4801054, 114.3350541 30.480333, 114.3344118 30.4803443, 114.3344064 30.4801167))",public_building,,,,,,,,,,
way,112320593,"[1277004933, 1277004974, 1277004973, 1277004885, 1277004933]",yes,华中农业大学动物医院,,"POLYGON ((114.3346839 30.4799378, 114.3346834 30.4797849, 114.3354047 30.479783, 114.3354052 30.4799359, 114.3346839 30.4799378))",veterinary,,,,,,,,,,
way,112323980,"[1277038058, 1277038062, 1277038028, 1277038046, 1277038058]",yes,,,"POLYGON ((114.3356891 30.4802348, 114.3356974 30.4801884, 114.335801 30.480202, 114.3357928 30.4802484, 114.3356891 30.4802348))",,,,,,,,,,,
way,114364905,"[1295643061, 1295643065, 1295643050, 1295643049, 1295643061]",yes,昆虫楼,,"POLYGON ((114.3481041 30.4745828, 114.3484093 30.4745828, 114.3484094 30.4746984, 114.3481041 30.4746984, 114.3481041 30.4745828))",public_building,,,,,,,,,,
way,114364907,"[1295643046, 1295643067, 8992856410, 8992856411, 8992856412, 1295643052, 1295643046]",yes,,,"POLYGON ((114.3474209 30.4747206, 114.3481014 30.4747338, 114.3481009 30.4747544, 114.3480953 30.4749701, 114.3478851 30.474966, 114.3474148 30.4749569, 114.3474209 30.4747206))",,,,,,,,,,,
way,114365637,"[1295647770, 1295647773, 1295647785, 1295647791, 8734423170, 1295647770]",yes,新门诊部,,"POLYGON ((114.3481273 30.4764025, 114.3481222 30.4762737, 114.3483738 30.4762721, 114.3483745 30.4764386, 114.3481273 30.4764414, 114.3481273 30.4764025))",public_building,,,,,,,,,,
