u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service,maxspeed,lanes,bridge,width
3724418673,7846353396,0,368589375,,service,,False,False,10.568,"LINESTRING (106.4172608 29.8175052, 106.4172701 29.8175999)",driveway,,,,
3724418673,3724418674,0,368589376,,footway,,False,False,15.638,"LINESTRING (106.4172608 29.8175052, 106.4173833 29.8175973)",,,,,
3724418673,7846353464,0,368589375,,service,,False,True,92.289,"LINESTRING (106.4172608 29.8175052, 106.4173182 29.8173732, 106.417117 29.8167068)",driveway,,,,
3724418674,3724418673,0,368589376,,footway,,False,True,15.638,"LINESTRING (106.4173833 29.8175973, 106.4172608 29.8175052)",,,,,
3724427110,3724427117,0,368592186,,footway,,False,True,54.418,"LINESTRING (106.4104991 29.8189157, 106.4099946 29.8186968)",,,,,
3724427110,3724427114,0,368592184,,footway,,False,False,112.875,"LINESTRING (106.4104991 29.8189157, 106.4105449 29.8188442, 106.4105724 29.8188013, 106.4105766 29.8186093, 106.4105298 29.8183544, 106.4103568 29.8179471)",,,,,
3724427110,3724427122,0,368592184,,footway,,False,True,147.756,"LINESTRING (106.4104991 29.8189157, 106.410452 29.818981, 106.4104191 29.8190267, 106.4101253 29.8191486, 106.4095208 29.8193333, 106.4094142 29.8189861)",,,,,
3724427110,7846863862,0,368592186,,footway,,False,False,35.135999999999996,"LINESTRING (106.4104991 29.8189157, 106.4107165 29.8190057, 106.4108334 29.8190398)",,,,,
3724427114,3724427115,0,368592184,,footway,,False,False,39.483,"LINESTRING (106.4103568 29.8179471, 106.4099633 29.8180447)",,,,,
3724427114,3724123189,0,"[368592184, 368592187]",,footway,,False,"[False, True]",35.307,"LINESTRING (106.4103568 29.8179471, 106.4106064 29.8178853, 106.4106717 29.8178124)",,,,,
3724427114,3724427110,0,368592184,,footway,,False,True,112.875,"LINESTRING (106.4103568 29.8179471, 106.4105298 29.8183544, 106.4105766 29.8186093, 106.4105724 29.8188013, 106.4105449 29.8188442, 106.4104991 29.8189157)",,,,,
3724427115,3724427114,0,368592184,,footway,,False,True,39.483,"LINESTRING (106.4099633 29.8180447, 106.4103568 29.8179471)",,,,,
3724427115,3724427122,0,368592184,,footway,,False,False,156.351,"LINESTRING (106.4099633 29.8180447, 106.4093845 29.8181882, 106.4092525 29.8182657, 106.4092227 29.8183618, 106.4094142 29.8189861)",,,,,
3724427115,3724427117,0,368592185,,footway,,False,False,76.631,"LINESTRING (106.4099633 29.8180447, 106.4100998 29.8184578, 106.4100499 29.8186275, 106.4099946 29.8186968)",,,,,
3724427117,3724427110,0,368592186,,footway,,False,False,54.418,"LINESTRING (106.4099946 29.8186968, 106.4104991 29.8189157)",,,,,
3724427117,3724427122,0,368592185,,footway,,False,False,65.895,"LINESTRING (106.4099946 29.8186968, 106.4099293 29.8187659, 106.4098401 29.8188198, 106.4097336 29.8188863, 106.4096102 29.8189343, 106.4094142 29.8189861)",,,,,
