u,v,key,osmid,highway,oneway,reversed,length,name,geometry
8515442095,8515450592,0,916831868,service,False,False,50.334,凌云路,"LINESTRING (118.8158523 32.035173, 118.8161122 32.0351493, 118.8163836 32.0351278)"
8515442095,8515442059,0,916831868,service,False,True,146.25400000000002,凌云路,"LINESTRING (118.8158523 32.035173, 118.8148737 32.0352742, 118.8143132 32.0353391)"
8515442095,8985309492,0,916831885,service,False,False,189.51,,"LINESTRING (118.8158523 32.035173, 118.815813 32.0345655, 118.8158116 32.0341749, 118.8158244 32.0341283, 118.8158606 32.0341061, 118.8159055 32.0340913, 118.8165816 32.0340112)"
8515442098,8985309492,0,916831885,service,False,True,124.647,,"LINESTRING (118.8178912 32.0338561, 118.8165816 32.0340112)"
8515442099,8515442100,0,916831886,service,False,False,64.598,,"LINESTRING (118.8173413 32.0353881, 118.8180204 32.0353101)"
8515442099,8515442054,0,916831887,service,False,False,38.729,,"LINESTRING (118.8173413 32.0353881, 118.8172777 32.035044)"
8515442099,8515442103,0,916831887,service,False,True,37.518,,"LINESTRING (118.8173413 32.0353881, 118.8173888 32.0357231)"
8515442100,8515442112,0,916831886,service,False,False,39.022,,"LINESTRING (118.8180204 32.0353101, 118.8179717 32.0349616)"
8515442100,8515442099,0,916831886,service,False,True,64.598,,"LINESTRING (118.8180204 32.0353101, 118.8173413 32.0353881)"
8515442100,8515442104,0,970855296,service,False,False,38.234,,"LINESTRING (118.8180204 32.0353101, 118.8180667 32.0356517)"
8515442103,8515442099,0,916831887,service,False,False,37.518,,"LINESTRING (118.8173888 32.0357231, 118.8173413 32.0353881)"
8515442103,8985324533,0,916831887,service,False,True,34.401,,"LINESTRING (118.8173888 32.0357231, 118.8174449 32.0360288)"
8515442103,8985324537,0,916831888,service,False,False,48.27,,"LINESTRING (118.8173888 32.0357231, 118.816883 32.0357909)"
8515442103,8515442104,0,916831888,service,False,True,64.392,,"LINESTRING (118.8173888 32.0357231, 118.8180667 32.0356517)"
8515442104,8515442103,0,916831888,service,False,False,64.392,,"LINESTRING (118.8180667 32.0356517, 118.8173888 32.0357231)"
8515442104,8515442110,0,970855295,service,False,False,32.673,,"LINESTRING (118.8180667 32.0356517, 118.8181156 32.0359426)"
8515442104,8515442100,0,970855296,service,False,True,38.234,,"LINESTRING (118.8180667 32.0356517, 118.8180204 32.0353101)"
8515442110,8515442111,0,916831888,service,False,False,37.496,,"LINESTRING (118.8181156 32.0359426, 118.8181686 32.0362768)"
8515442110,8515442104,0,970855295,service,False,True,32.673,,"LINESTRING (118.8181156 32.0359426, 118.8180667 32.0356517)"
8515442110,8985324533,0,916831888,service,False,True,63.944,,"LINESTRING (118.8181156 32.0359426, 118.8179138 32.0359685, 118.8174449 32.0360288)"
8515442111,8515442069,0,916831867,service,False,True,40.278,长空路,"LINESTRING (118.8181686 32.0362768, 118.8177479 32.0363402)"
8515442111,8515442110,0,916831888,service,False,True,37.496,,"LINESTRING (118.8181686 32.0362768, 118.8181156 32.0359426)"
8515442112,8515442114,0,916831886,service,False,False,28.734,,"LINESTRING (118.8179717 32.0349616, 118.817941 32.0347045)"
8515442112,8515442100,0,916831886,service,False,True,39.022,,"LINESTRING (118.8179717 32.0349616, 118.8180204 32.0353101)"
8515442112,8515442054,0,916831889,service,False,True,66.057,,"LINESTRING (118.8179717 32.0349616, 118.8172777 32.035044)"
8515442113,8515442116,0,916831887,service,False,False,32.874,,"LINESTRING (118.8172435 32.0347866, 118.8171988 32.0344934)"
8515442113,8515442054,0,916831887,service,False,True,28.803,,"LINESTRING (118.8172435 32.0347866, 118.8172777 32.035044)"
8515442113,8515442114,0,916831890,service,False,False,66.379,,"LINESTRING (118.8172435 32.0347866, 118.817941 32.0347045)"
8515442114,8515450317,0,916831886,service,False,False,32.068,,"LINESTRING (118.817941 32.0347045, 118.8179114 32.0344172)"
8515442114,8515442112,0,916831886,service,False,True,28.734,,"LINESTRING (118.817941 32.0347045, 118.8179717 32.0349616)"
8515442114,8515442113,0,916831890,service,False,True,66.379,,"LINESTRING (118.817941 32.0347045, 118.8172435 32.0347866)"
8515442116,8515450318,0,916831887,service,False,False,27.271,,"LINESTRING (118.8171988 32.0344934, 118.8171761 32.0342489)"
8515442116,8515442113,0,916831887,service,False,True,32.874,,"LINESTRING (118.8171988 32.0344934, 118.8172435 32.0347866)"
8515442116,8515450317,0,916831891,service,False,False,67.704,,"LINESTRING (118.8171988 32.0344934, 118.8179114 32.0344172)"
8515442116,8515450524,0,916831891,service,False,True,50.604,,"LINESTRING (118.8171988 32.0344934, 118.816665 32.0345417)"
8515450317,8515442114,0,916831886,service,False,True,32.068,,"LINESTRING (118.8179114 32.0344172, 118.817941 32.0347045)"
8515450317,8515442116,0,916831891,service,False,True,67.704,,"LINESTRING (118.8179114 32.0344172, 118.8171988 32.0344934)"
8515450317,8515450318,0,916831886,service,False,False,95.93199999999999,,"LINESTRING (118.8179114 32.0344172, 118.8178787 32.0341584, 118.8171761 32.0342489)"
8515450318,8515442116,0,916831887,service,False,True,27.271,,"LINESTRING (118.8171761 32.0342489, 118.8171988 32.0344934)"
8515450318,8515450525,0,916831892,service,False,False,52.059,,"LINESTRING (118.8171761 32.0342489, 118.8166284 32.034309)"
8515450318,8515450317,0,916831886,service,False,True,95.93199999999999,,"LINESTRING (118.8171761 32.0342489, 118.8178787 32.0341584, 118.8179114 32.0344172)"
8515450320,8515442043,0,916831866,service,False,False,79.167,翔宇路,"LINESTRING (118.8168899 32.0375059, 118.8177185 32.0373896)"
8515450320,8515450323,0,916831866,service,False,True,16.134,翔宇路,"LINESTRING (118.8168899 32.0375059, 118.8167203 32.0375255)"
8515450320,8985324529,0,916831893,service,False,False,71.068,,"LINESTRING (118.8168899 32.0375059, 118.8169523 32.0380755, 118.8169375 32.0381414)"
8515450323,8515450320,0,916831866,service,False,False,16.134,翔宇路,"LINESTRING (118.8167203 32.0375255, 118.8168899 32.0375059)"
8515450323,8515450328,0,916831866,service,False,True,98.57499999999999,翔宇路,"LINESTRING (118.8167203 32.0375255, 118.8158083 32.0376352, 118.8156852 32.0376518)"
8515450323,8515450326,0,916831894,service,False,False,120.483,,"LINESTRING (118.8167203 32.0375255, 118.8166054 32.0368323, 118.8170546 32.0367867)"
8515450325,8515442069,0,916831872,service,False,False,39.021,,"LINESTRING (118.8177923 32.0366891, 118.8177479 32.0363402)"
8515450325,8515450326,0,916831894,service,False,True,70.378,,"LINESTRING (118.8177923 32.0366891, 118.8170546 32.0367867)"
8515450325,8515442043,0,"[916831872, 916831866]",service,False,True,94.322,翔宇路,"LINESTRING (118.8177923 32.0366891, 118.8179155 32.0373596, 118.8177185 32.0373896)"
8515450326,8515450325,0,916831894,service,False,False,70.378,,"LINESTRING (118.8170546 32.0367867, 118.8177923 32.0366891)"
8515450326,8515450327,0,916831895,service,False,False,39.949,,"LINESTRING (118.8170546 32.0367867, 118.8169967 32.0364308)"
8515450326,8515450323,0,916831894,service,False,True,120.483,,"LINESTRING (118.8170546 32.0367867, 118.8166054 32.0368323, 118.8167203 32.0375255)"
8515450327,8515442069,0,916831867,service,False,False,71.522,长空路,"LINESTRING (118.8169967 32.0364308, 118.8177479 32.0363402)"
8515450327,8515450326,0,916831895,service,False,True,39.949,,"LINESTRING (118.8169967 32.0364308, 118.8170546 32.0367867)"
8515450327,8515450329,0,916831867,service,False,True,139.645,长空路,"LINESTRING (118.8169967 32.0364308, 118.8162482 32.03651, 118.8161409 32.0365078, 118.815849 32.0365028, 118.8155223 32.0365263)"
8515450328,8515442057,0,916831866,service,False,True,94.296,翔宇路,"LINESTRING (118.8156852 32.0376518, 118.8146972 32.0377848)"
8515450328,8515450331,0,916831896,service,False,False,74.91,瀚苑路,"LINESTRING (118.8156852 32.0376518, 118.8155897 32.036983)"
8515450328,8515450323,0,916831866,service,False,False,98.57499999999999,翔宇路,"LINESTRING (118.8156852 32.0376518, 118.8158083 32.0376352, 118.8167203 32.0375255)"
8515450329,8515442058,0,916831867,service,False,True,94.936,长空路,"LINESTRING (118.8155223 32.0365263, 118.8145214 32.0366213)"
8515450329,8515450331,0,916831896,service,False,True,51.179,瀚苑路,"LINESTRING (118.8155223 32.0365263, 118.8155897 32.036983)"
8515450329,8515450327,0,916831867,service,False,False,139.645,长空路,"LINESTRING (118.8155223 32.0365263, 118.815849 32.0365028, 118.8161409 32.0365078, 118.8162482 32.03651, 118.8169967 32.0364308)"
8515450330,8515442058,0,916831869,service,False,False,53.34,博远路,"LINESTRING (118.8146004 32.0370963, 118.8145214 32.0366213)"
8515450330,8515442057,0,916831869,service,False,True,77.1,博远路,"LINESTRING (118.8146004 32.0370963, 118.8146972 32.0377848)"
8515450330,8515450331,0,916831897,service,False,False,94.099,,"LINESTRING (118.8146004 32.0370963, 118.8155897 32.036983)"
8515450331,8515450329,0,916831896,service,False,False,51.179,瀚苑路,"LINESTRING (118.8155897 32.036983, 118.8155223 32.0365263)"
8515450331,8515450328,0,916831896,service,False,True,74.91,瀚苑路,"LINESTRING (118.8155897 32.036983, 118.8156852 32.0376518)"
8515450331,8515450330,0,916831897,service,False,True,94.099,,"LINESTRING (118.8155897 32.036983, 118.8146004 32.0370963)"
8515450524,8515442116,0,916831891,service,False,False,50.604,,"LINESTRING (118.816665 32.0345417, 118.8171988 32.0344934)"
8515450524,8515450525,0,916831925,service,False,False,26.104,,"LINESTRING (118.816665 32.0345417, 118.8166284 32.034309)"
8515450524,8515450525,1,"[916831891, 916831892]",service,False,True,105.34100000000001,,"LINESTRING (118.816665 32.0345417, 118.8162545 32.0345945, 118.8162159 32.0343539, 118.8166284 32.034309)"
