u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed,width,tunnel,service
5173028147,5173027972,0,669046555,创新路,unclassified,False,True,20.981,"LINESTRING (113.9920855 22.5972379, 113.9921402 22.597217, 113.9922578 22.5971384)",,,,,,,
5173028153,5173027992,0,533170958,创知南路,pedestrian,False,False,22.884,"LINESTRING (113.9931791 22.5984518, 113.9933156 22.5986145)",,,,,,,
5173028153,9049745572,0,533170958,创知南路,pedestrian,False,True,9.428,"LINESTRING (113.9931791 22.5984518, 113.9931152 22.5983909)",,,,,,,
5173028153,8552127810,0,916387698,,footway,False,False,12.462,"LINESTRING (113.9931791 22.5984518, 113.9932401 22.5983549)",,,,,,,
5173028166,6024420922,0,"[533170960, 533170992]",立心路,unclassified,False,False,62.11399999999999,"LINESTRING (113.9956108 22.6029011, 113.9954826 22.6029467, 113.9954162 22.6029929, 113.9952491 22.6031482, 113.995157 22.6032545)",,,yes,,,,
5173028166,6050673388,0,533170960,,unclassified,False,True,21.144999999999996,"LINESTRING (113.9956108 22.6029011, 113.9957394 22.6028979, 113.9957819 22.6028968, 113.9958167 22.6028959)",,,,,,,
5173028166,5173029317,0,"[920723192, 920723191]",创知南路,"['unclassified', 'pedestrian']",False,True,231.22500000000002,"LINESTRING (113.9956108 22.6029011, 113.9955697 22.6028611, 113.9954737 22.6027799, 113.9947807 22.6023521, 113.9945419 22.6021187, 113.994305 22.6017745, 113.9940946 22.6014184)",,,,,,,
5173028185,5173029159,0,533170960,,unclassified,False,False,7.985,"LINESTRING (113.9968281 22.6029918, 113.9967524 22.6029753)",,,,,,,
5173028185,6024420973,0,639323929,,footway,False,True,3.966,"LINESTRING (113.9968281 22.6029918, 113.9968161 22.6030257)",,,,,,,
5173028185,8548694305,0,533170960,,unclassified,False,True,98.215,"LINESTRING (113.9968281 22.6029918, 113.9971982 22.6031111, 113.9975719 22.6032385, 113.9977279 22.6032919)",,,,,,,
5173028191,9181764158,0,533170961,立志路,unclassified,False,False,115.47299999999998,"LINESTRING (113.9941968 22.6042475, 113.9939383 22.6037693, 113.9938693 22.603695, 113.99376 22.6036472, 113.9934476 22.6035875)",,,,,,,
5173028191,6024421208,0,533170991,立心路,unclassified,False,True,72.605,"LINESTRING (113.9941968 22.6042475, 113.9945765 22.6039232, 113.9946969 22.6037875)",,,,,,,
5173028191,6531598536,0,695571948,,footway,False,False,250.98499999999999,"LINESTRING (113.9941968 22.6042475, 113.9943505 22.6043474, 113.9946968 22.6042417, 113.9953006 22.6045189, 113.9954619 22.6046869, 113.9956322 22.60474, 113.9957758 22.6049961, 113.9961065 22.6050784, 113.9962148 22.6051605)",,,,,,,
5173028191,6531598529,0,864686956,立心路,unclassified,False,True,48.027,"LINESTRING (113.9941968 22.6042475, 113.9940486 22.6044302, 113.9940327 22.6044498, 113.9939315 22.6046027)",,,,,,,
5173028198,8153829298,0,533170961,立志路,unclassified,False,False,71.973,"LINESTRING (113.9927999 22.6032703, 113.9926159 22.6031323, 113.9923342 22.6029625, 113.9922512 22.602873)",,,,,,,
5173028198,9181764158,0,533170961,立志路,unclassified,False,True,80.215,"LINESTRING (113.9927999 22.6032703, 113.9928804 22.6033871, 113.9929781 22.6034933, 113.9930931 22.6035198, 113.9934476 22.6035875)",,,,,,,
5173028198,5173029335,0,533171020,,living_street,False,True,87.03,"LINESTRING (113.9927999 22.6032703, 113.9929888 22.6030745, 113.9931469 22.6030195, 113.993299 22.6029176, 113.9933855 22.6027441)",,,,,,,
5173028220,9049745573,0,533170962,创知北路,pedestrian,False,True,53.131,"LINESTRING (113.9930469 22.5989922, 113.9928977 22.5989673, 113.9928577 22.5989211, 113.9928452 22.5988425, 113.9928477 22.5987894, 113.9927358 22.5986861)",,,,,,,
5173028220,5173027995,0,536044866,卓越路,pedestrian,False,False,21.379,"LINESTRING (113.9930469 22.5989922, 113.9930381 22.5990485, 113.9930433 22.5991838)",,,,,,,
5173028220,5193738422,0,"[709898417, 536044866]",卓越路,pedestrian,False,True,37.4,"LINESTRING (113.9930469 22.5989922, 113.9930579 22.5989224, 113.9930886 22.59885, 113.9931411 22.5987574, 113.9932034 22.5986968)",,,yes,,,,
5173028321,5173027992,0,918534489,卓越路,unclassified,False,False,91.633,"LINESTRING (113.9940601 22.5981599, 113.9933156 22.5986145)",,,,,,,
5173028321,9399786562,0,918534489,卓越路,unclassified,False,True,59.56,"LINESTRING (113.9940601 22.5981599, 113.9945248 22.5978392)",,,,,,,
5173028321,5173028326,0,533170963,,service,False,False,79.903,"LINESTRING (113.9940601 22.5981599, 113.9939892 22.5977946, 113.9939472 22.5976428, 113.9938206 22.597492)",,,,,,,
5173028321,9326228300,0,1010872606,,unclassified,False,True,229.301,"LINESTRING (113.9940601 22.5981599, 113.9941031 22.597755, 113.9938375 22.5973415, 113.9930277 22.5964356)",,,,,,,
5173028326,9053038609,0,533170963,,service,False,False,101.18299999999999,"LINESTRING (113.9938206 22.597492, 113.9935358 22.5971661, 113.9932238 22.5969175, 113.9931102 22.596882)",,,,,,,
5173028326,5173028321,0,533170963,,service,False,True,79.90299999999999,"LINESTRING (113.9938206 22.597492, 113.9939472 22.5976428, 113.9939892 22.5977946, 113.9940601 22.5981599)",,,,,,,
5173028326,8511339800,0,533170964,,pedestrian,False,False,62.553000000000004,"LINESTRING (113.9938206 22.597492, 113.9936955 22.5975473, 113.9934316 22.5975651, 113.9932304 22.597606)",,,,,,,
5173028327,9049745580,0,533170964,,pedestrian,False,False,15.891,"LINESTRING (113.992775 22.5976948, 113.9926203 22.5976997)",,,,,,,
5173028327,8511339800,0,533170964,,pedestrian,False,True,47.782,"LINESTRING (113.992775 22.5976948, 113.9932304 22.597606)",,,,,,,
5173028327,9049745588,0,533170958,创知南路,pedestrian,False,False,52.056999999999995,"LINESTRING (113.992775 22.5976948, 113.9927915 22.5977792, 113.9928755 22.5981155, 113.9928969 22.5981471)",,,,,,,
5173028327,9049745585,0,533170958,创知南路,pedestrian,False,True,65.96000000000001,"LINESTRING (113.992775 22.5976948, 113.9927561 22.5975442, 113.9927359 22.5974665, 113.9926796 22.5973166, 113.9926416 22.5972269, 113.9925559 22.5971553)",,,,,,,
5173028328,5173028329,0,533170969,,pedestrian,False,False,74.471,"LINESTRING (113.9923464 22.5977257, 113.9916226 22.5977705)",,,,,,,
5173028328,5173028373,0,533170962,创知北路,pedestrian,False,False,67.05199999999999,"LINESTRING (113.9923464 22.5977257, 113.9923722 22.5977566, 113.9923972 22.5978282, 113.9924097 22.5980639, 113.9924147 22.5981263, 113.9924247 22.5981725, 113.9924447 22.5982256, 113.9924834 22.5983048)",,,,,,,
5173028328,5173028147,0,533170962,创知北路,pedestrian,False,True,62.446,"LINESTRING (113.9923464 22.5977257, 113.992247 22.5976064, 113.9922195 22.5975556, 113.9921867 22.5973476, 113.9920855 22.5972379)",,,,,,,
5173028328,9049745580,0,"[533170968, 533170969, 533170964]",博观桥,pedestrian,False,True,28.352000000000004,"LINESTRING (113.9923464 22.5977257, 113.9924206 22.5977101, 113.9925881 22.5977031, 113.9926203 22.5976997)",,,yes,,,,
5173028329,5173028355,0,533170965,,pedestrian,False,True,61.729,"LINESTRING (113.9916226 22.5977705, 113.9915824 22.5972166)",,,,,,,
5173028329,5173028328,0,533170969,,pedestrian,False,True,74.471,"LINESTRING (113.9916226 22.5977705, 113.9923464 22.5977257)",,,,,,,
5173028329,5173028356,0,533170965,,pedestrian,False,False,86.012,"LINESTRING (113.9916226 22.5977705, 113.9916267 22.5978597, 113.9915972 22.5978956, 113.991622 22.5980479, 113.9916673 22.5980794, 113.991769 22.5985019)",,,,,,,
5173028332,8532584354,0,669046556,大学路,unclassified,False,False,9.301,"LINESTRING (113.9902918 22.5973063, 113.9902971 22.5973898)",,,,,,,
5173028332,8488583485,0,664021232,,service,False,False,98.757,"LINESTRING (113.9902918 22.5973063, 113.9911586 22.5972409, 113.9912506 22.597234)",,,,,,,
5173028332,5173028358,0,881493875,创新路,unclassified,False,True,120.30000000000001,"LINESTRING (113.9902918 22.5973063, 113.9902973 22.5972196, 113.9903579 22.5971159, 113.9903628 22.5971118, 113.9904715 22.5970213, 113.9905545 22.5969923, 113.9906535 22.59698, 113.9908136 22.5969896, 113.9910542 22.5970556, 113.9912408 22.5971142)",,,,,,,
5173028344,8511305864,0,695571943,大学路,unclassified,False,False,28.329,"LINESTRING (113.9919456 22.6002008, 113.9919701 22.6002639, 113.992015 22.600447)",,,,,,,
5173028344,5173028364,0,695571943,大学路,unclassified,False,True,53.787,"LINESTRING (113.9919456 22.6002008, 113.9918675 22.6000004, 113.9917167 22.5997682)",,,,,,,
5173028344,8519586957,0,917253695,,footway,False,True,81.559,"LINESTRING (113.9919456 22.6002008, 113.9920861 22.6001688, 113.9923197 22.6005336, 113.9925103 22.6005268)",,,,,,,
5173028350,8509612431,0,533170961,立志路,unclassified,False,True,59.94799999999999,"LINESTRING (113.9915179 22.6016063, 113.991537 22.6016448, 113.9917612 22.6020964)",,,,,,,
5173028350,8519620294,0,695571943,大学路,unclassified,False,False,110.256,"LINESTRING (113.9915179 22.6016063, 113.9911933 22.6018795, 113.9910843 22.6019778, 113.9907393 22.6022891)",,,,,,,
5173028350,8837785935,0,695571943,大学路,unclassified,False,True,88.09899999999999,"LINESTRING (113.9915179 22.6016063, 113.9917607 22.6013572, 113.991901 22.6011078, 113.9919563 22.6009392)",,,,,,,
5173028355,5173028329,0,533170965,,pedestrian,False,False,61.729,"LINESTRING (113.9915824 22.5972166, 113.9916226 22.5977705)",,,,,,,
5173028355,5173028358,0,881493875,创新路,unclassified,False,False,36.875,"LINESTRING (113.9915824 22.5972166, 113.9913619 22.5971478, 113.9912408 22.5971142)",,,,,,,
5173028355,5173028147,0,"[669046555, 881493875]",创新路,unclassified,False,True,52.903999999999996,"LINESTRING (113.9915824 22.5972166, 113.9917823 22.5972602, 113.9918758 22.597267, 113.9920075 22.5972678, 113.9920855 22.5972379)",,,,,,,
5173028356,5173028373,0,533170967,,pedestrian,False,False,76.543,"LINESTRING (113.991769 22.5985019, 113.9924834 22.5983048)",,,,,,,
5173028356,5173028372,0,533170967,,pedestrian,False,True,22.101,"LINESTRING (113.991769 22.5985019, 113.9915657 22.5985673)",,,,,,,
5173028356,5173028329,0,533170965,,pedestrian,False,True,86.012,"LINESTRING (113.991769 22.5985019, 113.9916673 22.5980794, 113.991622 22.5980479, 113.9915972 22.5978956, 113.9916267 22.5978597, 113.9916226 22.5977705)",,,,,,,
5173028358,8488583485,0,533170966,,pedestrian,False,False,13.359,"LINESTRING (113.9912408 22.5971142, 113.9912506 22.597234)",,,,,,,
5173028358,5173028332,0,881493875,创新路,unclassified,False,False,120.3,"LINESTRING (113.9912408 22.5971142, 113.9910542 22.5970556, 113.9908136 22.5969896, 113.9906535 22.59698, 113.9905545 22.5969923, 113.9904715 22.5970213, 113.9903628 22.5971118, 113.9903579 22.5971159, 113.9902973 22.5972196, 113.9902918 22.5973063)",,,,,,,
5173028358,5173028355,0,881493875,创新路,unclassified,False,True,36.875,"LINESTRING (113.9912408 22.5971142, 113.9913619 22.5971478, 113.9915824 22.5972166)",,,,,,,
5173028360,5173028372,0,533170966,,pedestrian,False,False,34.46,"LINESTRING (113.9913525 22.5983284, 113.9914141 22.598387, 113.9915657 22.5985673)",,,,,,,
5173028360,8552467657,0,533170966,,pedestrian,False,True,59.370999999999995,"LINESTRING (113.9913525 22.5983284, 113.991332 22.5981576, 113.9913002 22.5977967)",,,,,,,
5173028360,9070679252,0,918546292,,service,False,False,87.356,"LINESTRING (113.9913525 22.5983284, 113.9907884 22.598393, 113.9905224 22.5984809)",,,,,,,
5173028364,8509513126,0,533170985,卓越路,unclassified,False,False,37.480999999999995,"LINESTRING (113.9917167 22.5997682, 113.9919187 22.599654, 113.9920427 22.5996238)",,,,,,,
5173028364,5173028344,0,695571943,大学路,unclassified,False,False,53.787,"LINESTRING (113.9917167 22.5997682, 113.9918675 22.6000004, 113.9919456 22.6002008)",,,,,,,
