u,v,key,osmid,highway,access,oneway,reversed,length,tunnel,geometry,junction,bridge,service,name
1130831384,1317204199,0,116940068,service,permissive,False,True,65.578,,"LINESTRING (121.4017583 31.2323252, 121.401724 31.2322701, 121.4016637 31.232226, 121.4011619 31.2320616)",,,,
1130831385,1130831356,0,97673844,service,permissive,True,False,82.658,,"LINESTRING (121.4007881 31.2289339, 121.3999484 31.2287415)",,,,
1130831385,3808132048,0,377443741,footway,,False,False,35.211,,"LINESTRING (121.4007881 31.2289339, 121.400864 31.2289626, 121.4009847 31.2290388, 121.4011134 31.2290797)",,,,
1130836040,1288541877,0,97674418,service,permissive,False,True,108.669,,"LINESTRING (121.3985177 31.2328252, 121.3986219 31.2325016, 121.3988258 31.2318841)",,,,
1130836054,1317204423,0,375923704,service,permissive,False,False,42.282,,"LINESTRING (121.4001711 31.2275726, 121.4000569 31.2279401)",,,,
1130836054,3822940919,0,375923706,service,permissive,False,True,4.424,,"LINESTRING (121.4001711 31.2275726, 121.4002161 31.2275827)",,,,
1130836054,3824265624,0,375923706,service,permissive,False,False,93.41,,"LINESTRING (121.4001711 31.2275726, 121.3995304 31.227435, 121.3996068 31.2271677)",,,,
1130836065,1288664481,0,113664173,service,permissive,False,True,51.639,,"LINESTRING (121.4056926 31.2279888, 121.4057859 31.2275313)",,,,
1130836065,1130836110,0,97674421,service,permissive,False,False,66.339,,"LINESTRING (121.4056926 31.2279888, 121.4052984 31.2279994, 121.4049966 31.2279737)",,,,
1130836110,1288664483,0,97674421,service,permissive,False,False,100.64200000000001,,"LINESTRING (121.4049966 31.2279737, 121.404758 31.2279193, 121.4040077 31.2276549)",,,,
1130836110,1130836065,0,97674421,service,permissive,False,True,66.339,,"LINESTRING (121.4049966 31.2279737, 121.4052984 31.2279994, 121.4056926 31.2279888)",,,,
1130836110,1317216508,0,113664173,service,permissive,False,False,63.284000000000006,,"LINESTRING (121.4049966 31.2279737, 121.4051018 31.2276454, 121.4051682 31.2275476, 121.4052192 31.2274405)",,,,
1130836133,1317204423,0,375923704,service,permissive,False,True,46.227,,"LINESTRING (121.3999321 31.2283419, 121.4000569 31.2279401)",,,,
1130836133,1130831365,0,97674420,service,permissive,False,False,15.204999999999998,,"LINESTRING (121.3999321 31.2283419, 121.3999935 31.2283554, 121.4000516 31.2284213)",,,,
1130836133,3791158269,0,97674420,service,permissive,False,True,26.501,,"LINESTRING (121.3999321 31.2283419, 121.399834 31.2283172, 121.3997526 31.2283577, 121.3997311 31.2284256)",,,,
1130836138,1317204315,0,97674418,service,permissive,False,False,45.517,,"LINESTRING (121.3997991 31.2287698, 121.399677 31.2291656)",,,,
1130836138,3791158365,0,97674420,service,permissive,False,False,27.371,,"LINESTRING (121.3997991 31.2287698, 121.3997125 31.2287498, 121.3996537 31.2286701, 121.3996767 31.2285975)",,,,
1130836138,1130831356,0,97674420,service,permissive,False,True,15.379999999999999,,"LINESTRING (121.3997991 31.2287698, 121.3998577 31.2287809, 121.3999484 31.2287415)",,,,
1130836719,3842607405,0,97673842,service,permissive,False,False,13.649,,"LINESTRING (121.4013338 31.2331719, 121.4013083 31.2330511)",,,,
1130836719,3846674524,0,380971713,service,permissive,False,False,9.863,,"LINESTRING (121.4013338 31.2331719, 121.4014361 31.2331572)",,,,
1288541774,1288541837,0,113655502,service,permissive,False,False,44.39,,"LINESTRING (121.4035795 31.23065, 121.4034156 31.2310238)",,,,
1288541774,1297097747,0,113655502,service,permissive,False,True,17.151,,"LINESTRING (121.4035795 31.23065, 121.403637 31.2305038)",,,,
1288541774,1288541891,0,"[113655490, 113655508]",service,permissive,False,False,128.037,,"LINESTRING (121.4035795 31.23065, 121.4043385 31.2308922, 121.404439 31.2305329, 121.404526 31.2305823)",,,,
