element_type,osmid,building,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,fixme,nodes,amenity,cuisine,internet_access,internet_access:fee,name:en,outdoor_seating,shop,building:levels,office,fast_food,healthcare,healthcare:speciality,website
way,265030106,house,学生3号公寓,学生3号公寓,学生3号公寓,學生3號公寓,"POLYGON ((116.3493059 39.9616102, 116.3493178 39.9614495, 116.3499821 39.9614526, 116.3499663 39.9616223, 116.3493059 39.9616102))",,"[2706823981, 2706823982, 2706823983, 2706823984, 2706823981]",,,,,,,,,,,,,
way,265030107,house,学生8号公寓,学生8号公寓,学生8号公寓,學生8號公寓,"POLYGON ((116.3501695 39.9621581, 116.3501875 39.9619896, 116.3508601 39.9620108, 116.3508698 39.9621732, 116.3501695 39.9621581))",,"[2706823985, 2706823986, 2706823987, 2706823988, 2706823985]",,,,,,,,,,,,,
way,265030108,house,学生4号公寓,学生4号公寓,学生4号公寓,學生4號公寓,"POLYGON ((116.3501632 39.9616298, 116.350175 39.9614692, 116.3508512 39.9614844, 116.3508354 39.9616389, 116.3501632 39.9616298))",,"[2706823989, 2706823990, 2706823991, 2706823992, 2706823989]",,,,,,,,,,,,,
way,265030109,house,学生1号公寓,学生1号公寓,学生1号公寓,學生1號公寓,"POLYGON ((116.3493165 39.961152, 116.3493227 39.9610143, 116.3495528 39.9610204, 116.3495541 39.960991, 116.3498027 39.9609975, 116.3498013 39.961029, 116.3500074 39.9610344, 116.3500016 39.9611648, 116.3497922 39.9611594, 116.3497909 39.9611885, 116.3495457 39.9611822, 116.3495378 39.9611579, 116.3493165 39.961152))",,"[2706823993, 2706823994, 2706823995, 2706823996, 2706823997, 2706823998, 2706823999, 2706824000, 2706824001, 2706824002, 2706824003, 2706824004, 2706823993]",,,,,,,,,,,,,
way,265030110,house,学生2号公寓,学生2号公寓,学生2号公寓,學生2號公寓,"POLYGON ((116.3501887 39.9611582, 116.3501978 39.9610326, 116.3504249 39.9610424, 116.350427 39.9610135, 116.3506601 39.9610235, 116.350658 39.9610531, 116.3508702 39.9610622, 116.3508612 39.9611849, 116.3506467 39.9611756, 116.3506439 39.9612131, 116.3503798 39.9612017, 116.3503824 39.9611665, 116.3501887 39.9611582))",,"[2706824005, 2706824006, 2706824007, 2706824008, 2706824009, 2706824010, 2706824011, 2706824012, 2706824013, 2706824014, 2706824015, 2706824016, 2706824005]",,,,,,,,,,,,,
way,344376258,yes,宏途书店,宏途书店,宏途书店,宏途書店,"POLYGON ((116.3503833 39.9582815, 116.3507893 39.9582986, 116.3508011 39.9582004, 116.3503949 39.9581839, 116.3503833 39.9582815))",,"[3511262895, 3511262896, 3511262897, 3511262898, 3511262895]",,,,,,,books,,,,,,
way,344376259,university,,,,,"POLYGON ((116.3510287 39.9582097, 116.3508011 39.9582004, 116.3503949 39.9581839, 116.3503536 39.9581822, 116.3503993 39.9577263, 116.3510595 39.9577461, 116.3510287 39.9582097))",,"[3511262899, 3511262897, 3511262898, 3511262900, 3511262901, 3511262902, 3511262899]",,,,,,,,,,,,,
way,344376260,university,7号楼,7号楼,7号楼,7號樓,"POLYGON ((116.3504518 39.957641, 116.3509533 39.9576584, 116.3509723 39.9575303, 116.3504632 39.9575128, 116.3504518 39.957641))",,"[3511262903, 3511262904, 3511262905, 3511262906, 3511262903]",,,,,,,,,,,,,
way,344376261,university,9号楼,9号楼,9号楼,9號樓,"POLYGON ((116.35041 39.9572769, 116.3510407 39.9572944, 116.3510401 39.9571939, 116.350406 39.9571727, 116.35041 39.9572769))",,"[3511262907, 3511262908, 3511262909, 3511262910, 3511262907]",,,,,,,,,,,,,
way,344376262,university,14号楼,14号楼,14号楼,14號樓,"POLYGON ((116.3494067 39.9585993, 116.3501134 39.9586197, 116.3501134 39.9584799, 116.3494181 39.9584595, 116.3494067 39.9585993))",,"[3511262911, 3511262912, 3511262913, 3511262914, 3511262911]",,,,,,,,,,,,,
