u,v,key,osmid,highway,oneway,reversed,length,geometry,service
4017834791,1226520260,0,399047781,service,False,True,63.363,"LINESTRING (116.3493338 39.960303, 116.3493082 39.9608725)",
4017834792,8821671893,0,399047779,service,False,True,49.857,"LINESTRING (116.3531314 39.9603946, 116.3525467 39.9603808)",
4017834792,4017832019,0,399055360,service,False,False,15.501,"LINESTRING (116.3531314 39.9603946, 116.3531327 39.9602552)",
4017834792,4017840118,0,399055360,service,False,True,24.278,"LINESTRING (116.3531314 39.9603946, 116.3531262 39.9606129)",
4017834793,8973691531,0,399004972,path,False,False,5.381,"LINESTRING (116.3518393 39.9598696, 116.3519023 39.9598727)",
4017834793,4017437062,0,399004972,path,False,True,64.136,"LINESTRING (116.3518393 39.9598696, 116.3511854 39.9598486, 116.3510875 39.9598447)",
4017834793,4017834794,0,399047783,track,False,False,57.259,"LINESTRING (116.3518393 39.9598696, 116.351852 39.9594508, 116.3518606 39.959355)",
4017834794,4017824626,0,399047067,service,False,False,51.578,"LINESTRING (116.3518606 39.959355, 116.3524656 39.9593655)",
4017834794,4017840119,0,399047067,service,False,True,64.374,"LINESTRING (116.3518606 39.959355, 116.3511055 39.9593419)",
4017834794,4017834793,0,399047783,track,False,True,57.259,"LINESTRING (116.3518606 39.959355, 116.351852 39.9594508, 116.3518393 39.9598696)",
4017834796,4017837361,0,399047785,service,False,False,13.865,"LINESTRING (116.3523861 39.9632716, 116.352395 39.9631471)",
4017837361,5184436001,0,399047785,service,False,False,13.909,"LINESTRING (116.352395 39.9631471, 116.3524039 39.9630222)",
4017837361,4017834796,0,399047785,service,False,True,13.865,"LINESTRING (116.352395 39.9631471, 116.3523861 39.9632716)",
4017837361,4017837363,0,399048056,service,False,False,65.379,"LINESTRING (116.352395 39.9631471, 116.3531618 39.9631642)",
4017837362,4017924042,0,399048056,service,False,True,44.207,"LINESTRING (116.3545773 39.9631968, 116.3540595 39.9631733)",
4017837362,4017931895,0,399048058,service,False,False,43.798,"LINESTRING (116.3545773 39.9631968, 116.3546001 39.9628033)",
4017837362,4017837365,0,399048058,service,False,True,22.367,"LINESTRING (116.3545773 39.9631968, 116.3545641 39.9633977)",
4017837363,8973662960,0,399048056,service,False,False,28.383,"LINESTRING (116.3531618 39.9631642, 116.3534948 39.9631676)",
4017837363,4017837361,0,399048056,service,False,True,65.379,"LINESTRING (116.3531618 39.9631642, 116.352395 39.9631471)",
4017837363,4017837365,0,399048057,service,False,False,144.629,"LINESTRING (116.3531618 39.9631642, 116.3531506 39.9633812, 116.3545641 39.9633977)",
4017837365,4017837362,0,399048058,service,False,False,22.367,"LINESTRING (116.3545641 39.9633977, 116.3545773 39.9631968)",
4017837365,4017837366,0,399048058,service,False,True,23.335,"LINESTRING (116.3545641 39.9633977, 116.3545534 39.9636074)",
4017837365,4017837363,0,399048057,service,False,True,144.629,"LINESTRING (116.3545641 39.9633977, 116.3531506 39.9633812, 116.3531618 39.9631642)",
4017837366,4017837365,0,399048058,service,False,False,23.335,"LINESTRING (116.3545534 39.9636074, 116.3545641 39.9633977)",
4017838654,4017824625,0,399047067,service,False,False,52.502,"LINESTRING (116.3525394 39.9593668, 116.3531552 39.9593787)",
4017838654,4017824626,0,399047067,service,False,True,6.292,"LINESTRING (116.3525394 39.9593668, 116.3524656 39.9593655)",
4017838654,8821671893,0,399048291,service,False,True,112.754,"LINESTRING (116.3525394 39.9593668, 116.3525467 39.9603808)",
4017840114,8821671893,0,399047779,service,False,False,127.453,"LINESTRING (116.351052 39.9603457, 116.3525467 39.9603808)",
4017840114,8821671892,0,399047779,service,False,True,77.361,"LINESTRING (116.351052 39.9603457, 116.3501448 39.9603232)",
4017840114,1226520237,0,399048649,service,False,True,64.779,"LINESTRING (116.351052 39.9603457, 116.3510338 39.9609281)",
4017840114,4017437062,0,399048653,service,False,False,55.791,"LINESTRING (116.351052 39.9603457, 116.3510875 39.9598447)",
4017840115,1226520237,0,399048646,service,False,False,53.499,"LINESTRING (116.3510073 39.9614088, 116.3510338 39.9609281)",
4017840115,1226520295,0,399048646,service,False,True,59.163,"LINESTRING (116.3510073 39.9614088, 116.3509816 39.9619405)",
4017840115,10233501254,0,1118956059,service,False,False,5.381,"LINESTRING (116.3510073 39.9614088, 116.3510704 39.9614105)",
4017840117,8821671893,0,399048291,service,False,False,25.942,"LINESTRING (116.3525453 39.9606141, 116.3525467 39.9603808)",
4017840117,1226520273,0,399048291,service,False,True,40.678,"LINESTRING (116.3525453 39.9606141, 116.3525175 39.9609793)",
4017840117,4017840118,0,399048652,track,False,False,49.51,"LINESTRING (116.3525453 39.9606141, 116.3531262 39.9606129)",
4017840118,4017840117,0,399048652,track,False,True,49.51,"LINESTRING (116.3531262 39.9606129, 116.3525453 39.9606141)",
4017840118,4017834792,0,399055360,service,False,False,24.278,"LINESTRING (116.3531262 39.9606129, 116.3531314 39.9603946)",
