element_type,osmid,nodes,building,source,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,leisure,name,amenity,drink:tea,addr:district,addr:province,layer
way,549381331,"[5306827406, 5306827407, 5306827408, 5306827409, 5306827410, 5306827411, 5306827412, 5306827413, 5306827406]",apartments,,"POLYGON ((120.0391724 30.2337498, 120.0391726 30.2335613, 120.0397911 30.2335617, 120.0397911 30.2335268, 120.0399515 30.2335269, 120.0399514 30.2337032, 120.0398157 30.2337031, 120.0398157 30.2337503, 120.0391724 30.2337498))",,,,,,东13,,,,,
way,549381333,"[5306827418, 5306827419, 5306827420, 5306827421, 5306827418]",apartments,,"POLYGON ((120.0391763 30.2328029, 120.0391771 30.23261, 120.0397108 30.2326118, 120.03971 30.2328046, 120.0391763 30.2328029))",,,,,,东15,,,,,
way,549381334,"[5306827422, 5306827423, 5306827424, 5306827425, 5306827422]",apartments,,"POLYGON ((120.0398069 30.2332421, 120.0398069 30.2330511, 120.0402926 30.2330511, 120.0402926 30.233242, 120.0398069 30.2332421))",,,,,,东16,,,,,
way,549381335,"[5306827426, 5306827427, 5306827428, 5306827429, 5306827426]",apartments,,"POLYGON ((120.039805 30.2327967, 120.039805 30.2326213, 120.0403047 30.2326213, 120.0403047 30.2327967, 120.039805 30.2327967))",,,,,,东17,,,,,
way,549381336,"[5306827430, 5306827431, 5306827432, 5306827433, 5306827430]",apartments,,"POLYGON ((120.0404099 30.2326531, 120.0404112 30.2324659, 120.0407877 30.2324679, 120.0407863 30.232655, 120.0404099 30.2326531))",,,,,,东18,,,,,
way,549381337,"[5306827434, 5306827435, 5306827436, 5306827437, 5306827438, 5306827439, 5306827434]",dormitory,,"POLYGON ((120.0376218 30.2309552, 120.0377067 30.2308069, 120.0378754 30.230879, 120.0383968 30.2308813, 120.0383959 30.2310374, 120.037808 30.2310347, 120.0376218 30.2309552))",,,,,,东12,,,,,
way,563997413,"[5434660293, 5434660294, 5434660295, 5434660296, 5434660297, 5434660298, 5434660293]",dormitory,,"POLYGON ((120.0364942 30.230808, 120.0364897 30.2306294, 120.0368872 30.2306219, 120.0371712 30.2307791, 120.0370639 30.2309238, 120.0368429 30.2308014, 120.0364942 30.230808))",,,,,,西13,,,,,
way,563997414,"[5434660299, 5434660300, 5434660301, 5434660302, 5434660303, 5434660304, 5434660299]",dormitory,,"POLYGON ((120.0364605 30.2311635, 120.0364577 30.2309985, 120.0367148 30.2309953, 120.0369239 30.2311175, 120.0368171 30.2312539, 120.0366582 30.231161, 120.0364605 30.2311635))",,,,,,西14,,,,,
way,563997415,"[5434660305, 5434660306, 5434660307, 5434660308, 5434660305]",dormitory,,"POLYGON ((120.0358018 30.2300407, 120.0358016 30.2298862, 120.0363139 30.2298857, 120.0363141 30.2300401, 120.0358018 30.2300407))",,,,,,西10,,,,,
way,563997416,"[5434660309, 5434660310, 5434660311, 5434660312, 5434660309]",dormitory,,"POLYGON ((120.0350426 30.2304161, 120.03504 30.2302537, 120.0356631 30.230246, 120.0356658 30.2304085, 120.0350426 30.2304161))",,,,,,西6,,,,,
way,563997417,"[5434660313, 5434660314, 5434660315, 5434660316, 5434660313]",dormitory,,"POLYGON ((120.0363987 30.2300244, 120.0363987 30.2298569, 120.0370083 30.229857, 120.0370083 30.2300243, 120.0363987 30.2300244))",,,,,,西15,,,,,
