u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
10238296586,2641708696,0,513378601,service,False,False,84.454,"LINESTRING (116.3116377 39.9673023, 116.3126113 39.967444)",友谊路,,
10238296586,2641708701,0,513378601,service,False,True,70.889,"LINESTRING (116.3116377 39.9673023, 116.3108205 39.9671833)",友谊路,,
10238296586,10238296587,0,1119418891,service,False,False,62.495,"LINESTRING (116.3116377 39.9673023, 116.311558 39.967861)",,,
10238296587,10238296585,0,1119418888,service,False,False,79.242,"LINESTRING (116.311558 39.967861, 116.3124801 39.9679528)",春华路,,
10238296587,1932225263,0,1119418888,service,False,True,32.45,"LINESTRING (116.311558 39.967861, 116.3111804 39.9678234)",春华路,,
10238296587,10238296586,0,1119418891,service,False,True,62.495,"LINESTRING (116.311558 39.967861, 116.3116377 39.9673023)",,,
10238296588,5100333275,0,280166010,residential,False,False,48.799,"LINESTRING (116.3093237 39.9684223, 116.3087535 39.968382)",吴玉章路,,
10238296588,2843205543,0,280166010,residential,False,True,29.996,"LINESTRING (116.3093237 39.9684223, 116.3096742 39.968447)",吴玉章路,,
10238296588,10238296589,0,1119418892,service,False,False,96.775,"LINESTRING (116.3093237 39.9684223, 116.3092174 39.9692888)",,,
10238296589,5017699844,0,182857678,residential,False,False,37.112,"LINESTRING (116.3092174 39.9692888, 116.3096514 39.9693164)",明志路,,
10238296589,5101645684,0,182857678,residential,False,True,220.424,"LINESTRING (116.3092174 39.9692888, 116.3066397 39.9691248)",明志路,,
10238296589,10238296588,0,1119418892,service,False,True,96.775,"LINESTRING (116.3092174 39.9692888, 116.3093237 39.9684223)",,,
