u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
542890226,4013000093,0,"[1006629902, 435102503]",Compton Court,service,,,False,True,12.545000000000002,,"LINESTRING (-71.0912816 42.3614212, -71.0913189 42.3614927, -71.0913384 42.3615259)",,,"['private', 'permissive']",,
542890226,542890219,0,"[863566851, 1011548290, 1011548291]",,service,,,False,True,54.744,,"LINESTRING (-71.0912816 42.3614212, -71.0914437 42.361368, -71.0914779 42.3613562, -71.0915009 42.3613482, -71.0916434 42.3613002, -71.0917308 42.3611121)",,,"['permit', 'private']",,
542892906,61333464,0,43250216,North Corridor,pedestrian,,,False,False,12.492,,"LINESTRING (-71.0933837 42.3599816, -71.0932453 42.3600281)",,,permissive,,
542892906,542892907,0,43250219,,service,,,False,False,49.974000000000004,,"LINESTRING (-71.0933837 42.3599816, -71.0933561 42.3599364, -71.093134 42.3595718)",,,,,
542892906,5674284656,0,"[1066204729, 1249525602]",North Corridor,pedestrian,,,False,False,22.187999999999995,,"LINESTRING (-71.0933837 42.3599816, -71.093569 42.3599174, -71.093581 42.3599133, -71.0936284 42.3598972)",,,permissive,,
542892907,4329906121,0,435052273,,service,,,False,True,34.614,,"LINESTRING (-71.093134 42.3595718, -71.0927476 42.3596958)",,,,,
542892907,542892913,0,"[172054331, 43250219, 172054332]",,service,,,False,False,124.97800000000001,,"LINESTRING (-71.093134 42.3595718, -71.0928944 42.3593718, -71.0927988 42.3592159, -71.0927894 42.3591681, -71.0928088 42.3591348, -71.0928327 42.359106, -71.0925171 42.3585888)",,,private,,yes
542892907,542892906,0,43250219,,service,,,False,True,49.974000000000004,,"LINESTRING (-71.093134 42.3595718, -71.0933561 42.3599364, -71.0933837 42.3599816)",,,,,
542892913,542892907,0,"[43250219, 172054331, 172054332]",,service,,,False,True,124.97800000000001,,"LINESTRING (-71.0925171 42.3585888, -71.0928327 42.359106, -71.0928088 42.3591348, -71.0927894 42.3591681, -71.0927988 42.3592159, -71.0928944 42.3593718, -71.093134 42.3595718)",,,private,,yes
542897019,4328995185,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,True,2.165,2,"LINESTRING (-71.0882092 42.3609385, -71.0882006 42.3609201)",,,,,
542897019,4328995179,0,434970304,,service,,,False,False,6.328,,"LINESTRING (-71.0882092 42.3609385, -71.0882794 42.3609151)",,,private,,
542897019,2292050356,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,False,14.921,2,"LINESTRING (-71.0882092 42.3609385, -71.0882434 42.3609917, -71.0882851 42.3610604)",,,,,
542902769,5562638423,0,43250932,,footway,,,False,True,77.385,,"LINESTRING (-71.0870499 42.3611465, -71.0870757 42.3609547, -71.0868314 42.3605419, -71.0868027 42.3604937)",,,,,
542902769,5562633692,0,"[581339786, 43250940]",,"['steps', 'footway']",,,False,False,32.018,,"LINESTRING (-71.0870499 42.3611465, -71.0873722 42.3610402, -71.0874059 42.3610294)",,,,,
