element_type,osmid,nodes,amenity,building,cuisine,name,geometry,name:en,leisure,int_name,building:levels,shop,ways,type
way,891002844,"[8281285340, 8281285893, 8281285438, 8281285990, 8281285340]",,residential,,,"POLYGON ((117.1586723 39.1061082, 117.1586255 39.1061072, 117.1586247 39.1061313, 117.1586714 39.1061324, 117.1586723 39.1061082))",,,,,,,
way,891002845,"[8281285645, 8281285191, 8281285133, 8281285688, 8281285787, 8281285176, 8281241295, 8281285645]",,residential,,,"POLYGON ((117.1595726 39.1064076, 117.1595747 39.1064318, 117.159549 39.1064329, 117.1595509 39.1064633, 117.1601112 39.1064446, 117.1601101 39.1064238, 117.1601082 39.1063902, 117.1595726 39.1064076))",,,,,,,
way,891002846,"[8281285293, 8281285449, 8281286001, 8281285547, 8281241293, 8281286022, 8281285569, 8281241315, 8281285293]",,residential,,,"POLYGON ((117.1587687 39.1069692, 117.1589959 39.1069688, 117.1589956 39.1068401, 117.158343 39.1068413, 117.1583433 39.1069694, 117.1586407 39.1069689, 117.1586408 39.1069947, 117.1587688 39.1069945, 117.1587687 39.1069692))",,,,,,,
way,891002847,"[8281285484, 8281286005, 8281285551, 8281241296, 8281285484]",,residential,,,"POLYGON ((117.1570588 39.1053785, 117.1570126 39.1053791, 117.1570129 39.1053969, 117.1570592 39.1053963, 117.1570588 39.1053785))",,,,,,,
way,891002848,"[8281285589, 8281285135, 8281285690, 8281285846, 8281285589]",,residential,,,"POLYGON ((117.1580721 39.1068146, 117.1579812 39.1068152, 117.1579816 39.1068475, 117.1580724 39.1068469, 117.1580721 39.1068146))",,,,,,,
way,891002849,"[8281285504, 8281241250, 8281285209, 8281285762, 8281285504]",,residential,,,"POLYGON ((117.1580471 39.105955, 117.1580061 39.1059548, 117.1580058 39.1059845, 117.1580468 39.1059847, 117.1580471 39.105955))",,,,,,,
way,891002850,"[8281285717, 8281285874, 8281285419, 8281285971, 8281285717]",,residential,,,"POLYGON ((117.1581112 39.1064517, 117.1581111 39.1064238, 117.1582368 39.1064236, 117.1582369 39.1064516, 117.1581112 39.1064517))",,,,,,,
way,891002851,"[8281285760, 8281285306, 8281285859, 8281285405, 8281285560, 8281241305, 8281285660, 8281285206, 8281285760]",,residential,,,"POLYGON ((117.1601211 39.10549, 117.1601208 39.1054688, 117.1599457 39.1054701, 117.1599459 39.10549, 117.1599468 39.1055631, 117.1600589 39.1055623, 117.1600592 39.1055823, 117.1601221 39.1055818, 117.1601211 39.10549))",,,,,,,
way,891002852,"[8281285288, 8281285444, 8281285996, 8281285541, 8281285288]",,residential,,,"POLYGON ((117.1579656 39.1053077, 117.157905 39.1053077, 117.157905 39.105335, 117.1579656 39.105335, 117.1579656 39.1053077))",,,,,,,
way,891002853,"[8281285172, 8281285727, 8281285273, 8281285429, 8281285172]",,residential,,,"POLYGON ((117.158987 39.1070916, 117.158988 39.1072043, 117.159392 39.107202, 117.159391 39.1070894, 117.158987 39.1070916))",,,,,,,
