element_type,osmid,nodes,building,geometry,name,amenity,name:en,building:levels,information,tourism
way,459839526,"[4555740374, 4555740375, 4555740376, 4555740377, 4555740374]",yes,"POLYGON ((118.0934705 24.4430263, 118.0941523 24.4427478, 118.0942433 24.4429072, 118.0935475 24.4431857, 118.0934705 24.4430263))",国光第二,,,2,,
way,459839527,"[4555740378, 4555740379, 4555740380, 4555740381, 4555740378]",yes,"POLYGON ((118.0932462 24.4425354, 118.0939151 24.4422648, 118.0940036 24.4424226, 118.0933347 24.442703, 118.0932462 24.4425354))",国光第一,,,2,,
way,560033570,"[5400816200, 5400816201, 5400816202, 5400816203, 5400816204, 5400816205, 5400816206, 5400816207, 5400816208, 5400816209, 5400816210, 5400816211, 5400816212, 5400816213, 5400816214, 5400816215, 5400816200]",school,"POLYGON ((118.0906666 24.4364741, 118.0908204 24.4362642, 118.090941 24.4363375, 118.0909179 24.4363691, 118.09103 24.4364372, 118.0910613 24.4363944, 118.0911652 24.4364575, 118.0911317 24.4365033, 118.0912558 24.4365787, 118.0912811 24.4365443, 118.0913976 24.4366151, 118.0912324 24.4368405, 118.0911157 24.4367695, 118.0911494 24.4367235, 118.0908069 24.4365154, 118.0907846 24.4365458, 118.0906666 24.4364741))",,,,,,
way,560033571,"[5400816216, 5400816217, 5400816218, 5400816219, 5400816216]",school,"POLYGON ((118.0905699 24.4364394, 118.0906955 24.4362495, 118.0907698 24.4362902, 118.0906442 24.4364802, 118.0905699 24.4364394))",,,,,,
way,560033572,"[5400816220, 5400816721, 5400816722, 5400816723, 5400816724, 5400816725, 5400816726, 5400816727, 5400816728, 5400816729, 5400816730, 5400816731, 5400816732, 5400816733, 5400816734, 5400816735, 5400816220]",school,"POLYGON ((118.0915592 24.4369955, 118.0916216 24.4367569, 118.0917214 24.4367785, 118.091711 24.4368184, 118.0918929 24.4368578, 118.0919062 24.4368071, 118.0920193 24.4368316, 118.0920093 24.4368699, 118.0921849 24.436908, 118.0921947 24.4368705, 118.0923072 24.4368949, 118.0922433 24.4371394, 118.0921373 24.4371164, 118.0921456 24.4370845, 118.0916707 24.4369816, 118.0916612 24.4370176, 118.0915592 24.4369955))",,,,,,
way,560033573,"[5400816736, 5400816737, 5400816738, 5400816739, 5400816740, 5400816754, 5400816741, 5400816755, 5400816742, 5400816743, 5400816744, 5400816745, 5400816746, 5400816747, 5400816748, 5400816749, 5400816750, 5400816751, 5400816752, 5400816753, 5400816736]",school,"POLYGON ((118.0927038 24.4373526, 118.0926838 24.4372612, 118.0927158 24.4372554, 118.0926504 24.4369563, 118.092602 24.4369651, 118.0925765 24.4368486, 118.092627 24.4368394, 118.0926187 24.4368015, 118.0930187 24.436729, 118.093027 24.4367668, 118.0930771 24.4367577, 118.0930977 24.4368519, 118.0930602 24.4368587, 118.0931308 24.4371819, 118.0931552 24.4371775, 118.0931738 24.4372627, 118.0930001 24.4372942, 118.0930128 24.4373525, 118.092887 24.4373753, 118.0928753 24.4373216, 118.0927038 24.4373526))",,,,,,
way,560033574,"[5400816756, 5400816757, 5400816758, 5400816759, 5400816760, 5400816761, 5400816762, 5400816763, 5400816764, 5400816765, 5400816766, 5400816767, 5400816768, 5400816769, 5400816770, 5400816771, 5400816756]",school,"POLYGON ((118.0934657 24.4369728, 118.0933844 24.4367235, 118.093494 24.4366938, 118.0935052 24.4367281, 118.0936816 24.4366804, 118.0936673 24.4366367, 118.093783 24.4366054, 118.0937972 24.4366488, 118.0939706 24.4366019, 118.0939598 24.4365687, 118.0940552 24.4365429, 118.0941283 24.4367669, 118.094042 24.4367902, 118.0940343 24.4367666, 118.0935617 24.4368944, 118.0935774 24.4369426, 118.0934657 24.4369728))",,,,,,
way,560033575,"[5400816772, 5400816773, 5400816774, 5400816775, 5400816776, 5400816777, 5400816778, 5400816779, 5400816772]",school,"POLYGON ((118.0949424 24.4358824, 118.0949516 24.4358024, 118.0950764 24.4358143, 118.0950735 24.4358393, 118.0951747 24.435849, 118.0951651 24.4359326, 118.0950742 24.4359238, 118.0950775 24.4358953, 118.0949424 24.4358824))",,,,,,
way,560033576,"[5400816780, 5400816781, 5400816782, 5400816783, 5400816780]",school,"POLYGON ((118.0952412 24.4359985, 118.0952581 24.4359114, 118.0954835 24.4359477, 118.0954665 24.4360349, 118.0952412 24.4359985))",,,,,,
way,560033577,"[5400816784, 5400816785, 5400816786, 5400816787, 5400816784]",school,"POLYGON ((118.0954927 24.4358836, 118.0955074 24.4358079, 118.0957101 24.4358406, 118.0956954 24.4359163, 118.0954927 24.4358836))",,,,,,
way,560033578,"[5400816788, 5400816789, 5400816790, 5400816791, 5400816792, 5400816793, 5400816794, 5400816795, 5400816788]",school,"POLYGON ((118.0957241 24.4360125, 118.095739 24.4359402, 118.0958382 24.4359571, 118.0958341 24.4359768, 118.0959505 24.4359966, 118.0959352 24.4360709, 118.0958241 24.436052, 118.0958285 24.4360303, 118.0957241 24.4360125))",,,,,,
way,560033579,"[5400816796, 5400816797, 5400816798, 5400816799, 5400816800, 5400816801, 5400816802, 5400816803, 5400816796]",school,"POLYGON ((118.09593 24.4358077, 118.0959413 24.4357342, 118.0960426 24.4357471, 118.0960379 24.4357775, 118.0961527 24.4357921, 118.0961415 24.4358647, 118.0960447 24.4358524, 118.0960492 24.4358229, 118.09593 24.4358077))",,,,,,
way,560033580,"[5400816804, 5400816805, 5400816806, 5400816807, 5400816804]",school,"POLYGON ((118.0961314 24.4360055, 118.0961451 24.4359253, 118.0963506 24.4359544, 118.0963369 24.4360347, 118.0961314 24.4360055))",,,,,,
way,560033581,"[5400816808, 5400816809, 5400816810, 5400816811, 5400816812, 5400816813, 5400816814, 5400816815, 5400816808]",school,"POLYGON ((118.0963983 24.4360685, 118.0964064 24.4359951, 118.0965224 24.4360058, 118.0965186 24.4360402, 118.0966199 24.4360496, 118.0966113 24.4361269, 118.09652 24.4361185, 118.0965243 24.4360801, 118.0963983 24.4360685))",,,,,,
way,560033582,"[5400816816, 5400816817, 5400816818, 5400816819, 5400816816]",school,"POLYGON ((118.096391 24.4358473, 118.0964035 24.4357572, 118.0966114 24.435781, 118.096599 24.4358711, 118.096391 24.4358473))",,,,,,
way,560033583,"[5400816820, 5400816821, 5400816822, 5400816823, 5400816824, 5400816825, 5400816826, 5400816827, 5400816820]",school,"POLYGON ((118.0966348 24.4359791, 118.0966429 24.4358978, 118.0967546 24.4359071, 118.0967509 24.4359435, 118.096849 24.4359516, 118.0968413 24.4360287, 118.0967433 24.4360206, 118.0967465 24.4359884, 118.0966348 24.4359791))",,,,,,
way,560033584,"[5400816828, 5400816829, 5400816830, 5400816831, 5400816832, 5400816833, 5400816834, 5400816835, 5400816828]",school,"POLYGON ((118.0968458 24.4358279, 118.0968512 24.4357544, 118.0969554 24.4357607, 118.096954 24.4357796, 118.0970547 24.4357857, 118.0970478 24.4358798, 118.0969572 24.4358743, 118.0969601 24.4358348, 118.0968458 24.4358279))",,,,,,
way,560033585,"[5400816836, 5400816837, 5400816838, 5400816839, 5400816836]",school,"POLYGON ((118.0968083 24.4361554, 118.096822 24.4360715, 118.0970234 24.4360988, 118.0970097 24.4361827, 118.0968083 24.4361554))",,,,,,
way,560033586,"[5400816840, 5400816841, 5400816842, 5400816843, 5400816844, 5400816845, 5400816846, 5400816847, 5400816840]",school,"POLYGON ((118.0964161 24.4363956, 118.0964314 24.4362829, 118.0969712 24.4363437, 118.0969566 24.4364514, 118.0968796 24.4364428, 118.0968833 24.4364159, 118.0965096 24.4363739, 118.0965053 24.4364056, 118.0964161 24.4363956))",,,,,,
way,560033587,"[5400816848, 5400816849, 5400816850, 5400816851, 5400816848]",school,"POLYGON ((118.0972179 24.4365196, 118.0971935 24.4364294, 118.0973423 24.4363961, 118.0973667 24.4364863, 118.0972179 24.4365196))",,,,,,
way,560033588,"[5400816852, 5400816853, 5400816854, 5400816855, 5400816852]",school,"POLYGON ((118.0974006 24.4364209, 118.0973862 24.4363327, 118.0975424 24.4363116, 118.0975568 24.4363997, 118.0974006 24.4364209))",,,,,,
