u,v,key,osmid,highway,access,oneway,reversed,length,name,geometry,bridge,tunnel,maxspeed,service,width
380419121,982326360,0,84533375,service,permissive,False,True,95.95,,"LINESTRING (116.3125271 40.0010802, 116.3125321 40.001108, 116.3125432 40.0011863, 116.3125463 40.0012627, 116.3124969 40.001812, 116.312489 40.0019409)",,,,,
380419121,380419322,0,1150469991,footway,,False,False,97.459,,"LINESTRING (116.3125271 40.0010802, 116.3121376 40.0010594, 116.3121766 40.0004828)",,,,,
380419123,982326360,0,83800920,unclassified,permissive,False,True,12.461,近春路,"LINESTRING (116.3124938 40.0020529, 116.312489 40.0019409)",,,,,
380419123,380421561,0,1061965370,unclassified,permissive,False,False,21.256,近春路,"LINESTRING (116.3124938 40.0020529, 116.3124785 40.0022437)",yes,,,,
380419123,380419321,0,33431812,cycleway,,False,True,245.91400000000002,,"LINESTRING (116.3124938 40.0020529, 116.3119141 40.002008, 116.3117254 40.0019626, 116.3116389 40.0019205, 116.3115742 40.001834, 116.3115331 40.0017614, 116.3115154 40.0016968, 116.3115513 40.0009752, 116.3115369 40.0008601, 116.3114918 40.0007499, 116.3114402 40.0006328, 116.311406 40.0005116, 116.3114315 40.0004242)",,,,,
380419123,937447910,0,83689619,service,permissive,False,True,92.83099999999999,,"LINESTRING (116.3124938 40.0020529, 116.3129643 40.0021144, 116.3132937 40.0021799, 116.3135627 40.002212)",,,,,
380419127,980072998,0,1010697355,unclassified,permissive,False,True,61.782,至善路,"LINESTRING (116.3122763 40.0043962, 116.3129998 40.0044359)",,,,,
380419127,2354338467,0,1061965371,unclassified,permissive,False,True,102.759,近春路,"LINESTRING (116.3122763 40.0043962, 116.3123563 40.0034741)",,,,,
380419127,9761409611,0,1070554924,service,permissive,False,False,10.426,,"LINESTRING (116.3122763 40.0043962, 116.3121541 40.0043908)",,,,,
380419142,380419121,0,83800920,unclassified,permissive,False,True,5.603,近春路,"LINESTRING (116.3125748 40.0011149, 116.3125271 40.0010802)",,,,,
380419142,380738748,0,33431799,cycleway,permissive,False,False,59.913,,"LINESTRING (116.3125748 40.0011149, 116.3126467 40.0011275, 116.31301 40.0013037, 116.3131913 40.0013677)",,,,,
380419142,982326359,0,83800920,unclassified,permissive,False,False,80.24,近春路,"LINESTRING (116.3125748 40.0011149, 116.3127109 40.0012867, 116.3126699 40.0018064)",,,,,
380419150,380419872,0,33431830,service,permissive,False,True,56.256,,"LINESTRING (116.3147588 40.0012955, 116.3154192 40.0013013)",,,,,
380419150,4419168293,0,33431799,cycleway,permissive,False,True,91.762,,"LINESTRING (116.3147588 40.0012955, 116.3146729 40.0013284, 116.3144798 40.0013859, 116.3142963 40.0014206, 116.3139873 40.0014535, 116.3137147 40.0014662)",,,,,
380419150,980105856,0,84274082,service,permissive,False,True,71.702,,"LINESTRING (116.3147588 40.0012955, 116.3146997 40.0014126, 116.3146648 40.0019312)",,,,,
380419150,980076559,0,84274102,footway,,False,True,123.08999999999999,,"LINESTRING (116.3147588 40.0012955, 116.3148124 40.0010818, 116.31491 40.0007916, 116.3149411 40.0002024)",,,,,
380419175,9751767112,0,33431801,unclassified,permissive,False,False,11.47,熙春路,"LINESTRING (116.3152404 40.0023542, 116.3153665 40.0023904)",,,,,
380419175,9735152968,0,33431801,unclassified,permissive,False,True,40.655,熙春路,"LINESTRING (116.3152404 40.0023542, 116.3153036 40.0019918)",,,,,
380419175,937447908,0,83689619,service,permissive,False,False,97.176,,"LINESTRING (116.3152404 40.0023542, 116.3146271 40.0022497, 116.3143777 40.0022063, 116.3141213 40.0021951)",,,,,
380419281,380418838,0,22799951,unclassified,permissive,False,True,96.699,清华路,"LINESTRING (116.3116547 39.9985484, 116.3127872 39.9986084)",,,,,
380419281,10702142578,0,33431812,cycleway,,False,False,7.76,,"LINESTRING (116.3116547 39.9985484, 116.3116464 39.9986179)",,,,,
380419281,380418504,0,"[1011412213, 1011412214, 22799951]",unclassified,permissive,False,False,34.5,清华路,"LINESTRING (116.3116547 39.9985484, 116.311599 39.9985523, 116.3115925 39.998552, 116.3113321 39.9985407, 116.3112505 39.9985445)",yes,,,,
380419321,9733798051,0,33431812,cycleway,,False,True,182.167,,"LINESTRING (116.3114315 40.0004242, 116.3116256 39.9987927)",,,,,
380419321,9733798066,0,863690581,cycleway,,False,False,38.61,,"LINESTRING (116.3114315 40.0004242, 116.3118824 40.0004597)",,,,,
380419321,380418800,0,863690582,cycleway,,False,True,21.693,,"LINESTRING (116.3114315 40.0004242, 116.3111785 40.0004019)",yes,,,,
380419321,380419123,0,33431812,cycleway,,False,False,245.91400000000004,,"LINESTRING (116.3114315 40.0004242, 116.311406 40.0005116, 116.3114402 40.0006328, 116.3114918 40.0007499, 116.3115369 40.0008601, 116.3115513 40.0009752, 116.3115154 40.0016968, 116.3115331 40.0017614, 116.3115742 40.001834, 116.3116389 40.0019205, 116.3117254 40.0019626, 116.3119141 40.002008, 116.3124938 40.0020529)",,,,,
380419322,380419120,0,226681985,cycleway,,False,True,22.277,,"LINESTRING (116.3121766 40.0004828, 116.3124274 40.0005396)",,,,,
380419322,9733798066,0,863690581,cycleway,,False,True,25.191,,"LINESTRING (116.3121766 40.0004828, 116.3118824 40.0004597)",,,,,
380419322,380419121,0,1150469991,footway,,False,True,97.459,,"LINESTRING (116.3121766 40.0004828, 116.3121376 40.0010594, 116.3125271 40.0010802)",,,,,
