element_type,osmid,amenity,geometry,building,name,nodes,building:material,air_conditioning,website,fast_food,name_1,leisure,building:levels
way,158662297,library,"POLYGON ((114.3516595 30.6072008, 114.3517453 30.6068107, 114.3517921 30.6068206, 114.3518151 30.6067438, 114.3523059 30.6068015, 114.3522872 30.606873, 114.3525473 30.6069123, 114.3525351 30.6069799, 114.3527431 30.6070069, 114.3526665 30.6073631, 114.3516595 30.6072008))",school,武汉理工大学余家头校区图书馆,"[1708177518, 1708177510, 1708177511, 1708177513, 1708177517, 1708177516, 1708177509, 1708177512, 1708177514, 1708177515, 1708177518]",,yes,http://lib.whut.edu.cn/,,,,
way,158663162,,"POLYGON ((114.3531652 30.6080636, 114.3531908 30.607894, 114.3536094 30.6079588, 114.3535763 30.6081246, 114.3531652 30.6080636))",yes,三食堂,"[1708184182, 1708184180, 1708184181, 1708184183, 1708184182]",,,,,,,
way,158663289,,"POLYGON ((114.3530927 30.6076845, 114.3531522 30.6073796, 114.353338 30.6074035, 114.3535567 30.6075829, 114.3535252 30.6077418, 114.3530927 30.6076845))",yes,六、七食堂,"[1708185367, 1708185360, 1708185364, 1708185366, 1708185362, 1708185367]",,,,,,,
way,158663705,restaurant,"POLYGON ((114.3506948 30.6070473, 114.3509362 30.6070866, 114.3509293 30.607145, 114.3511078 30.6071674, 114.3509818 30.6076776, 114.3507967 30.6076498, 114.3508033 30.6076182, 114.3505699 30.6075767, 114.3506948 30.6070473))",yes,学生一食堂,"[1708188676, 1708188675, 1708188673, 1708188677, 1708188679, 1708188678, 1708188672, 1708188674, 1708188676]",,,,cafeteria,,,
way,158669493,,"POLYGON ((114.3506805 30.6113743, 114.3509225 30.6114152, 114.3509335 30.6113671, 114.3518124 30.6115158, 114.3518002 30.6115691, 114.3520086 30.6116044, 114.3520313 30.6115053, 114.352143 30.6115242, 114.352126 30.6115986, 114.3521945 30.6116102, 114.3521604 30.611759, 114.352076 30.6117447, 114.3520654 30.6117909, 114.3517359 30.6117349, 114.3517449 30.6116958, 114.35088 30.6115486, 114.3508682 30.6116003, 114.3505929 30.6115534, 114.3506018 30.6115144, 114.3504675 30.6114916, 114.3504941 30.6113759, 114.350536 30.6113722, 114.3505581 30.6112752, 114.3506977 30.6112988, 114.3506805 30.6113743))",school,主楼,"[1708258804, 1708258826, 1708258782, 1708258798, 1708258802, 1708258824, 1708258806, 1708258828, 1708258831, 1708258786, 1708258778, 1708258784, 1708258830, 1708258848, 1708258788, 1708258790, 1708258835, 1708258792, 1708258795, 1708258854, 1708258839, 1708258842, 1708258833, 1708258794, 1708258804]",,,,,,,
way,158670063,,"POLYGON ((114.3555646 30.6090612, 114.3559362 30.6093216, 114.3560498 30.6094025, 114.3561544 30.609476, 114.3561189 30.6095188, 114.3563926 30.6097067, 114.3563545 30.6097515, 114.356381 30.6097801, 114.3563104 30.6098623, 114.3559379 30.6096075, 114.3558344 30.6097173, 114.3562062 30.6099678, 114.3560973 30.6100881, 114.3557691 30.6098625, 114.3557393 30.6098865, 114.355464 30.6096986, 114.3555654 30.60959, 114.3557059 30.6096886, 114.3559019 30.6094811, 114.3554649 30.6091809, 114.3555646 30.6090612))",apartments,海虹四、五栋,"[1708268658, 1708268665, 1708268605, 1708268652, 1708268614, 1708268655, 1708268608, 1708268612, 1708268611, 1708268649, 1708268643, 1708268681, 1708268639, 1708268637, 1708268621, 1708268683, 1708268661, 1708268640, 1708268603, 1708268646, 1708268658]",,,,,,,
way,158670145,,"POLYGON ((114.3554425 30.6100576, 114.3555741 30.6099193, 114.3559747 30.6101893, 114.3558716 30.610307, 114.3556811 30.6101782, 114.355576 30.6103028, 114.3557193 30.6104042, 114.3556002 30.6105484, 114.3554894 30.6104714, 114.3554469 30.6104419, 114.355264 30.6103148, 114.3553812 30.6101871, 114.355486 30.6102527, 114.3555792 30.6101544, 114.3554425 30.6100576))",apartments,海虹二、三栋,"[1708273394, 1708273448, 1708273430, 1708273392, 1708273452, 1708273389, 1708273435, 1708273455, 3816543333, 3816543332, 1708273445, 1708273439, 1708273442, 1708273387, 1708273394]",,,,,,,
way,158670225,,"POLYGON ((114.3552269 30.6109551, 114.3555007 30.6106933, 114.3554455 30.6106465, 114.3554759 30.6106139, 114.3553992 30.6105628, 114.3553608 30.6105372, 114.3553165 30.6105076, 114.3552001 30.6106207, 114.3552538 30.6106609, 114.3551408 30.610774, 114.3551947 30.6108122, 114.3551315 30.6108845, 114.3552269 30.6109551))",apartments,海虹公寓一栋,"[1708277137, 1708277172, 1708277139, 1708277158, 3816543334, 3816543331, 1708277143, 1708277140, 1708277164, 1708277161, 1708277170, 1708277167, 1708277137]",,,,,,,
way,158670841,,"POLYGON ((114.3496033 30.6112804, 114.3496379 30.6111248, 114.350061 30.6111944, 114.3500264 30.6113466, 114.3496033 30.6112804))",yes,第三教学楼,"[1708291396, 1708291398, 1708291391, 1708291394, 1708291396]",,,,,,,
way,158671112,,"POLYGON ((114.349437 30.6115765, 114.3495282 30.6114842, 114.349614 30.6115396, 114.3501182 30.6116273, 114.350188 30.6113688, 114.350119 30.6113542, 114.3501612 30.6112072, 114.3503006 30.6112303, 114.3502738 30.6113595, 114.3503347 30.6113678, 114.3503154 30.6114777, 114.350247 30.6114657, 114.3501826 30.6117935, 114.3495764 30.6117104, 114.349437 30.6115765))",yes,西配楼,"[1708296276, 1708296272, 1708296269, 1708296334, 1708296332, 1708296303, 1708296330, 1708296322, 1708296352, 1708296354, 1708296306, 1708296335, 1708296328, 1708296325, 1708296276]",,,,,,,
way,158671113,,"POLYGON ((114.352205 30.6121213, 114.3523345 30.6115255, 114.3530364 30.6116181, 114.3529624 30.6119314, 114.3528487 30.6119136, 114.3528712 30.6118159, 114.3524356 30.6117566, 114.3523874 30.611969, 114.3529222 30.6120551, 114.3528932 30.6122273, 114.352205 30.6121213))",school,东配楼,"[1708296315, 1708296300, 1708296279, 1708296319, 1708296309, 1708296312, 1708296327, 1708296297, 1708296265, 1708296274, 1708296315]",,,,,东配楼,,
way,158671326,,"POLYGON ((114.3490815 30.6103706, 114.3497831 30.610459, 114.3497207 30.6108258, 114.3490191 30.6107374, 114.3490815 30.6103706))",yes,武汉理工大学体能训练中心,"[1708300957, 1708300958, 1708300963, 1708300960, 1708300957]",,,,,,sports_centre,
way,158671401,,"POLYGON ((114.3506464 30.6107108, 114.3506735 30.6105826, 114.3513018 30.6106809, 114.3512747 30.6108091, 114.3506464 30.6107108))",yes,行政楼,"[1708302112, 1708302117, 1708302115, 1708302114, 1708302112]",,,,,,,
way,158671562,,"POLYGON ((114.3510408 30.6063063, 114.3510783 30.6061655, 114.351309 30.6062001, 114.3513155 30.6061523, 114.3510956 30.6060023, 114.3512044 30.6058907, 114.3514297 30.606057, 114.3513626 30.6063455, 114.3510408 30.6063063))",yes,,"[1708304883, 1708304897, 1708304895, 1708304886, 1708304914, 1708304911, 1708304898, 1708304891, 1708304883]",,,,,,,
way,158671772,,"POLYGON ((114.350558 30.6057014, 114.3510259 30.6057876, 114.3510715 30.6057991, 114.3511278 30.6058499, 114.351022 30.6059485, 114.3509817 30.6059185, 114.3505188 30.6058393, 114.350558 30.6057014))",yes,,"[1708307189, 1708307195, 1708307184, 1708307182, 1708307191, 1708307198, 1708307200, 1708307189]",,,,,,,
way,158672542,,"POLYGON ((114.3535449 30.6097638, 114.3535917 30.6095948, 114.3551727 30.609919, 114.3551259 30.6100881, 114.3535449 30.6097638))",yes,室内船池,"[1708313422, 1708313423, 1708313425, 1708313418, 1708313422]",,,,,,,
way,158672759,,"POLYGON ((114.3544301 30.6090215, 114.3544611 30.6088761, 114.3553745 30.6090205, 114.3553435 30.6091658, 114.3544301 30.6090215))",apartments,海虹六栋,"[1708314020, 1708314021, 1708314019, 1708314018, 1708314020]",,,,,,,
way,158672903,,"POLYGON ((114.3545304 30.6087441, 114.3546174 30.6083408, 114.3547998 30.6083708, 114.3547584 30.6085709, 114.3551768 30.6086402, 114.3551646 30.6087078, 114.3552975 30.6087279, 114.355283 30.6087924, 114.355268 30.6088595, 114.3545304 30.6087441))",apartments,海虹七栋,"[1708314426, 1708314428, 1708314424, 1708314430, 1708314429, 1708314427, 1708314425, 10679805185, 1708314431, 1708314426]",,,,,,,
way,158673477,,"POLYGON ((114.3552886 30.6088047, 114.3553377 30.6087513, 114.355518 30.608874, 114.3554689 30.6089274, 114.3552886 30.6088047))",yes,,"[1708315390, 1708315387, 1708315388, 1708315389, 1708315390]",,,,,,,
way,158673874,,"POLYGON ((114.3555238 30.6089838, 114.3555847 30.6089228, 114.3564183 30.6095121, 114.3564942 30.6095882, 114.3565072 30.6096372, 114.3565051 30.6096977, 114.3564889 30.6097507, 114.3564643 30.6098022, 114.3564009 30.6097602, 114.3564203 30.6097088, 114.356421 30.6096674, 114.3564018 30.609628, 114.3563513 30.6095762, 114.3555238 30.6089838))",yes,,"[1708316483, 3816578509, 1708316500, 1708316482, 1708316486, 1708316481, 1708316498, 1708316499, 1708316497, 1708316488, 1708316485, 1708316492, 1708316490, 1708316483]",,,,,,,
