u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
1839548241,1839534817,0,158683121,service,False,False,35.546,交通一路,"LINESTRING (114.3510491 30.6081065, 114.3511163 30.6077921)",,,
1839548241,1839505459,0,158683121,service,False,True,26.128,交通一路,"LINESTRING (114.3510491 30.6081065, 114.3509997 30.6083376)",,,
1839548243,1708239592,0,158665763,service,False,False,27.315,,"LINESTRING (114.3537994 30.6082031, 114.3537478 30.6084447)",,,
1839548243,1708212348,0,158667524,service,False,False,82.587,学子路,"LINESTRING (114.3537994 30.6082031, 114.3529498 30.6080729)",,,
1839548243,1708241091,0,"[158667524, 158683591]",service,False,True,71.762,学子路,"LINESTRING (114.3537994 30.6082031, 114.3544431 30.6083017, 114.3544258 30.608383)",,,
1839573015,3904060955,0,"[378270413, 378253773]",service,False,"[False, True]",111.867,,"LINESTRING (114.3488939 30.6102171, 114.3480849 30.61012, 114.3481619 30.6098243)",,,
3816574566,3816715766,0,378253768,service,False,True,23.685,,"LINESTRING (114.3485982 30.607696, 114.3485575 30.6079061)",,,
3816574566,8995273504,0,378253770,service,False,False,5.054,,"LINESTRING (114.3485982 30.607696, 114.3486008 30.6076506)",,,
3816574566,3904060954,0,387066475,service,False,False,85.043,,"LINESTRING (114.3485982 30.607696, 114.3494735 30.6078279)",,,
3816574570,3816715767,0,378253769,service,False,True,62.183,,"LINESTRING (114.349158 30.6060529, 114.3497972 30.6061532)",,,
3816574570,8995273507,0,378253770,service,False,False,143.421,,"LINESTRING (114.349158 30.6060529, 114.3482351 30.6050367)",,,
3816574570,8995273506,0,"[378253769, 378253772]",service,False,False,250.61700000000002,,"LINESTRING (114.349158 30.6060529, 114.348469 30.6059643, 114.3483817 30.6064493, 114.3474938 30.6073266)",,,
3816574570,8995273504,0,378253770,service,False,True,191.47599999999997,,"LINESTRING (114.349158 30.6060529, 114.3489915 30.6069781, 114.3489405 30.6071005, 114.3488011 30.6072136, 114.3486133 30.6074306, 114.3486008 30.6076506)",,,
3816574571,3816715757,0,158683161,service,False,False,20.846,交通四路,"LINESTRING (114.349132 30.6095136, 114.349094 30.6096982)",,,
3816574571,3816715761,0,158683161,service,False,True,91.552,交通四路,"LINESTRING (114.349132 30.6095136, 114.349299 30.6087029)",,,
3816574571,3904064559,0,378253771,service,False,True,12.315,,"LINESTRING (114.349132 30.6095136, 114.3490403 30.6094359)",,,
3816574573,8995273506,0,378253772,service,False,True,64.666,,"LINESTRING (114.3470493 30.6077646, 114.3474938 30.6073266)",,,
3816574575,1839505459,0,158683121,service,False,False,57.232,交通一路,"LINESTRING (114.3508915 30.6088438, 114.3509997 30.6083376)",,,
3816574575,1839534812,0,158683121,service,False,True,57.162,交通一路,"LINESTRING (114.3508915 30.6088438, 114.3507835 30.6093494)",,,
3816574575,3904060946,0,378253775,service,False,False,88.91,,"LINESTRING (114.3508915 30.6088438, 114.3518074 30.6089778)",,,
3816574576,3904060951,0,158660966,service,False,False,60.613,交通三路,"LINESTRING (114.3527414 30.6091142, 114.3526339 30.6096514)",,,
3816574576,3904060948,0,158660966,service,False,True,54.34,交通三路,"LINESTRING (114.3527414 30.6091142, 114.3528378 30.6086326)",,,
3816574576,3904060946,0,378253775,service,False,True,90.663,,"LINESTRING (114.3527414 30.6091142, 114.3518074 30.6089778)",,,
3816574577,1839516774,0,173120184,service,False,False,33.836,,"LINESTRING (114.3506057 30.6069294, 114.3502577 30.6068757)",,,
3816574577,3816574580,0,173120184,service,False,True,32.291,,"LINESTRING (114.3506057 30.6069294, 114.3509378 30.6069807)",,,
3816574577,3816574580,1,378253776,path,False,False,79.362,,"LINESTRING (114.3506057 30.6069294, 114.3506426 30.6067201, 114.3509715 30.6067677, 114.3509378 30.6069807)",,,
3816574580,3816574577,0,173120184,service,False,False,32.291,,"LINESTRING (114.3509378 30.6069807, 114.3506057 30.6069294)",,,
3816574580,3816574577,1,378253776,path,False,True,79.362,,"LINESTRING (114.3509378 30.6069807, 114.3509715 30.6067677, 114.3506426 30.6067201, 114.3506057 30.6069294)",,,
3816574580,1839516773,0,173120184,service,False,True,33.119,,"LINESTRING (114.3509378 30.6069807, 114.3512784 30.6070334)",,,
3816574584,3816715351,0,378253778,service,False,False,61.135,,"LINESTRING (114.3533246 30.6115212, 114.3539593 30.6115836)",,,
3816574584,1708233019,0,378253778,service,False,True,21.829,,"LINESTRING (114.3533246 30.6115212, 114.3530966 30.611527)",,,
3816574584,3816715353,0,378270396,service,False,True,84.168,,"LINESTRING (114.3533246 30.6115212, 114.3533903 30.6113458, 114.3534078 30.6112984, 114.3534373 30.6112777, 114.3534869 30.611258, 114.3539946 30.6113318)",,,
3816574589,3816574590,0,378253778,service,False,True,52.609,,"LINESTRING (114.3533407 30.6109647, 114.3538825 30.6110448)",,,
3816574590,3816574589,0,378253778,service,False,False,52.609,,"LINESTRING (114.3538825 30.6110448, 114.3533407 30.6109647)",,,
3816574590,3816715354,0,378253778,service,False,True,15.535,,"LINESTRING (114.3538825 30.6110448, 114.3540425 30.6110684)",,,
3816574590,3816715345,0,378253779,service,False,False,30.13,,"LINESTRING (114.3538825 30.6110448, 114.3539425 30.6107788)",,,
3816574592,3816715347,0,378253779,service,False,True,87.75099999999999,,"LINESTRING (114.3533719 30.6101904, 114.3540487 30.6103077, 114.3540055 30.6104991)",,,
3816574593,1708212354,0,158683593,service,False,True,50.349,,"LINESTRING (114.3553158 30.6096962, 114.3552192 30.6101413)",,,
3816574593,8995283720,0,378253780,service,False,False,86.75,,"LINESTRING (114.3553158 30.6096962, 114.3560293 30.6101774)",,,
3816574593,1708212361,0,"[158683593, 158683594]",service,False,False,193.68400000000003,,"LINESTRING (114.3553158 30.6096962, 114.3554754 30.608961, 114.3543306 30.6088303)",,,
3816574596,1708212354,0,378253781,service,False,True,57.864,,"LINESTRING (114.35545 30.6105427, 114.3551731 30.6103541, 114.3552192 30.6101413)",,,
3816648044,1708249586,0,158669026,service,False,False,17.476,青年园南路,"LINESTRING (114.3522478 30.6106549, 114.3524279 30.6106809)",,,
3816648044,3904060944,0,158669026,service,False,True,75.513,青年园南路,"LINESTRING (114.3522478 30.6106549, 114.3514696 30.6105426)",,,
3816648044,3816648054,0,378261596,path,False,False,16.066,,"LINESTRING (114.3522478 30.6106549, 114.3521368 30.6107633)",,,
3816648047,3816648048,0,378261596,path,False,False,22.904,,"LINESTRING (114.3517288 30.6110256, 114.3514896 30.6110324)",,,
3816648047,8995283723,0,378261596,path,False,True,4.263,,"LINESTRING (114.3517288 30.6110256, 114.3517721 30.6110346)",,,
3816648047,3816648050,0,378261597,path,False,False,19.688,,"LINESTRING (114.3517288 30.6110256, 114.3516656 30.6111941)",,,
3816648047,3816648049,0,378261597,path,False,True,36.484,,"LINESTRING (114.3517288 30.6110256, 114.3517343 30.6109957, 114.3517407 30.6108804, 114.3516735 30.6107074)",,,
3816648048,3816648047,0,378261596,path,False,True,22.904,,"LINESTRING (114.3514896 30.6110324, 114.3517288 30.6110256)",,,
3816648049,3816648047,0,378261597,path,False,False,36.484,,"LINESTRING (114.3516735 30.6107074, 114.3517407 30.6108804, 114.3517343 30.6109957, 114.3517288 30.6110256)",,,
3816648050,3816648047,0,378261597,path,False,True,19.688,,"LINESTRING (114.3516656 30.6111941, 114.3517288 30.6110256)",,,
3816648052,8995283723,0,378261598,path,False,True,37.982,,"LINESTRING (114.3520449 30.6112827, 114.3517721 30.6110346)",,,
3816648052,3816648054,0,378261599,path,False,False,58.421,,"LINESTRING (114.3520449 30.6112827, 114.3521368 30.6107633)",,,
3816648052,3816648053,0,378261599,path,False,True,7.817,,"LINESTRING (114.3520449 30.6112827, 114.3520326 30.6113522)",,,
3816648053,3816648052,0,378261599,path,False,False,7.817,,"LINESTRING (114.3520326 30.6113522, 114.3520449 30.6112827)",,,
3816648053,3904060953,0,387066474,service,False,False,24.612,青年园北路,"LINESTRING (114.3520326 30.6113522, 114.3522858 30.611391)",,,
3816648053,1839548239,0,387066474,service,False,True,69.736,青年园北路,"LINESTRING (114.3520326 30.6113522, 114.3513152 30.6112422)",,,
3816648054,3816648044,0,378261596,path,False,True,16.066,,"LINESTRING (114.3521368 30.6107633, 114.3522478 30.6106549)",,,
3816648054,3816648052,0,378261599,path,False,True,58.421,,"LINESTRING (114.3521368 30.6107633, 114.3520449 30.6112827)",,,
3816648054,8995283723,0,378261596,path,False,False,46.236000000000004,,"LINESTRING (114.3521368 30.6107633, 114.3520412 30.6108333, 114.3518541 30.6109583, 114.3517721 30.6110346)",,,
3816715345,3816715347,0,378253779,service,False,False,31.68,,"LINESTRING (114.3539425 30.6107788, 114.3540055 30.6104991)",,,
