u,v,key,osmid,oneway,highway,reversed,length,name,geometry
3686355758,3686355768,0,364596113,False,footway,False,12.526,,"LINESTRING (108.9071898 34.244044, 108.9071992 34.2440651, 108.9072002 34.2440877, 108.9071927 34.2441093, 108.9071774 34.244128, 108.9071559 34.2441418)"
3686355758,3686355754,0,364596113,False,footway,True,24.146,,"LINESTRING (108.9071898 34.244044, 108.9071729 34.2440263, 108.9071502 34.2440138, 108.9071215 34.2440075, 108.9070919 34.2440097, 108.9070648 34.2440199, 108.9070436 34.2440371, 108.9070307 34.2440592, 108.9070275 34.2440837, 108.9070345 34.2441076)"
3686355768,3686355770,0,364596114,False,footway,False,17.972,,"LINESTRING (108.9071559 34.2441418, 108.9071971 34.2442998)"
3686355768,3686355754,0,364596113,False,footway,False,13.203,,"LINESTRING (108.9071559 34.2441418, 108.9071302 34.2441494, 108.907103 34.2441501, 108.9070746 34.2441428, 108.9070508 34.2441281, 108.9070345 34.2441076)"
3686355768,3686355758,0,364596113,False,footway,True,12.526,,"LINESTRING (108.9071559 34.2441418, 108.9071774 34.244128, 108.9071927 34.2441093, 108.9072002 34.2440877, 108.9071992 34.2440651, 108.9071898 34.244044)"
3686355770,3686355768,0,364596114,False,footway,True,17.972,,"LINESTRING (108.9071971 34.2442998, 108.9071559 34.2441418)"
3686355770,3643535064,0,970814751,False,service,False,16.064,,"LINESTRING (108.9071971 34.2442998, 108.9070256 34.2443276)"
3686355770,2016793131,0,970814751,False,service,True,32.387,,"LINESTRING (108.9071971 34.2442998, 108.9072548 34.2442754, 108.9073406 34.2441923, 108.9074117 34.2440781)"
3686355771,3686355758,0,364596116,False,footway,True,14.313,,"LINESTRING (108.9072843 34.2439417, 108.9071898 34.244044)"
3686355771,2016793131,0,359677857,False,service,False,19.698,,"LINESTRING (108.9072843 34.2439417, 108.9073755 34.244006, 108.9074117 34.2440781)"
3686355771,3686355772,0,359677857,False,service,True,65.332,,"LINESTRING (108.9072843 34.2439417, 108.907122 34.2438597, 108.9070348 34.2438541, 108.906941 34.2438774, 108.9068913 34.2439129, 108.9068645 34.2439717, 108.906839 34.2441302)"
3686355772,3643535065,0,359677857,False,service,True,20.016,,"LINESTRING (108.906839 34.2441302, 108.9068243 34.2443098)"
3686355772,3686355754,0,364596115,False,footway,True,18.145,,"LINESTRING (108.906839 34.2441302, 108.9070345 34.2441076)"
3686355772,3686355771,0,359677857,False,service,False,65.33200000000001,,"LINESTRING (108.906839 34.2441302, 108.9068645 34.2439717, 108.9068913 34.2439129, 108.906941 34.2438774, 108.9070348 34.2438541, 108.907122 34.2438597, 108.9072843 34.2439417)"
3686355797,2016793127,0,362794779,False,service,False,4.792,教学南路,"LINESTRING (108.9117498 34.2440642, 108.9116983 34.2440709)"
3686355797,1876844124,0,362794779,False,service,True,46.18,教学南路,"LINESTRING (108.9117498 34.2440642, 108.9122522 34.2440638)"
3686355797,3686355798,0,364596120,False,service,True,207.074,,"LINESTRING (108.9117498 34.2440642, 108.9117543 34.2433495, 108.9103662 34.243362)"
3686355798,2689341046,0,263308434,False,service,False,77.926,,"LINESTRING (108.9103662 34.243362, 108.9103636 34.2440628)"
3686355798,3686363789,0,263308434,False,service,True,37.263,,"LINESTRING (108.9103662 34.243362, 108.9103703 34.2430269)"
3686355798,3686355797,0,364596120,False,service,False,207.074,,"LINESTRING (108.9103662 34.243362, 108.9117543 34.2433495, 108.9117498 34.2440642)"
3686355802,2016793108,0,191095199,False,service,False,6.904,,"LINESTRING (108.9081305 34.2455548, 108.9081265 34.2456168)"
3686355802,2016793109,0,191095199,False,service,True,55.234,,"LINESTRING (108.9081305 34.2455548, 108.9081238 34.2450581)"
