u,v,key,osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,service,access,bridge
566601433,6868358825,0,44635107,,footway,False,True,17.135,,"LINESTRING (-118.1254075 34.137766, -118.1254067 34.1379201)",,,,
566601433,566601742,0,44635132,San Pasqual Walk,cycleway,False,False,16.746,,"LINESTRING (-118.1254075 34.137766, -118.1252346 34.1378129)",,,,
566601433,566601430,0,44635132,San Pasqual Walk,cycleway,False,True,19.277,,"LINESTRING (-118.1254075 34.137766, -118.1256022 34.1377021)",,,,
566601433,6868358831,0,1192252526,,footway,False,True,10.965,,"LINESTRING (-118.1254075 34.137766, -118.1254056 34.1376674)",,,,
566601435,566601436,0,44635108,,cycleway,False,False,21.119,,"LINESTRING (-118.1249609 34.1379808, -118.1249407 34.1378955, -118.1249426 34.1377925)",,,,
566601435,6868298458,0,"[44635108, 44635206, 1157999943]",,"['cycleway', 'footway']",False,True,87.235,5 mph,"LINESTRING (-118.1249609 34.1379808, -118.1249932 34.1380313, -118.1249922 34.1381797, -118.1249919 34.1382544, -118.1249784 34.1382979, -118.1249934 34.1387571)",,,,
566601435,566601432,0,843856967,,footway,False,False,41.181,,"LINESTRING (-118.1249609 34.1379808, -118.125356 34.1379809, -118.1254066 34.137992)",,,,
566601436,11068265090,0,44635172,,cycleway,False,True,13.623,5 mph,"LINESTRING (-118.1249426 34.1377925, -118.1249446 34.13767)",,,,
566601436,566601435,0,44635108,,cycleway,False,True,21.119,,"LINESTRING (-118.1249426 34.1377925, -118.1249407 34.1378955, -118.1249609 34.1379808)",,,,
566601436,566601440,0,44635132,San Pasqual Walk,cycleway,False,False,31.247000000000003,,"LINESTRING (-118.1249426 34.1377925, -118.1249 34.1377967, -118.1248622 34.1378061, -118.1248007 34.1378255, -118.124758 34.1378326, -118.1247031 34.1378349, -118.124654 34.1378405, -118.1246138 34.1378537)",,,,
566601436,566601742,0,44635132,San Pasqual Walk,cycleway,False,True,26.997,,"LINESTRING (-118.1249426 34.1377925, -118.1249932 34.1377954, -118.1251753 34.1378128, -118.1252346 34.1378129)",,,,
566601439,566601535,0,44635132,San Pasqual Walk,cycleway,False,False,20.614,,"LINESTRING (-118.1244759 34.1379656, -118.1244323 34.1379621, -118.1243951 34.137949, -118.1242917 34.1378712)",,,,
566601439,566601440,0,44635132,San Pasqual Walk,cycleway,False,True,18.154,,"LINESTRING (-118.1244759 34.1379656, -118.1245126 34.137952, -118.1245394 34.1379333, -118.1245651 34.1379099, -118.1245926 34.137874, -118.1246138 34.1378537)",,,,
566601439,6868358824,0,843856999,,cycleway,False,False,12.184999999999999,,"LINESTRING (-118.1244759 34.1379656, -118.1244899 34.1380215, -118.1245028 34.1380729)",,,,
566601440,566601439,0,44635132,San Pasqual Walk,cycleway,False,False,18.154,,"LINESTRING (-118.1246138 34.1378537, -118.1245926 34.137874, -118.1245651 34.1379099, -118.1245394 34.1379333, -118.1245126 34.137952, -118.1244759 34.1379656)",,,,
566601440,566601436,0,44635132,San Pasqual Walk,cycleway,False,True,31.246999999999996,,"LINESTRING (-118.1246138 34.1378537, -118.124654 34.1378405, -118.1247031 34.1378349, -118.124758 34.1378326, -118.1248007 34.1378255, -118.1248622 34.1378061, -118.1249 34.1377967, -118.1249426 34.1377925)",,,,
566601440,566601535,0,843856998,San Pasqual Walk,footway,False,False,33.816,,"LINESTRING (-118.1246138 34.1378537, -118.1245954 34.1378309, -118.1245669 34.1378115, -118.1245183 34.1377971, -118.1244833 34.1378004, -118.124354 34.1378407, -118.1242917 34.1378712)",,,,
566601441,5270938199,0,545357796,,footway,False,False,29.623,,"LINESTRING (-118.1263992 34.1395228, -118.1264014 34.1392564)",,,,
566601441,7876638983,0,44661231,,cycleway,False,False,23.353,5 mph,"LINESTRING (-118.1263992 34.1395228, -118.1264343 34.1395413, -118.1266459 34.1395537)",,,,
566601441,7871804687,0,44661231,,cycleway,False,True,26.457,5 mph,"LINESTRING (-118.1263992 34.1395228, -118.1262139 34.1395176, -118.1261342 34.139517, -118.126112 34.1395192)",,,,
566601442,566601444,0,70803740,,footway,False,True,43.707,,"LINESTRING (-118.1264028 34.1391397, -118.1259279 34.1391413)",,,,
566601442,5270938201,0,545357796,,footway,False,True,6.774,,"LINESTRING (-118.1264028 34.1391397, -118.126401 34.1392006)",,,,
566601442,566601443,0,545357796,,footway,False,False,43.32,,"LINESTRING (-118.1264028 34.1391397, -118.1264037 34.1388424, -118.1264249 34.1388161, -118.1264919 34.1387915)",,,,
566601443,566601513,0,44635198,,service,False,False,56.018,5 mph,"LINESTRING (-118.1264919 34.1387915, -118.1265522 34.1387952, -118.1268914 34.1387959, -118.1271004 34.1387964)",,,,
566601443,566601764,0,44635198,,service,False,True,23.235999999999997,5 mph,"LINESTRING (-118.1264919 34.1387915, -118.1264439 34.1387831, -118.126306 34.1387511, -118.1262548 34.1387249)",,,,
566601443,7871804694,0,366446707,,footway,False,True,45.153000000000006,,"LINESTRING (-118.1264919 34.1387915, -118.1265061 34.1387759, -118.1265157 34.138751, -118.1265146 34.1383906)",,,,
566601443,566601442,0,545357796,,footway,False,True,43.32,,"LINESTRING (-118.1264919 34.1387915, -118.1264249 34.1388161, -118.1264037 34.1388424, -118.1264028 34.1391397)",,,,
566601444,566601442,0,70803740,,footway,False,False,43.707,,"LINESTRING (-118.1259279 34.1391413, -118.1264028 34.1391397)",,,,
566601444,844352202,0,844398309,,cycleway,False,True,7.139,,"LINESTRING (-118.1259279 34.1391413, -118.1259273 34.1392055)",,,,
566601444,566601471,0,844398309,,cycleway,False,False,21.503999999999998,,"LINESTRING (-118.1259279 34.1391413, -118.1259135 34.1390892, -118.1258803 34.1390242, -118.1258376 34.1389645)",,,,
566601446,11068265071,0,44635198,,service,False,True,30.776,5 mph,"LINESTRING (-118.1275155 34.1387961, -118.1271811 34.1387963)",,,,
566601446,7871804596,0,44635198,,service,False,False,35.066,5 mph,"LINESTRING (-118.1275155 34.1387961, -118.1276032 34.1387856, -118.1278956 34.1387844)",,,,
