element_type,osmid,nodes,building,geometry,name,amenity,leisure,fast_food,ways,type
way,543866694,"[5257468954, 5257468955, 5257468956, 5257468957, 5257468954]",apartments,"POLYGON ((117.1499108 39.1016541, 117.1503178 39.1016568, 117.1503214 39.1015305, 117.1499108 39.101536, 117.1499108 39.1016541))",,,,,,
way,543866695,"[5257468958, 5257468959, 5257468960, 5257468961, 5257468958]",apartments,"POLYGON ((117.1506344 39.1027037, 117.1513667 39.102712, 117.151364 39.1025497, 117.1506425 39.1025559, 117.1506344 39.1027037))",,,,,,
way,543866696,"[5257468962, 5257468963, 5257468964, 5257468965, 5257468962]",apartments,"POLYGON ((117.1514525 39.1027183, 117.1522089 39.1027183, 117.1522143 39.1025413, 117.1514552 39.1025538, 117.1514525 39.1027183))",,,,,,
way,543866697,"[5257468966, 5257468967, 5257468968, 5257468969, 5257468966]",apartments,"POLYGON ((117.1505486 39.1023852, 117.1513586 39.1023831, 117.1513506 39.102227, 117.1505459 39.1022333, 117.1505486 39.1023852))",,,,,,
way,543866698,"[5257468970, 5257468971, 5257468972, 5257468973, 5257468970]",apartments,"POLYGON ((117.1514659 39.1023831, 117.1521231 39.1023769, 117.1521338 39.1022291, 117.1514686 39.1022333, 117.1514659 39.1023831))",,,,,,
way,543877987,"[5257574271, 5257574272, 5257574273, 5257574274, 5257574275, 5257574276, 5257574277, 5257574271]",apartments,"POLYGON ((117.1506938 39.1048868, 117.1514826 39.1048748, 117.1514826 39.1044062, 117.1513316 39.1044015, 117.1513285 39.104717, 117.151273 39.1047529, 117.1506938 39.1047553, 117.1506938 39.1048868))",学者公寓A座,,,,,
way,543877988,"[5257574278, 5257574279, 5257574280, 5257574281, 5257574282, 5257574283, 5257574284, 5257574285, 5257574278]",apartments,"POLYGON ((117.1514641 39.1042867, 117.151461 39.1041624, 117.1510697 39.1041695, 117.1507 39.1044373, 117.1507 39.1046238, 117.1508448 39.1046238, 117.1508571 39.1044923, 117.1511097 39.1042843, 117.1514641 39.1042867))",学者公寓B座,,,,,
way,543877990,"[5257574290, 5257574291, 5257574292, 5257574293, 5257574294, 5257574295, 5257574290]",yes,"POLYGON ((117.1600642 39.1038854, 117.1605695 39.1038758, 117.1605634 39.1038041, 117.1606866 39.1038041, 117.1606928 39.1035172, 117.1600396 39.1035124, 117.1600642 39.1038854))",二食堂,restaurant,,cafeteria,,
way,543877991,"[5257574296, 5257574297, 5257574298, 5257574299, 5257574296]",yes,"POLYGON ((117.1606366 39.1034602, 117.1609869 39.1034492, 117.1609905 39.1031828, 117.1606366 39.1031883, 117.1606366 39.1034602))",一食堂,restaurant,,cafeteria,,
way,543878006,"[5257574535, 5257574536, 5257574537, 5257574538, 5257574539, 5257574540, 5257574535]",dormitory,"POLYGON ((117.1634927 39.1036772, 117.163659 39.1036799, 117.1636626 39.1035975, 117.1642996 39.1036277, 117.1643138 39.1034849, 117.1635069 39.103452, 117.1634927 39.1036772))",,,,,,
way,543878007,"[5257574541, 5257574542, 5257574543, 5257574544, 5257574545, 5257574546, 5257574547, 5257574548, 5257574549, 5257574550, 5257574551, 5257574552, 5257574541]",dormitory,"POLYGON ((117.1644023 39.1036992, 117.1645828 39.1037101, 117.1645863 39.1036497, 117.1650145 39.1036635, 117.165011 39.1037211, 117.1651809 39.1037239, 117.1651844 39.1035866, 117.165142 39.1035838, 117.165149 39.1035124, 117.1644766 39.1034959, 117.1644695 39.1035618, 117.1644164 39.1035673, 117.1644023 39.1036992))",,,,,,
way,543878008,"[5257574553, 5257574554, 5257574555, 5257574556, 5257574557, 5257574558, 5257574553]",dormitory,"POLYGON ((117.1652871 39.1036662, 117.1657507 39.1036854, 117.1657507 39.1037596, 117.1659029 39.1037706, 117.1659135 39.1035591, 117.1652906 39.1035261, 117.1652871 39.1036662))",,,,,,
way,543878009,"[5257574559, 5257574560, 5257574561, 5257574562, 5257574559]",dormitory,"POLYGON ((117.1652941 39.1033778, 117.1659312 39.1034025, 117.1659418 39.1032735, 117.1652977 39.103257, 117.1652941 39.1033778))",,,,,,
way,543878010,"[5257574563, 5257574564, 5257574565, 5257574566, 5257574563]",dormitory,"POLYGON ((117.16442 39.1033366, 117.1651915 39.1033723, 117.165195 39.103246, 117.1644341 39.1032213, 117.16442 39.1033366))",,,,,,
