u,v,key,osmid,highway,oneway,reversed,length,name,access,geometry,width
5771614602,6482076823,0,868296016,unclassified,False,True,45.926,,,"LINESTRING (116.3386311 39.9885821, 116.3387144 39.9884901, 116.338738 39.9881896)",
5920057547,5920057551,0,437731459,residential,False,True,56.61,,,"LINESTRING (116.3455207 39.9878474, 116.3458188 39.9883024)",
5920057548,9620074831,0,437731458,residential,False,False,15.049,,,"LINESTRING (116.3456759 39.9893473, 116.3455777 39.9894598)",
5920057548,4355306925,0,437731458,residential,False,True,74.88,,,"LINESTRING (116.3456759 39.9893473, 116.3460991 39.9889371, 116.3461185 39.9887873)",
5920057548,5920057551,0,627109331,service,False,False,117.37199999999999,,,"LINESTRING (116.3456759 39.9893473, 116.3457175 39.9887415, 116.3457378 39.9885048, 116.3458188 39.9883024)",
5920057551,5920057547,0,437731459,residential,False,False,56.61,,,"LINESTRING (116.3458188 39.9883024, 116.3455207 39.9878474)",
5920057551,4355306925,0,437731459,residential,False,True,62.063,,,"LINESTRING (116.3458188 39.9883024, 116.346113 39.9886129, 116.3461185 39.9887873)",
5920057551,5920057548,0,627109331,service,False,True,117.372,,,"LINESTRING (116.3458188 39.9883024, 116.3457378 39.9885048, 116.3457175 39.9887415, 116.3456759 39.9893473)",
5920072702,8857217465,0,437731465,service,False,True,57.11,,,"LINESTRING (116.3440951 39.9901802, 116.3440685 39.9906934)",
5920072702,4355306931,0,627111140,service,False,True,50.54,,,"LINESTRING (116.3440951 39.9901802, 116.3446878 39.9901997)",
5920072702,4355306940,0,437731465,service,False,False,41.297,,,"LINESTRING (116.3440951 39.9901802, 116.344097 39.990143, 116.3441143 39.9898091)",
5920349972,4355306933,0,868296018,residential,False,False,59.265,,,"LINESTRING (116.3421166 39.9916086, 116.3421289 39.9910757)",
5920349972,5263985213,0,544569993,residential,False,True,113.694,,,"LINESTRING (116.3421166 39.9916086, 116.341058 39.9916006, 116.3410667 39.9913893)",
6085590186,5263985210,0,544569991,residential,False,False,52.535,,,"LINESTRING (116.3417079 39.9904284, 116.3410913 39.9904215)",
6085590186,5263985209,0,544569991,residential,False,True,38.221,,,"LINESTRING (116.3417079 39.9904284, 116.3421565 39.9904334)",
6085590186,5263985209,1,868296019,living_street,False,False,38.221,学15楼到综合楼路线1,,"LINESTRING (116.3417079 39.9904284, 116.3421565 39.9904334)",
6163158417,6163158424,0,29813003,residential,False,True,36.102,,,"LINESTRING (116.3372161 39.9913044, 116.3372363 39.9909801)",
6163158417,6163158418,0,658096484,residential,False,False,108.89,,,"LINESTRING (116.3372161 39.9913044, 116.3384936 39.9913363)",
6163158418,5263985925,0,544569998,residential,False,False,16.958,,,"LINESTRING (116.3384936 39.9913363, 116.3384759 39.9914882)",
6163158418,6163158425,0,544569998,residential,False,True,35.601,,,"LINESTRING (116.3384936 39.9913363, 116.3385308 39.9910174)",
6163158418,6163158417,0,658096484,residential,False,True,108.89,,,"LINESTRING (116.3384936 39.9913363, 116.3372161 39.9913044)",
