u,v,key,osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,service
3933733947,3933454234,0,390182609,footway,False,False,96.527,,,,"LINESTRING (112.9457073 28.1856153, 112.9458016 28.1855396, 112.9459076 28.1855053, 112.9459785 28.1854335, 112.9460016 28.1853356, 112.9459324 28.1848787)",
3933733947,3933454230,0,390182609,footway,False,True,68.182,,,,"LINESTRING (112.9457073 28.1856153, 112.9455892 28.1858266, 112.9456459 28.1862009)",
3933733947,3933733948,0,390211659,footway,False,True,33.884,,,,"LINESTRING (112.9457073 28.1856153, 112.9456057 28.1854619, 112.9454681 28.1854239)",
3933733948,3933733943,0,390211658,living_street,False,True,19.619,,,,"LINESTRING (112.9454681 28.1854239, 112.9454642 28.1856003)",
3933733948,2760610633,0,390211658,living_street,False,False,109.236,,,,"LINESTRING (112.9454681 28.1854239, 112.9454748 28.1851245, 112.9454518 28.1847206, 112.9452005 28.1847206, 112.9451427 28.184695)",
3933733948,3933733947,0,390211659,footway,False,False,33.884,,,,"LINESTRING (112.9454681 28.1854239, 112.9456057 28.1854619, 112.9457073 28.1856153)",
6050997046,6050997047,0,339271954,footway,False,False,6.774,,,,"LINESTRING (112.9386806 28.1817422, 112.9387497 28.1817434)",
6050997046,3464569153,0,339271954,footway,False,True,14.634,,,,"LINESTRING (112.9386806 28.1817422, 112.9385314 28.1817372)",
6050997046,3464569157,0,339271955,footway,False,False,34.729,,,,"LINESTRING (112.9386806 28.1817422, 112.9385576 28.1814493)",
6050997046,3464569156,0,339271955,footway,False,True,7.116,,,,"LINESTRING (112.9386806 28.1817422, 112.9387049 28.1818025)",
6050997047,3464569156,0,339271953,footway,False,False,7.904,,,,"LINESTRING (112.9387497 28.1817434, 112.9387049 28.1818025)",
6050997047,3464569155,0,339271953,footway,False,True,9.097,,,,"LINESTRING (112.9387497 28.1817434, 112.9388013 28.1816754)",
6050997047,3464569155,1,339271954,footway,False,False,15.036,,,,"LINESTRING (112.9387497 28.1817434, 112.9388239 28.1817423, 112.9388013 28.1816754)",
6050997047,6050997046,0,339271954,footway,False,True,6.774,,,,"LINESTRING (112.9387497 28.1817434, 112.9386806 28.1817422)",
7715430488,2760610629,0,826353703,living_street,False,True,138.177,2,桃子湖路2,,"LINESTRING (112.9448285 28.1849522, 112.9448247 28.1853114, 112.9448214 28.1855611, 112.9448107 28.1856373, 112.944732 28.1858377, 112.9446717 28.1859913, 112.9446663 28.1860528, 112.9446837 28.1861001, 112.9447341 28.1861554)",
7715430488,2760610633,0,826353704,living_street,False,False,43.556999999999995,2,桃子湖路3,,"LINESTRING (112.9448285 28.1849522, 112.9448439 28.1848981, 112.9448625 28.1848732, 112.944966 28.1847936, 112.9450828 28.1847195, 112.9451427 28.184695)",
7715430488,9066188894,0,"[980059307, 979981604]",footway,False,"[False, True]",73.619,,,,"LINESTRING (112.9448285 28.1849522, 112.9446977 28.1849435, 112.9445944 28.1849802, 112.9443683 28.18485, 112.9441298 28.1848474)",
