u,v,key,osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access,width,service,bridge,tunnel,junction
260556513,8451378178,0,24026044,footway,False,True,20.463,,"LINESTRING (-122.2580828 37.8720263, -122.2582598 37.871983, -122.2582963 37.8719586)",,,,,,,,
260556514,2328750300,0,24026040,footway,False,True,3.507,,"LINESTRING (-122.25822 37.8723945, -122.2582114 37.8723637)",,,,,,,,
260556514,10072730823,0,24026040,footway,False,False,33.458999999999996,,"LINESTRING (-122.25822 37.8723945, -122.2582569 37.8724274, -122.2584881 37.8725585, -122.2585252 37.872572)",,,,,,,,
260556514,2440326491,0,"[24026041, 1099761041]","['steps', 'footway']",False,False,10.613,,"LINESTRING (-122.25822 37.8723945, -122.2581236 37.8724162, -122.2581037 37.8724206)",,,,,,,,
260556515,4188788129,0,6336139,unclassified,False,True,14.582,South Hall Road,"LINESTRING (-122.2585763 37.8725891, -122.2586219 37.8727152)",,,,,,,,
260556515,2328750657,0,6336139,unclassified,False,False,75.886,South Hall Road,"LINESTRING (-122.2585763 37.8725891, -122.2584777 37.8723275, -122.2584062 37.8721355, -122.2583345 37.8719339)",,,,,,,,
260556515,8451378203,0,"[910274539, 319201292]",footway,False,False,4.531000000000001,,"LINESTRING (-122.2585763 37.8725891, -122.258612 37.872588, -122.2586273 37.8725846)",,,,,,,,
260556515,10072730823,0,910274539,footway,False,True,4.871,,"LINESTRING (-122.2585763 37.8725891, -122.2585468 37.8725793, -122.2585252 37.872572)",,,,,,,,
260556517,3166077062,0,311059204,footway,False,False,4.006,,"LINESTRING (-122.257847 37.8721363, -122.2578343 37.8721017)",,,,,,,,
260556517,282830481,0,311059207,footway,False,True,14.456,,"LINESTRING (-122.257847 37.8721363, -122.2578927 37.8722612)",,,,,,,,
260556517,260556525,0,24026043,footway,False,False,18.232,,"LINESTRING (-122.257847 37.8721363, -122.2579456 37.8721148, -122.2579175 37.8720346)",,,,,,,,
