u,v,key,osmid,name,highway,access,oneway,reversed,length,geometry,service
9039504136,9039504130,0,976846110,,service,,False,False,99.38,"LINESTRING (126.6287546 45.7399109, 126.6289625 45.7398089, 126.6296048 45.7403677)",
9039504144,8686180108,0,937505164,,residential,,False,False,62.297,"LINESTRING (126.62694 45.7372423, 126.6264099 45.7368216)",
9039504144,9039504169,0,937505164,,residential,,False,True,6.147,"LINESTRING (126.62694 45.7372423, 126.6269854 45.7372876)",
9039504144,6313177443,0,976846112,,service,,False,False,220.94299999999998,"LINESTRING (126.62694 45.7372423, 126.6270983 45.73719, 126.627447 45.7375391, 126.627675 45.7376458, 126.6280264 45.7377188, 126.6283214 45.7377132, 126.6286111 45.7376271, 126.6288364 45.7375017, 126.6290522 45.7371694)",
9039504145,9039504173,0,976846113,,service,,False,True,77.464,"LINESTRING (126.623126 45.742584, 126.6226432 45.7421666, 126.6224608 45.7422639)",
9039504148,9039504150,0,976846115,,service,,False,True,72.314,"LINESTRING (126.6219351 45.7405305, 126.622666 45.7401271)",
9039504149,9039504150,0,976846116,,service,,False,True,156.607,"LINESTRING (126.6242364 45.7392426, 126.622666 45.7401271)",
9039504150,9039504148,0,976846115,,service,,False,False,72.314,"LINESTRING (126.622666 45.7401271, 126.6219351 45.7405305)",
9039504150,9039504149,0,976846116,,service,,False,False,156.607,"LINESTRING (126.622666 45.7401271, 126.6242364 45.7392426)",
9039504150,9039504151,0,976846116,,service,,False,True,41.73,"LINESTRING (126.622666 45.7401271, 126.6230106 45.7404152)",
9039504151,9039504150,0,976846116,,service,,False,False,41.73,"LINESTRING (126.6230106 45.7404152, 126.622666 45.7401271)",
9039504151,9039504154,0,976846117,,service,,False,True,90.631,"LINESTRING (126.6230106 45.7404152, 126.6220955 45.7409216)",
9039504151,9039504152,0,976846117,,service,,False,False,106.219,"LINESTRING (126.6230106 45.7404152, 126.6236544 45.7400588, 126.6240191 45.7403433)",
9039504152,9039504151,0,976846117,,service,,False,True,106.219,"LINESTRING (126.6240191 45.7403433, 126.6236544 45.7400588, 126.6230106 45.7404152)",
9039504154,9039504151,0,976846117,,service,,False,False,90.631,"LINESTRING (126.6220955 45.7409216, 126.6230106 45.7404152)",
9039504154,9039504183,0,1092751694,法院街,residential,,False,True,31.452,"LINESTRING (126.6220955 45.7409216, 126.6223534 45.7411398)",
9039504154,3256837495,0,1092751694,法院街,residential,,False,False,79.68900000000001,"LINESTRING (126.6220955 45.7409216, 126.6220697 45.7408998, 126.621442 45.7403688)",
9039504166,2645379589,0,319272439,法院街,residential,no,False,True,105.018,"LINESTRING (126.6250165 45.7433966, 126.6258802 45.7441237)",
9039504166,9039504168,0,1092751695,,residential,no,False,True,97.852,"LINESTRING (126.6250165 45.7433966, 126.6240185 45.7439345)",
9039504166,3256822965,0,319272439,法院街,residential,no,False,False,4.176,"LINESTRING (126.6250165 45.7433966, 126.6250059 45.7433864, 126.6249849 45.7433662)",
9039504168,3257004221,0,319287475,,service,,False,True,38.245,"LINESTRING (126.6240185 45.7439345, 126.6243306 45.7442007)",parking_aisle
9039504168,9039504166,0,1092751695,,residential,no,False,False,97.852,"LINESTRING (126.6240185 45.7439345, 126.6250165 45.7433966)",
9039504168,9039504173,0,"[976846128, 976846124]",,service,,False,True,265.162,"LINESTRING (126.6240185 45.7439345, 126.6238864 45.7439907, 126.6221148 45.7424754, 126.6224608 45.7422639)",
9039504169,10011965372,0,300671809,校外街,residential,,False,False,98.684,"LINESTRING (126.6269854 45.7372876, 126.6277758 45.7379828)",
9039504169,3256848630,0,937503661,护军街,residential,,False,True,117.997,"LINESTRING (126.6269854 45.7372876, 126.625771 45.7379261)",
9039504169,9039504144,0,937505164,,residential,,False,False,6.147,"LINESTRING (126.6269854 45.7372876, 126.62694 45.7372423)",
9039504170,3256848641,0,319273245,,service,,False,False,17.893,"LINESTRING (126.6251779 45.7408764, 126.6253567 45.7407748)",
