osmid,y,x,street_count,highway,ref,geometry
7926848065,1.2962116,103.7707709,3,,,POINT (103.7707709 1.2962116)
7926947341,1.3009775,103.7733768,4,crossing,,POINT (103.7733768 1.3009775)
7927127874,1.2962622,103.7719929,4,,,POINT (103.7719929 1.2962622)
7927127877,1.2964377,103.7723669,4,,,POINT (103.7723669 1.2964377)
7927127880,1.296731,103.7726723,4,crossing,,POINT (103.7726723 1.296731)
7927143237,1.3013636,103.7731662,3,,,POINT (103.7731662 1.3013636)
7927159375,1.294501,103.7707963,3,,,POINT (103.7707963 1.294501)
7927159376,1.2944526,103.7706123,3,,,POINT (103.7706123 1.2944526)
7927159382,1.2927126,103.7735199,4,crossing,,POINT (103.7735199 1.2927126)
7927169985,1.2931893,103.7728926,4,crossing,,POINT (103.7728926 1.2931893)
7927169989,1.2934807,103.7721252,3,crossing,,POINT (103.7721252 1.2934807)
7927504646,1.2934667,103.7721668,3,,,POINT (103.7721668 1.2934667)
7927507811,1.2944562,103.7738536,3,,,POINT (103.7738536 1.2944562)
7929897421,1.3003879,103.7754131,3,,,POINT (103.7754131 1.3003879)
7930212923,1.2963247,103.7802446,3,,,POINT (103.7802446 1.2963247)
7930396515,1.3007738,103.774204,1,,,POINT (103.774204 1.3007738)
7930625758,1.2988827,103.7759612,4,crossing,,POINT (103.7759612 1.2988827)
7930625759,1.2989086,103.7759588,3,,,POINT (103.7759588 1.2989086)
7930625762,1.2981712,103.7768484,3,,,POINT (103.7768484 1.2981712)
7930625770,1.2987904,103.7761174,3,,,POINT (103.7761174 1.2987904)
7930625772,1.2987981,103.7759692,3,,,POINT (103.7759692 1.2987981)
7930625774,1.298768,103.7755883,3,,,POINT (103.7755883 1.298768)
7930625782,1.2989048,103.7759255,4,crossing,,POINT (103.7759255 1.2989048)
7930645287,1.2990174,103.7751857,3,,,POINT (103.7751857 1.2990174)
7930645289,1.2990173,103.7752453,3,,,POINT (103.7752453 1.2990173)
7930645293,1.2991014,103.7749846,4,,,POINT (103.7749846 1.2991014)
7930645294,1.2990139,103.7749322,4,,,POINT (103.7749322 1.2990139)
7930746766,1.296902,103.7751119,4,crossing,,POINT (103.7751119 1.296902)
7930746767,1.2970468,103.7751886,1,,,POINT (103.7751886 1.2970468)
7932979645,1.2976188,103.7739677,1,,,POINT (103.7739677 1.2976188)
7932979648,1.2974903,103.7736096,1,,,POINT (103.7736096 1.2974903)
7932979650,1.2969739,103.7772328,3,,,POINT (103.7772328 1.2969739)
7932979652,1.2968081,103.7775535,1,,,POINT (103.7775535 1.2968081)
7932979653,1.2967902,103.7775458,3,,,POINT (103.7775458 1.2967902)
7932979655,1.2963221,103.7786334,1,,,POINT (103.7786334 1.2963221)
7932979657,1.2967417,103.7783256,3,,,POINT (103.7783256 1.2967417)
7932979660,1.2970878,103.7784244,1,,,POINT (103.7784244 1.2970878)
7932979661,1.2971059,103.7783746,4,,,POINT (103.7783746 1.2971059)
7932979668,1.2972369,103.778468,3,,,POINT (103.778468 1.2972369)
7933040692,1.2967361,103.7782913,4,crossing,,POINT (103.7782913 1.2967361)
7933040694,1.2966484,103.7780462,3,,,POINT (103.7780462 1.2966484)
7933040695,1.2966779,103.7779939,1,,,POINT (103.7779939 1.2966779)
7933040700,1.296506,103.7779691,3,,,POINT (103.7779691 1.296506)
