u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,width,access,tunnel,bridge,maxspeed,service
7983909290,9122015329,0,222840522,residential,False,True,23.073,"LINESTRING (120.1698144 35.9393289, 120.1696566 35.9394924)",荟萃路,2,,,,,,
7983909290,9122015324,0,856247225,residential,False,False,14.009,"LINESTRING (120.1698144 35.9393289, 120.1696923 35.9392508)",,2,,,,,,
7983909290,9084229157,0,856247225,residential,False,True,22.392,"LINESTRING (120.1698144 35.9393289, 120.170012 35.9394512)",,2,,,,,,
7984070266,5563254324,0,222840502,residential,False,False,34.91,"LINESTRING (120.1744327 35.9404588, 120.1741709 35.9406904)",,,,,,,,
7984070266,2317863616,0,222840502,residential,False,True,58.39,"LINESTRING (120.1744327 35.9404588, 120.1747949 35.9400232)",,,,,,,,
7984070266,2317863638,0,856272950,residential,False,False,96.759,"LINESTRING (120.1744327 35.9404588, 120.1753022 35.9409703)",,,,,,,,
7984070267,7984070270,0,856272950,residential,False,True,148.003,"LINESTRING (120.1768713 35.9419396, 120.1755643 35.9411322)",,,,,,,,
7984070267,8629536099,0,856272953,residential,False,False,39.497,"LINESTRING (120.1768713 35.9419396, 120.1766015 35.9422197)",,,,,,,,
7984070267,7984070280,0,856272953,residential,False,True,52.368,"LINESTRING (120.1768713 35.9419396, 120.1772161 35.9415603)",,,,,,,,
7984070268,7984106843,0,222840506,residential,False,False,27.057,"LINESTRING (120.1736747 35.9412557, 120.1734976 35.9414523)",,,,,,,,
7984070268,7984106846,0,222840506,residential,False,True,29.708,"LINESTRING (120.1736747 35.9412557, 120.1738684 35.9410394)",,,,,,,,
7984070268,7984070269,0,856272951,residential,False,False,95.475,"LINESTRING (120.1736747 35.9412557, 120.1745255 35.9417683)",,,,,,,,
7984070268,7984106849,0,856272982,footway,False,False,34.341,"LINESTRING (120.1736747 35.9412557, 120.1733795 35.9410601)",,,,,,,,
7984070269,8629536096,0,222840506,residential,False,False,12.904,"LINESTRING (120.1745255 35.9417683, 120.1746216 35.9416822)",,,,,,,,
7984070269,8629536094,0,222840506,residential,False,True,41.14,"LINESTRING (120.1745255 35.9417683, 120.1742572 35.9420678)",,,,,,,,
7984070269,7984070268,0,856272951,residential,False,True,95.475,"LINESTRING (120.1745255 35.9417683, 120.1736747 35.9412557)",,,,,,,,
7984070270,7984070267,0,856272950,residential,False,False,148.003,"LINESTRING (120.1755643 35.9411322, 120.1768713 35.9419396)",,,,,,,,
7984070270,2317863638,0,856272950,residential,False,True,29.679,"LINESTRING (120.1755643 35.9411322, 120.1753022 35.9409703)",,,,,,,,
7984070270,7984070271,0,856272952,residential,False,False,107.674,"LINESTRING (120.1755643 35.9411322, 120.176262 35.9403457)",,,,,,,,
7984070271,7984070270,0,856272952,residential,False,True,107.674,"LINESTRING (120.176262 35.9403457, 120.1755643 35.9411322)",,,,,,,,
7984070271,8579026122,0,856272953,residential,False,True,130.327,"LINESTRING (120.176262 35.9403457, 120.1750946 35.9396526)",,,,,,,,
7984070271,7984070280,0,856272953,residential,False,False,207.029,"LINESTRING (120.176262 35.9403457, 120.177564 35.9410837, 120.177581 35.9411243, 120.1775778 35.9411622, 120.1772161 35.9415603)",,,,,,,,
7984070272,2317863616,0,222840502,residential,False,False,118.402,"LINESTRING (120.1737411 35.9393861, 120.1747949 35.9400232)",,,,,,,,
7984070272,8579026202,0,222840502,residential,False,True,24.605,"LINESTRING (120.1737411 35.9393861, 120.1735237 35.939252)",,,,,,,,
7984070272,8579026204,0,856272953,residential,False,False,21.666,"LINESTRING (120.1737411 35.9393861, 120.1738843 35.9392295)",,,,,,,,
7984070277,8629536095,0,856272953,residential,False,True,49.546,"LINESTRING (120.1755172 35.9433454, 120.1758556 35.942994)",,,,,,,,
